規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.8,147.1,132.5,14.6,13.6,86.3,81.9,4.4
100～499人,18,152.2,136.9,15.3,14.1,89,84.5,4.5
100人以上,17.9,149.8,134.8,15,13.9,88,83.6,4.4
30～99人,18,153.5,138.5,15,14.4,83.1,80.1,3
５～29人,18.1,150.6,140,10.6,12.9,76.5,74.1,2.4
30人以上,17.9,150.9,135.9,15,14.1,85.8,82,3.8
５人以上,18,150.9,137,13.9,13.6,81.5,78.4,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
