規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,596456,2.2,87,91.9,1.34,0.03
30人以上,"鉱業,採石業,砂利採取業",1258549,-8.8,100,100,1.85,-1.14
30人以上,建設業,567118,2.5,89.9,98.2,1.3,0
30人以上,製造業,751548,-5.1,88.1,92.5,1.35,-0.04
30人以上,電気・ガス・熱供給・水道業,992240,-4.1,87.6,67.8,2.31,-0.18
30人以上,情報通信業,799223,11.2,89.5,88.8,1.55,0.16
30人以上,運輸業，郵便業,473304,-6.1,86.9,95.4,1.29,-0.03
30人以上,卸売業，小売業,622205,0.1,89.7,92.9,1.28,-0.01
30人以上,"金融業,保険業",966820,9.1,92.3,98.5,1.91,0.12
30人以上,不動産業，物品賃貸業,605523,4.6,86.4,92.3,1.52,0
30人以上,学術研究，専門・技術サービス業,589085,-16.9,83.9,96,1.44,0.04
30人以上,宿泊業，飲食サービス業,152486,2.1,79.2,86.7,0.46,-0.05
30人以上,生活関連サービス業，娯楽業,488110,35.9,69.7,78.5,1.6,0.39
30人以上,教育，学習支援業,636067,6.6,93.7,96.8,1.65,0.05
30人以上,医療，福祉,384436,-9.7,96.4,99,1.18,-0.1
30人以上,複合サービス事業,445423,10.2,100,100,1.46,0.09
30人以上,サービス業（他に分類されないもの）,306710,12.1,76.8,80.5,1.14,0.06
30～99人,調査産業計,388221,1.3,85.1,88.9,1.27,0.04
30～99人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,497382,-2.7,87.5,96.7,1.23,-0.02
30～99人,製造業,398202,-4.4,85.2,87.8,1.11,0
30～99人,電気・ガス・熱供給・水道業,784125,3.7,80.3,58.1,2.15,0.02
30～99人,情報通信業,537687,8.9,88,88.3,1.46,0.18
30～99人,運輸業，郵便業,477422,5.6,82.4,90.2,1.37,0
30～99人,卸売業，小売業,352482,2,88.2,89.2,1.2,0.03
30～99人,"金融業,保険業",561507,0.9,90.9,94.1,1.82,0.13
30～99人,不動産業，物品賃貸業,323505,-23,83.8,90.6,1.28,-0.12
30～99人,学術研究，専門・技術サービス業,219394,-33,82.6,94.3,1.31,0.02
30～99人,宿泊業，飲食サービス業,129779,-1.5,78.4,85.3,0.44,-0.06
30～99人,生活関連サービス業，娯楽業,360558,36.2,64.3,67,1.71,0.48
30～99人,教育，学習支援業,621512,0,93.4,96.3,1.63,0.06
30～99人,医療，福祉,257994,-18.9,95.6,98.2,1.15,-0.14
30～99人,複合サービス事業,402829,9.7,100,100,1.46,0.09
30～99人,サービス業（他に分類されないもの）,353868,11.3,75,77.9,1.19,0.02
100～499人,調査産業計,509788,2.6,92.6,94.3,1.44,0
100～499人,"鉱業,採石業,砂利採取業",1564313,9.2,100,100,3.06,0.14
100～499人,建設業,563177,21.7,100,100,1.56,0.12
100～499人,製造業,665355,-6,95.3,92.3,1.73,-0.14
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,669679,18.4,91.4,94.5,1.6,0.13
100～499人,運輸業，郵便業,380597,-9.2,97,98.2,1.08,-0.09
100～499人,卸売業，小売業,488359,-2.3,94.3,95,1.46,-0.12
100～499人,"金融業,保険業",905207,-3.1,96.9,99.9,2.11,0.06
100～499人,不動産業，物品賃貸業,645029,17,90.3,92,1.83,0.17
100～499人,学術研究，専門・技術サービス業,612555,-21.5,84.9,95.5,1.61,0.04
100～499人,宿泊業，飲食サービス業,199270,9.3,91.3,97.2,0.72,0.03
100～499人,生活関連サービス業，娯楽業,463507,37.1,90,92.9,1.22,0.13
100～499人,教育，学習支援業,652400,4.5,100,100,1.86,0.01
100～499人,医療，福祉,376563,1.3,97.9,99.1,1.21,0
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,232776,8.7,80.9,84.6,0.92,0.09
500人以上,調査産業計,979406,2.5,92.8,92.4,2.08,0.04
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,810345,1.5,100,100,1.59,-0.09
500人以上,製造業,994075,-3.5,93.7,95.3,2.34,-0.08
500人以上,電気・ガス・熱供給・水道業,1065900,-1.8,50,62.5,2.16,0.01
500人以上,情報通信業,1055924,-1.6,95.5,84.6,2.06,0.06
500人以上,運輸業，郵便業,758557,-14.6,95.2,96.2,1.92,-0.02
500人以上,卸売業，小売業,1265120,-1.8,95.2,95.8,2.19,0.01
500人以上,"金融業,保険業",1188787,18.4,97.6,99.7,2.59,0.36
500人以上,不動産業，物品賃貸業,998754,5.4,92.3,97.4,2.13,0.06
500人以上,学術研究，専門・技術サービス業,1177107,1.6,100,100,2.28,0.04
500人以上,宿泊業，飲食サービス業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,生活関連サービス業，娯楽業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,教育，学習支援業,641966,17,89.4,95.3,1.81,0.13
500人以上,医療，福祉,573173,-2.8,100,100,1.45,-0.07
500人以上,複合サービス事業,712290,13.2,100,100,2.02,0.22
500人以上,サービス業（他に分類されないもの）,539593,12.8,79.8,70.1,1.92,0.16
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
