規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,638042,763250,402239,446750,522300,304468,409745,37005,191292,240950,97771
100～499人,453687,543670,299506,351221,412847,245628,324214,27007,102466,130823,53878
100人以上,539331,647525,345683,395600,464615,272076,363948,31652,143731,182910,73607
30～99人,404592,487335,279842,296100,351399,212728,274907,21193,108492,135936,67114
５～29人,334127,427423,223218,251671,315205,176142,239219,12452,82456,112218,47076
30人以上,493695,595574,321785,361900,427898,250534,333791,28109,131795,167676,71251
５人以上,445628,549901,287671,328695,397289,224787,305302,23393,116933,152612,62884
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
