規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,475835,558686,319566,453688,532735,304592,417875,35813,22147,25951,14974
100～499人,387121,457940,264854,352903,415856,244218,326109,26794,34218,42084,20636
100人以上,428277,505470,289463,399659,470997,271374,368681,30978,28618,34473,18089
30～99人,308709,366787,222219,297981,352942,216132,278656,19325,10728,13845,6087
５～29人,252313,315449,176746,248982,311004,174747,237322,11660,3331,4445,1999
30人以上,387662,460561,264825,365121,432768,251133,338101,27020,22541,27793,13692
５人以上,346790,420941,234361,330050,399523,224714,307668,22382,16740,21418,9647
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
