規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,514221,499044,455120,43924,15177,130751,130148,122360,7788,603
100～499人,431359,405876,371400,34476,25483,126013,124048,116752,7296,1965
100人以上,471166,450635,411620,39015,20531,127784,126328,118848,7480,1456
30～99人,388048,356928,328822,28106,31120,108107,107282,103911,3371,825
５～29人,354827,340695,322318,18377,14132,93392,93032,90403,2629,360
30人以上,444829,420943,385385,35558,23886,119001,117827,112181,5646,1174
５人以上,422395,400940,369665,31275,21455,106893,106104,101884,4220,789
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
