事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成18,2006,年平均,4307455,2797621,1509834,89274,48200,41075,83870,46568,37302,4312859,2799253,1513607,16.2,7.6,32
30人以上,TL 調査産業計,平成19,2007,年平均,4359575,2860321,1499254,90873,49957,40916,84901,47108,37794,4365547,2863170,1502376,14.5,7.1,28.7
30人以上,TL 調査産業計,平成20,2008,年平均,4439995,2946165,1493830,91110,51235,39876,80597,44757,35840,4450508,2952643,1497866,13.9,6.9,27.7
30人以上,TL 調査産業計,平成21,2009,年平均,4744230,2998797,1745433,96272,53860,42412,95174,51696,43478,4745328,3000961,1744367,15.9,8.3,29.1
30人以上,TL 調査産業計,平成22,2010,年平均,4707023,2936527,1770496,88074,46982,41091,90211,49259,40952,4704886,2934250,1770635,15.8,8.2,28.3
30人以上,TL 調査産業計,平成23,2011,年平均,4695712,2911544,1784168,84970,45778,39192,86667,47639,39028,4694015,2909683,1784332,16.4,8.3,29.5
30人以上,TL 調査産業計,平成24,2012,年平均,5016328,3136233,1880095,92336,50948,41388,94391,52499,41892,5014273,3134682,1879591,17.6,8.9,32.1
30人以上,TL 調査産業計,平成25,2013,年平均,5004937,3134864,1870073,95372,53156,42216,93680,53652,40029,5006629,3134368,1872260,17.8,9.2,32.3
30人以上,TL 調査産業計,平成25,2013,1月,4994454,3118390,1876064,66490,37833,28657,75031,41417,33614,4985913,3114806,1871107,18,9.1,32.8
30人以上,TL 調査産業計,平成25,2013,2月,4981710,3122920,1858790,58132,31778,26354,72195,38621,33574,4967647,3116077,1851570,17.8,9,32.6
30人以上,TL 調査産業計,平成25,2013,3月,4963500,3109621,1853879,78370,42473,35897,104642,55717,48925,4937228,3096377,1840851,18.1,9.2,33
30人以上,TL 調査産業計,平成25,2013,4月,4927412,3090124,1837288,303168,177724,125444,218634,131964,86670,5011946,3135884,1876062,17.5,8.8,32
30人以上,TL 調査産業計,平成25,2013,5月,5021478,3158444,1863034,111199,57291,53908,84692,46934,37758,5047985,3168801,1879184,17.7,9.2,31.9
30人以上,TL 調査産業計,平成25,2013,6月,5052133,3166213,1885920,77708,43644,34064,78142,47455,30687,5051699,3162402,1889297,18.1,9.5,32.5
30人以上,TL 調査産業計,平成25,2013,7月,5051700,3172927,1878773,87104,49683,37421,103284,61836,41448,5035520,3160774,1874746,17.8,9.3,32
30人以上,TL 調査産業計,平成25,2013,8月,5035521,3172521,1863000,58760,33041,25719,95644,55165,40479,4998637,3150397,1848240,17.4,9,31.7
30人以上,TL 調査産業計,平成25,2013,9月,4994544,3134513,1860031,74645,38944,35701,74674,39185,35489,4994515,3134272,1860243,17.6,9.2,31.8
30人以上,TL 調査産業計,平成25,2013,10月,4997379,3116228,1881151,105487,58672,46815,87077,52644,34433,5015789,3122256,1893533,18.2,9.5,32.5
30人以上,TL 調査産業計,平成25,2013,11月,5017020,3130507,1886513,69111,37760,31351,63740,34444,29296,5022391,3133823,1888568,17.9,9.3,32
30人以上,TL 調査産業計,平成25,2013,12月,5022391,3125963,1896428,54285,29030,25255,66408,38436,27972,5010268,3116557,1893711,18,9.4,32.2
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,2162,1772,390,40,35,5,38,33,5,2164,1774,390,0,0,0.3
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,2137,1745,393,31,28,3,37,32,5,2131,1741,391,1.9,0.1,9.7
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,2101,1738,363,32,29,3,24,21,3,2109,1746,363,1.8,0.1,9.9
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,2029,1595,434,37,32,5,33,30,3,2033,1597,436,0.5,0.5,0.5
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,2099,1650,449,42,37,5,34,31,3,2107,1656,451,0.3,0.2,0.4
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,2217,1732,485,37,30,7,29,25,4,2225,1737,488,0.4,0.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,1834,1487,347,37,33,4,33,30,3,1838,1490,348,1.1,0.9,1.5
