規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,161.7,145.6,16.1,14.7,92,86.8,5.2
100～499人,19.6,165.4,149,16.4,14.9,92.5,88.1,4.4
100人以上,19.5,163.7,147.4,16.3,14.8,92.3,87.6,4.7
30～99人,19.8,168.5,153,15.5,14.9,86.6,83.8,2.8
５～29人,20,165.7,154.6,11.1,13.5,80.3,78.2,2.1
30人以上,19.6,165.1,149.1,16,14.9,89.7,85.9,3.8
５人以上,19.7,165.3,150.5,14.8,14.2,85.4,82.4,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
