"所得段階","説明","2018年度 保険料額[円]","2018年度 被保険者数[人]","2019年度 保険料額[円]","2019年度 被保険者数[人]","2020年度 保険料額[円]","2020年度 被保険者数[人]","2021年度 保険料額[円]","2021年度 被保険者数[人]","2022年度 保険料額[円]","2022年度 被保険者数[人]"
"第1段階","生活保護受給者、中国残留邦人等支援給付受給者又は本人が老齢福祉年金受給者で、世帯全員が住民税非課税の人　本人の合計所得金額と公的年金等の収入金額を合わせて、80 万円以下の人で、世帯全員が住民税非課税の人","29976","7994","24356","7881","18735","7840","18735","7859","18735","7948"
"第2段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金等の収入金額を合わせて、80 万円を超え、120 万円以下の人","41217","2698","37470","2760","33723","2856","33723","2930","33723","2967"
"第3段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金等の収入金額を合わせて、120 万円を超える人","48711","2610","46838","2588","44964","2584","44964","2601","44964","2686"
"第4段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金等の収入金額を合わせて、80 万円以下の人","59952","4550","59952","4484","59952","4375","59952","4280","59952","4149"
"第5段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金等の収入金額を合わせて、80 万円を超える人","74940","2995","74940","3053","74940","3052","74940","3166","74940","3154"
"第6段階","本人が住民税課税で、合計所得金額 125 万円未満の人","78687","4713","78687","4856","78687","4834","78687","4869","78687","4730"
"第7段階","本人が住民税課税で、合計所得金額 125 万円以上 190 万円未満の人","82434","3937","82434","3985","82434","4032","82434","3995","82434","3936"
"第8段階","本人が住民税課税で、合計所得金額 190 万円以上 250 万円未満の人","89928","2603","89928","2594","89928","2586","89928","2585","89928","2561"
"第9段階","本人が住民税課税で、合計所得金額 250 万円以上 350 万円未満の人","104916","2781","104916","2750","104916","2744","104916","2728","104916","2724"
"第10段階","本人が住民税課税で、合計所得金額 350 万円以上 500 万円未満の人","119904","2407","119904","2465","119904","2425","119904","2502","119904","2492"
"第11段階","本人が住民税課税で、合計所得金額 500 万円以上 750 万円未満の人","146133","2046","146133","2107","146133","2047","146133","1976","146133","2105"
"第12段階","本人が住民税課税で、合計所得金額 750 万円以上 1000 万円未満の人","179856","1116","179856","1134","179856","1147","179856","1205","179856","1259"
"第13段階","本人が住民税課税で、合計所得金額 1000 万円以上 1500 万円未満の人","217326","1188","217326","1183","217326","1284","217326","1323","217326","1441"
"第14段階","本人が住民税課税で、合計所得金額 1500 万円以上 2000 万円未満の人","254796","755","254796","750","254796","814","254796","813","254796","813"
"第15段階","本人が住民税課税で、合計所得金額 2000 万円以上 3000 万円未満の人","296013","713","296013","733","296013","737","296013","798","296013","878"
"第16段階","本人が住民税課税で、合計所得金額 3000 万円以上 5000 万円未満の人","337230","618","337230","619","337230","634","337230","636","337230","681"
"第17段階","本人が住民税課税で、合計所得金額 5000 万円以上の人","382194","810","382194","877","382194","875","382194","836","382194","910"
"合計",,,"44534",,"44819",,"44866",,"45102",,"45434"

"令和5年度港区行政資料集　介護保険 所得段階別被保険者数（65歳以上）","Ver202303",,,,,,,,,,
