"職種","現員 統括参事[人]","現員 参事[人]","現員 統括課長[人]","現員 副参事[人]","現員 課長補佐[人]","現員 係長[人]","現員 主査[人]","現員 主任[人]","現員 主事[人]","現員 計[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 派遣法による派遣[人]","定数外 派遣交流[人]","定数外 配偶者同行休業[人]"
"事務","0","13","18","31","43","174","30","351","350","1010","11","14","25","6","0","0"
"社会教育","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"(a)事務系計","0","13","18","31","43","175","30","351","350","1011","11","14","25","6","0","0"
"福祉 福祉","0","1","0","4","3","23","21","20","32","104","0","1","2","3","0","0"
"福祉 児童指導","0","0","0","0","1","9","0","12","10","32","0","0","0","0","0","0"
"福祉 保育士","0","0","0","0","15","30","9","104","164","322","0","1","19","0","0","0"
"心理","0","0","0","0","0","4","0","1","4","9","0","0","0","0","0","0"
"(b)福祉系計","0","1","0","4","19","66","30","137","210","467","0","2","21","3","0","0"
"土木造園 土木技術","0","2","1","6","8","21","1","18","28","85","1","0","2","0","0","0"
"土木造園 造園技術","0","0","0","1","0","3","0","4","3","11","0","0","0","0","0","0"
"建築","0","1","1","8","4","17","3","21","27","82","1","0","1","0","0","0"
"機械","0","0","0","0","0","1","0","5","2","8","0","0","0","0","0","0"
"電気","0","0","1","0","0","1","1","3","0","6","1","1","0","0","0","0"
"衛生監視 保健衛生","0","0","0","0","0","4","2","9","8","23","0","0","1","0","0","0"
"衛生監視 食品衛生","0","0","0","1","1","4","2","12","5","25","0","0","0","0","1","0"
"衛生監視 化学技術","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"学芸研究","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0"
"(c)一般技術系計","0","3","3","16","13","51","9","72","74","241","3","2","4","0","1","0"
"医師","0","2","0","0","0","0","1","0","0","3","0","0","0","0","0","0"
"診療放射線","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"歯科衛生","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"理学療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"作業療法","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"検査技術","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0"
"栄養士","0","0","0","0","0","1","3","3","2","9","0","0","0","0","0","0"
"保健師","0","0","0","1","2","2","7","11","14","37","0","0","3","0","0","0"
"看護師","0","0","0","0","0","0","5","7","3","15","0","0","0","0","0","0"
"(d)医療技術系計","0","2","0","1","2","5","16","23","21","70","0","0","3","0","0","0"
"Ⅰ 自動車運転","0","0","0","0","0","4","0","6","1","11","0","0","0","0","0","0"
"Ⅱ 警備","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0"
"Ⅱ 作業Ⅰ","0","0","0","0","0","1","0","2","12","15","0","1","0","0","0","0"
"Ⅲ 調理","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"Ⅲ 用務","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Ⅲ 作業Ⅱ","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"Ⅳ 家庭奉仕","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ⅴ 自動車運転Ⅱ","0","0","0","0","0","2","0","14","2","18","0","0","0","0","0","0"
"Ⅴ 自動車整備","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"Ⅵ 作業Ⅲ","0","0","0","0","1","12","0","51","17","81","0","0","0","0","0","0"
"(e)技能系計","0","0","0","0","1","19","0","81","33","134","0","1","0","0","0","0"
"事務（業務）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(f)業務系計","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(1)(a)～(f)一般関係計","0","19","21","52","78","316","85","664","688","1923","14","19","53","9","1","0"

"令和2年度港区行政資料集　一般関係職員（常勤職員）・再任用フルタイム勤務職員を含む","Ver202004",,,,,,,,,,,,,,,
