地域階層,地域コード,性別コード,地域,性別,0～14歳(%),15～64歳(%),65歳以上(%),75歳以上(%),老年人口指数
0,13000,0,東京都,男女計,11.3,65.3,23.5,13.3,35.9
0,13000,1,東京都,男,11.7,67.5,20.7,10.6,30.7
0,13000,2,東京都,女,10.8,63.2,26.1,15.8,41.3
1,13100,0,区部,男女計,11,66.7,22.2,12.5,33.3
1,13100,1,区部,男,11.5,68.9,19.6,9.9,28.5
1,13100,2,区部,女,10.6,64.7,24.7,15,38.2
1,13500,0,市町村部,男女計,11.7,62.1,26.2,14.8,42.1
1,13500,1,市町村部,男,12.2,64.5,23.2,12.2,36
1,13500,2,市町村部,女,11.2,59.7,29,17.4,48.6
,,,,,,,,,
敬老の日にちなんだ東京都の高齢者人口（推計）,,,,,,,,,
表２　地域、男女、年齢３区分別にみた人口割合（令和５年９月15日時点推計）,,,,,,,,,
注１）数値は小数点第１位未満を四捨五入しているので、内訳の計は必ずしも100.0にならない。,,,,,,,,,
注２）老年人口指数＝65歳以上人口÷15～64歳人口×100,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部）,,,,,,,,,
