地域階層,地域コード,性別コード,地域,性別,総人口(万人),65歳以上人口(万人),総人口に占める65歳以上人口割合(％),65～74歳人口(万人),総人口に占める65～74歳人口割合(％),75歳以上人口(万人),総人口に占める75歳以上人口割合(％),65歳以上人口対前年増減数(万人),65歳以上人口対前年増減率(％),65～74歳人口対前年増減数(万人),65～74歳人口対前年増減率(％),75歳以上人口対前年増減数(万人),75歳以上人口対前年増減率(％)
0,13000,0,東京都,男女計,1327.8,311.4,23.5,135.3,10.2,176.1,13.3,0.1,0,-5.6,-4,5.7,3.3
0,13000,1,東京都,男,651.6,135.2,20.7,65.9,10.1,69.3,10.6,0.1,0.1,-2.5,-3.7,2.6,3.9
0,13000,2,東京都,女,676.3,176.2,26.1,69.4,10.3,106.8,15.8,0,0,-3.1,-4.3,3.1,3
1,13100,0,区部,男女計,910.6,202.3,22.2,88.1,9.7,114.2,12.5,-0.2,-0.1,-3.6,-3.9,3.5,3.2
1,13100,1,区部,男,446,87.4,19.6,43.1,9.7,44.3,9.9,-0.1,-0.1,-1.7,-3.8,1.6,3.7
1,13100,2,区部,女,464.6,114.8,24.7,45,9.7,69.9,15,-0.2,-0.2,-1.9,-4.1,1.8,2.6
1,13500,0,市町村部,男女計,417.2,109.1,26.2,47.2,11.3,61.9,14.8,0.3,0.3,-2,-4.1,2.2,3.7
1,13500,1,市町村部,男,205.6,47.8,23.2,22.8,11.1,25,12.2,0.2,0.4,-0.8,-3.4,1,4.2
1,13500,2,市町村部,女,211.6,61.4,29,24.4,11.5,36.9,17.4,0.2,0.3,-1.2,-4.7,1.3,3.7
,,,,,,,,,,,,,,,,,
敬老の日にちなんだ東京都の高齢者人口（推計）,,,,,,,,,,,,,,,,,
表１　地域、男女別高齢者人口(令和５年９月15日時点推計),,,,,,,,,,,,,,,,,
注）数値は小数点第１位未満を四捨五入しているので、内訳の計は必ずしも合計の値に一致しない。,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部）,,,,,,,,,,,,,,,,,
