地域階層,地域コード,性別コード,年齢区分階層,地域,性別,年齢３区分,平成15年(％),平成20年(％),平成25年(％),平成30年(％),令和３年(％),令和４年(％),令和５年(％)
0,13000,0,0,東京都,男女計,総数,100,100,100,100,100,100,100
0,13000,0,1,東京都,男女計,0～14歳,11.9,11.8,11.8,11.8,11.6,11.4,11.3
0,13000,0,1,東京都,男女計,15～64歳,70.7,68.4,66.3,64.9,65,65.1,65.3
0,13000,0,1,東京都,男女計,65歳以上,17.4,19.8,21.9,23.3,23.4,23.4,23.5
0,13000,0,2,東京都,男女計,65～74歳,10.3,11,11.5,11.4,11,10.6,10.2
0,13000,0,2,東京都,男女計,75歳以上,7.1,8.7,10.4,12,12.5,12.8,13.3
0,13000,1,0,東京都,男,総数,100,100,100,100,100,100,100
0,13000,1,1,東京都,男,0～14歳,12.3,12.2,12.3,12.3,12.1,11.9,11.7
0,13000,1,1,東京都,男,15～64歳,73,70.9,68.7,67.2,67.2,67.3,67.5
0,13000,1,1,東京都,男,65歳以上,14.7,16.9,19,20.6,20.7,20.7,20.7
0,13000,1,2,東京都,男,65～74歳,9.5,10.3,10.9,11.1,10.9,10.5,10.1
0,13000,1,2,東京都,男,75歳以上,5.2,6.6,8.1,9.5,9.9,10.2,10.6
0,13000,2,0,東京都,女,総数,100,100,100,100,100,100,100
0,13000,2,1,東京都,女,0～14歳,11.6,11.5,11.4,11.3,11.1,11,10.8
0,13000,2,1,東京都,女,15～64歳,68.4,66,63.9,62.6,62.8,63,63.2
0,13000,2,1,東京都,女,65歳以上,20.1,22.5,24.7,26,26.1,26.1,26.1
0,13000,2,2,東京都,女,65～74歳,11.1,11.7,12,11.6,11.1,10.7,10.3
0,13000,2,2,東京都,女,75歳以上,9,10.8,12.7,14.4,14.9,15.3,15.8
1,13100,0,0,区部,男女計,総数,100,100,100,100,100,100,100
1,13100,0,1,区部,男女計,0～14歳,11.2,11.2,11.3,11.5,11.4,11.2,11
1,13100,0,1,区部,男女計,15～64歳,70.9,69,67.2,66.1,66.3,66.5,66.7
1,13100,0,1,区部,男女計,65歳以上,17.9,19.8,21.5,22.4,22.3,22.3,22.2
1,13100,0,2,区部,男女計,65～74歳,10.4,10.9,11.1,10.9,10.5,10.1,9.7
1,13100,0,2,区部,男女計,75歳以上,7.4,8.9,10.4,11.5,11.8,12.2,12.5
1,13100,1,0,区部,男,総数,100,100,100,100,100,100,100
1,13100,1,1,区部,男,0～14歳,11.6,11.6,11.7,11.9,11.8,11.7,11.5
1,13100,1,1,区部,男,15～64歳,73.5,71.7,69.7,68.4,68.5,68.7,68.9
1,13100,1,1,区部,男,65歳以上,15,16.8,18.5,19.7,19.7,19.6,19.6
1,13100,1,2,区部,男,65～74歳,9.5,10.1,10.7,10.7,10.4,10,9.7
1,13100,1,2,区部,男,75歳以上,5.4,6.6,7.9,9,9.3,9.6,9.9
1,13100,2,0,区部,女,総数,100,100,100,100,100,100,100
1,13100,2,1,区部,女,0～14歳,10.9,10.8,10.9,11,10.9,10.8,10.6
1,13100,2,1,区部,女,15～64歳,68.4,66.4,64.7,63.9,64.2,64.5,64.7
1,13100,2,1,区部,女,65歳以上,20.7,22.7,24.4,25.1,24.9,24.8,24.7
1,13100,2,2,区部,女,65～74歳,11.3,11.7,11.6,11,10.5,10.1,9.7
1,13100,2,2,区部,女,75歳以上,9.4,11.1,12.8,14,14.3,14.7,15
1,13500,0,0,市町村部,男女計,総数,100,100,100,100,100,100,100
1,13500,0,1,市町村部,男女計,0～14歳,13.3,13.2,12.9,12.5,12.1,11.9,11.7
1,13500,0,1,市町村部,男女計,15～64歳,70.2,67.1,64.4,62.2,62,62.1,62.1
1,13500,0,1,市町村部,男女計,65歳以上,16.4,19.7,22.7,25.3,25.9,26,26.2
1,13500,0,2,市町村部,男女計,65～74歳,10,11.3,12.1,12.4,12.2,11.8,11.3
1,13500,0,2,市町村部,男女計,75歳以上,6.5,8.4,10.6,12.9,13.8,14.3,14.8
1,13500,1,0,市町村部,男,総数,100,100,100,100,100,100,100
1,13500,1,1,市町村部,男,0～14歳,13.7,13.5,13.4,12.9,12.6,12.4,12.2
1,13500,1,1,市町村部,男,15～64歳,72.1,69.2,66.7,64.6,64.4,64.5,64.5
1,13500,1,1,市町村部,男,65歳以上,14.3,17.2,20,22.4,23,23.1,23.2
1,13500,1,2,市町村部,男,65～74歳,9.5,10.6,11.4,11.9,11.8,11.4,11.1
1,13500,1,2,市町村部,男,75歳以上,4.9,6.6,8.5,10.5,11.2,11.6,12.2
1,13500,2,0,市町村部,女,総数,100,100,100,100,100,100,100
1,13500,2,1,市町村部,女,0～14歳,13.1,12.8,12.5,12,11.6,11.5,11.2
1,13500,2,1,市町村部,女,15～64歳,68.4,65,62.1,59.8,59.6,59.7,59.7
1,13500,2,1,市町村部,女,65歳以上,18.6,22.1,25.4,28.2,28.8,28.9,29
1,13500,2,2,市町村部,女,65～74歳,10.5,11.9,12.8,12.9,12.5,12.1,11.5
1,13500,2,2,市町村部,女,75歳以上,8.1,10.2,12.5,15.2,16.3,16.8,17.4
,,,,,,,,,,,,,
敬老の日にちなんだ東京都の高齢者人口（推計）,,,,,,,,,,,,,
表４　地域、男女、年齢３区分別にみた人口割合の推移（各年９月15日時点推計）,,,,,,,,,,,,,
注１）数値は小数点第１位未満を四捨五入しているので、内訳の計は必ずしも合計の値に一致しない。,,,,,,,,,,,,,
注２）平成元年以降のすべての年の値は、ホームページ（https://www.toukei.metro.tokyo.lg.jp/koureisya/kr-index.htm）に掲載している。,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部）
年齢区分階層（0:総数　1:0～14歳・15～64歳・65歳以上　2:65～74歳・75歳以上）
