地域階層,地域コード,性別コード,年齢区分階層,地域,性別,年齢３区分,平成15年(万人),平成20年(万人),平成25年(万人),平成30年(万人),令和３年(万人),令和４年(万人),令和５年(万人)
0,13000,0,0,東京都,男女計,総数,1206.4,1251.1,1280.3,1318.4,1329.9,1328,1327.8
0,13000,0,1,東京都,男女計,0～14歳,143.6,148.1,151.6,155.5,154.2,152,149.5
0,13000,0,1,東京都,男女計,15～64歳,852.7,855.9,848.4,855.2,863.9,864.7,867
0,13000,0,1,東京都,男女計,65歳以上,210,247.1,280.2,307.7,311.8,311.3,311.4
0,13000,0,2,東京都,男女計,65～74歳,124,137.9,146.7,150,146.2,140.9,135.3
0,13000,0,2,東京都,男女計,75歳以上,86,109.1,133.6,157.7,165.6,170.4,176.1
0,13000,1,0,東京都,男,総数,600.5,621.4,633.5,649.4,653.4,652,651.6
0,13000,1,1,東京都,男,0～14歳,73.6,75.9,77.7,79.6,78.9,77.8,76.5
0,13000,1,1,東京都,男,15～64歳,438.4,440.4,435.3,436.2,439.1,439.1,439.9
0,13000,1,1,東京都,男,65歳以上,88.5,105.1,120.5,133.6,135.4,135.1,135.2
0,13000,1,2,東京都,男,65～74歳,57.1,64,69.1,72.2,70.9,68.4,65.9
0,13000,1,2,東京都,男,75歳以上,31.5,41.1,51.3,61.4,64.6,66.7,69.3
0,13000,2,0,東京都,女,総数,605.9,629.7,646.8,669,676.5,675.9,676.3
0,13000,2,1,東京都,女,0～14歳,70,72.2,73.9,75.9,75.2,74.2,73
0,13000,2,1,東京都,女,15～64歳,414.4,415.5,413.1,419,424.9,425.6,427.1
0,13000,2,1,東京都,女,65歳以上,121.5,141.9,159.8,174.1,176.4,176.2,176.2
0,13000,2,2,東京都,女,65～74歳,67,73.9,77.5,77.8,75.3,72.5,69.4
0,13000,2,2,東京都,女,75歳以上,54.5,68,82.2,96.3,101.1,103.7,106.8
1,13100,0,0,区部,男女計,総数,812.5,844.6,868.1,901.6,911.1,909.8,910.6
1,13100,0,1,区部,男女計,0～14歳,91,94.5,98.3,103.5,103.5,102.1,100.5
1,13100,0,1,区部,男女計,15～64歳,576.1,583.1,583.1,595.9,604.3,605.2,607.8
1,13100,0,1,区部,男女計,65歳以上,145.3,167.1,186.7,202.2,203.3,202.5,202.3
1,13100,0,2,区部,男女計,65～74歳,84.8,92.1,96.7,98.2,95.3,91.7,88.1
1,13100,0,2,区部,男女計,75歳以上,60.5,75,90,104,107.9,110.7,114.2
