マンションの規模（延べ面積）・所在地,担当課,電話番号（内線）
一万m2超及び島しょ,東京都　住宅政策本部　住宅企画部　マンション課,03-5320-5007
一万m2以下・島しょ除く／千代田区,事前相談・・・環境まちづくり部　住宅課　住環境整備係,03-3264-2111（2832）
一万m2以下・島しょ除く／千代田区,受　　付・・・環境まちづくり部　建築指導課　構造審査係,03-3264-2111（2824）
一万m2以下・島しょ除く／中央区,都市整備部　建築課　構造係,03-3546-5459
一万m2以下・島しょ除く／港区,街づくり支援部　住宅課　マンション建替え支援担当,03-3578-2332
一万m2以下・島しょ除く／新宿区,都市計画部　防災都市づくり課　耐震担当,03-5273-3829
一万m2以下・島しょ除く／文京区,都市計画部　建築指導課　構造担当,03-5803-1264
一万m2以下・島しょ除く／台東区,都市づくり部　建築課　構造防災担当,03-5246-1335
一万m2以下・島しょ除く／墨田区,都市計画部　防災まちづくり課　不燃化・耐震化担当,03-5608-6269
一万m2以下・島しょ除く／江東区,都市整備部　住宅課　住宅指導係,03-3647-9473
一万m2以下・島しょ除く／品川区,都市環境部　建築課　耐震化促進担当,03-5742-6634
一万m2以下・島しょ除く／目黒区,都市整備部　建築課　耐震化促進担当,03-5722-9490
一万m2以下・島しょ除く／大田区,まちづくり推進部　建築審査課　構造審査担当,03-5744-1389
一万m2以下・島しょ除く／世田谷区,防災街づくり担当部　防災街づくり課　耐震促進担当,03-6432-7177
一万m2以下・島しょ除く／渋谷区,都市整備部　木密・耐震整備課整備促進係　耐震担当,03-3463-2647
一万m2以下・島しょ除く／中野区,都市基盤部　住宅課　住宅政策係,03-3228-5581
一万m2以下・島しょ除く／杉並区,都市整備部　市街地整備課　耐震改修担当,03-3312-2111（3328）
一万m2以下・島しょ除く／豊島区,都市整備部　建築課　許可・耐震グループ,03-3981-0590
一万m2以下・島しょ除く／北区,まちづくり部　建築課　構造・耐震化促進係,03-3908-9176
一万m2以下・島しょ除く／荒川区,防災都市づくり部　建築指導課　,03-3802-3111（2843）
一万m2以下・島しょ除く／板橋区,,03-3964-1111
一万m2以下・島しょ除く／練馬区,都市整備部　　防災まちづくり課　　耐震化促進係,03-5984-1938
一万m2以下・島しょ除く／足立区,都市建設部　住宅課　住宅計画係,03-3880-5963
一万m2以下・島しょ除く／葛飾区,都市整備部　建築課　構造設備係,03-5654-8360
一万m2以下・島しょ除く／江戸川区,都市開発部　建築指導課　調査係,03-5662-1104
昭島市、東大和市、武蔵村山市、国立市、狛江市、多摩市、稲城市,東京都　多摩建築指導事務所　建築指導第一課,042-548-2044
小金井市、東村山市、東久留米市、清瀬市,東京都　多摩建築指導事務所　建築指導第二課,042-464-2154
青梅市、羽村市、瑞穂町、奥多摩町、福生市、あきる野市、日の出町、檜原村,東京都　多摩建築指導事務所　建築指導第三課,0428-23-3423
八王子市,まちなみ整備部　住宅政策課　,042-620-7260
立川市,まちづくり部　建築指導課　構造設備係,042-523-2111（2349）
武蔵野市,都市整備部　建築指導課　構造設備係,0422-60-1877
三鷹市,都市整備部　都市計画課　住宅政策係,0422-45-1151（2813）
府中市,都市整備部　建築指導課　審査係,042-335-4034
調布市,都市整備部　建築指導課　構造設備監察係,042-481-7516
町田市,都市づくり部　住宅課　,042-724-4269
小平市,都市開発部　建築指導課,042-312-1145
日野市,まちづくり部　都市計画課　住宅政策係,042-514-8371
国分寺市,まちづくり部　建築指導課　審査担当,042-325-0111（483）
西東京市,まちづくり部　建築指導課　構造設備係,042-438-4018
