"名称","委員定員","現員[人]"
"教育委員会","5人","5"
"選挙管理委員会","4人","4"
"監査委員","3人","3"
"中小企業振興審議会（産業振興課）","19人以内","17"
"民生委員推薦会（保健福祉課）","14人以内","13"
"介護認定審査会（介護保険課）","60人以内","60"
"障害支援区分審査会（障害者福祉課）","15人以内","10"
"国民健康保険運営協議会（国保年金課）","27人以内","25"
"保健所運営協議会（生活衛生課）","18人以上","19"
"大気汚染障害者認定審査会（保健予防課）","10人以内","5"
"公害健康被害認定審査会（保健予防課）","15人以内","9"
"公害健康被害補償診療報酬等審査会（保健予防課）","7人以内","7"
"感染症の診査に関する協議会（保健予防課）","4人以上","5"
"青少年問題協議会（子ども家庭課）","35人以内","31"
"子ども・子育て会議（子ども家庭課）","18人以内","17"
"都市計画審議会（都市計画課）","21人以内","19"
"建築審査会（都市計画課）","5人","5"
"景観審議会（都市計画課）","11人以内","10"
"地区まちづくりルール認定審査会（都市計画課）","6人以内","6"
"建築紛争調停委員会（建築課）","6人以内","3"
"環境審議会（環境課）","14人以内","14"
"防災会議（防災課）","69人以内","69"
"国民保護協議会（防災課）","52人以内","52"
"暴力団排除審議会（防災課）","10人以内","10"
"客引き行為防止対策審議会（防災課）","5人以内","5"
"特別職報酬等審議会（総務課）","10人以内","10"
"行政不服審査会（総務課）","3人","3"
"男女平等参画推進会議（人権・男女平等参画担当）","15人以内","14"
"情報公開運営審議会（情報政策課）","15人以内","13"
"個人情報保護運営審議会（情報政策課）","10人以内","10"
"情報公開・個人情報保護審査会（情報政策課）","5人以内","5"
"財産価格審議会（契約管財課）","8人以内","8"
"公私立幼稚園調整審議会（教育長室）","15人以内",
"学校適正規模等審議会（教育長室）","20人以内",
"社会教育委員（生涯学習スポーツ振興課）","10人以内","9"
"文化財保護審議会（図書文化財課）","12人以内","8"
"いじめ問題対策連絡協議会（教育指導課）","28人","28"
"教育委員会いじめ問題対策会議（教育指導課）","27人","27"

"平成30年度港区行政資料集　行政委員会、行政委員及び付属機関","Ver201804",
