No,施設名,所在地,電話,構造,避難予定町会,緯度,経度,備考
1,上野小学校,東京都台東区東上野6-16-8,03-3842-5356,鉄筋コンクリート,東上野六丁目南町会・東上野六丁目北町会,35.713688,139.783112,
2,平成小学校,東京都台東区台東4-21-15,03-3831-1530,鉄筋コンクリート,竹町南町会・竹町中町会・台東四丁目町会・佐竹町会,35.706608,139.780212,
3,根岸小学校,東京都台東区根岸3-9-8,03-3876-2411,鉄筋コンクリート,根岸二丁目町会・上根岸町会・中根岸町会,35.839325,139.662094,
4,東泉小学校,東京都台東区三ノ輪1-23-9,03-3876-2747,鉄筋コンクリート,三ノ輪町会・三ノ輪一丁目町会・東三ノ輪町会・竜泉三丁目泉町会・龍泉南部町会,35.728325,139.791946,龍泉南部町会は令和3年4月より
5,忍岡小学校,東京都台東区池之端2-1-22,03-3822-4661,鉄筋コンクリート,池之端茅町町会・池之端2丁目町会,35.713993,139.766296,
6,谷中小学校,東京都台東区谷中2-9-16,03-3828-9218,鉄筋コンクリート,天王寺町会・谷中真島町会・谷中南町町会・谷中三崎町会・北町緑会・谷中親和会・初音町一丁目町会・初三親和会・谷中初四町会,35.776318,139.833298,
7,金曽木小学校,東京都台東区根岸4-16-22,03-3876-3701,鉄筋コンクリート,金杉二丁目町会・下根岸町会・竜泉中部町会,35.725914,139.785278,竜泉中部町会は令和3年4月より
8,黒門小学校,東京都台東区上野1-16-20,03-3831-6039,鉄筋コンクリート,黒門町町会・東黒門町町会・坂町同朋町親和会・長者町二丁目町会・仲御徒町中町会・上野東広小路会・仲徒三四町会・下谷町町会・上野三橋五條町町会・上野町町会・上野広小路町会・数寄屋町町会・池之端仲町町会・元黒門町町会,35.706875,139.771515,
9,大正小学校,東京都台東区入谷2-23-8,03-3876-5592,鉄筋コンクリート,入谷町会・仲入谷町会・入谷中央町会・本入谷町会・入谷北栄町会・入谷光和町会・下谷二丁目町会,35.810207,139.763199,
10,浅草小学校,東京都台東区花川戸1-14-15,03-3841-1575,鉄筋コンクリート,浅草1丁目三栄町会・浅草東町会・浅草中央町会・浅草西町会・浅草公園町会・仲見世町会・浅草馬道一丁目町会・花川戸一丁目町会・花川戸二丁目町会,35.713947,139.799438,
11,台東育英小学校,東京都台東区浅草橋2-26-8,03-3851-3600,鉄筋コンクリート,浅草橋一丁目西町会・浅草橋1丁目協和町会・浅草橋新福井町会・浅草橋3丁目町会・浅草橋3丁目蔵元町会・浅草橋1丁目町会・鳥越二丁目町会,35.700176,139.785522,改修のため令和3年9月より、浅草中学校に避難所を変更しています。
12,蔵前小学校,東京都台東区蔵前4-19-11,03-3851-1535,鉄筋コンクリート,東三筋町会・蔵前三桂町会・精華町会・西三筋町会・蔵前三・四丁目町会・蔵前中央町会・元蔵三町会,35.70462,139.789398,
13,東浅草小学校,東京都台東区東浅草2-27-19,03-3875-0035,鉄筋コンクリート,堤町会・東浅草2丁目中町会・日本堤本町会・日本堤1丁目中央町会,35.72456,139.798569,
14,富士小学校,東京都台東区浅草4-48-9,03-3874-9361,鉄筋コンクリート,浅草3丁目象一町会・浅草象潟町会・浅草象三町会・浅草馬三町会・浅草馬二町会・猿若町会・田町聖横町会・聖天町会,35.718922,139.798248,
15,松葉小学校,東京都台東区松が谷1-13-16,03-3841-2627,鉄筋コンクリート,松が谷1丁目町会・松葉町会・西浅草2丁目西町会,35.712242,139.786926,
16,千束小学校,東京都台東区浅草4-24-11,03-3876-3717,鉄筋コンクリート,大鳥町会・千束3丁目千吉町会・京町二丁目町会・京町一丁目町会・千束四丁目角町町会・揚屋町会・千束四丁目江戸二町会・江戸町一丁目町会・浅草二丁目町会・浅草三丁目東町会・浅草中町会・千草町会,35.719379,139.793869,
17,石浜小学校,東京都台東区清川1-14-21,03-3875-0032,鉄筋コンクリート,橋場2丁目町会・東清南町会・浅草東清町会・清川町会・石浜1丁目町会・石浜2丁目町会・石浜3丁目町会・清三町会,35.725018,139.80423,
