,建設汚泥（千t）,がれき類（千t）,混合廃棄物（千t）,木くず（千t）,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,金属くず（千t）,その他（千t）,建設業計（千t）
昭和57年度,2220,2732,0,232,6,5,24,0,5219
昭和62年度,2286,3927,0,228,351,96,86,2,6976
平成04年度,3576,4697,0,228,394,115,154,1,9165
平成10年度,4750,4534,250,145,168,123,69,15,10054
平成14年度,3592,4165,559,136,124,17,100,235,8928
平成15年度,2475,5488,290,112,119,46,150,75,8753
平成16年度,3918,4601,398,135,175,52,118,62,9459
平成17年度,2471,4917,120,281,68,82,116,79,8133
平成18年度,2404,5638,403,282,319,80,110,73,9310
平成19年度,1967,5716,391,286,329,176,104,60,9029
平成20年度,2171,4041,272,173,169,50,51,112,7039
平成21年度,2305,4510,221,151,129,46,52,65,7479
平成22年度,2195,4372,207,188,162,66,59,60,7309
平成23年度,2104,4496,230,220,165,79,91,301,7686
平成24年度,2450,4769,276,240,193,91,75,78,8172
平成25年度,2460,5799,311,301,245,82,68,90,9355
平成26年度,2475,6141,316,339,260,91,77,269,9968
