,建設汚泥（千t）,その他汚泥（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,木くず（千t）,廃プラスチック類（千t）,金属くず（千t）,その他（千t）,上下水除く計（千t）
昭和57年度,2220,1599,2755,29,17,120,83,434,7257
昭和62年度,2286,1660,4298,403,268,249,133,64,9361
平成04年度,3576,1519,5102,442,363,301,248,126,11677
平成10年度,4606,1724,4702,198,149,256,128,608,12371
平成14年度,3592,1402,4186,186,141,97,153,1094,10851
平成15年度,2475,938,5526,514,121,178,263,936,10952
平成16年度,3918,585,4673,210,145,196,279,1204,11209
平成17年度,2471,531,4924,132,284,277,270,811,9700
平成18年度,2404,653,5668,519,290,334,402,1042,11312
平成19年度,1967,794,5745,482,297,368,276,1117,11045
平成20年度,2158,669,4078,414,213,255,162,879,8828
平成21年度,2305,502,4535,333,188,244,146,650,8903
平成22年度,2191,300,4516,418,224,265,150,624,8688
平成23年度,2084,412,4535,647,258,286,177,872,9271
平成24年度,2437,477,4799,656,275,299,160,684,9787
平成25年度,2285,642,5868,680,349,311,147,773,11055
平成26年度,2475,601,6219,721,383,337,156,680,11572
