NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,町田第二小学校,,町田市原町田4-26-40,,,,,042-722-3316,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
2,町田第一小学校,,町田市中町1-20-30,,,,,042-722-3105,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
3,町田第一中学校,,町田市中町1-27-5,,,,,042-722-2420,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
4,都立町田高等学校,,町田市中町4-25-3,,,,,042-722-2201,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
5,町田第四小学校,,町田市森野2-21-28,,,,,042-722-3727,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
6,本町田小学校,,町田市本町田2032,,,,,042-721-5561,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
7,町田第三小学校,,町田市本町田1212,,,,,042-722-3329,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
8,本町田東小学校,,町田市本町田3350,,,,,042-722-8193,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
9,町田第三中学校,,町田市本町田1853,,,,,042-722-6095,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
10,町田第五小学校,,町田市玉川学園4-14-7,,,,,042-725-8178,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
11,町田第六小学校,,町田市南大谷1260,,,,,042-722-3659,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
12,南大谷小学校,,町田市南大谷811-1,,,,,042-725-2551,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
13,町田第二中学校,,町田市南大谷1327,,,,,042-722-1101,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
14,南大谷中学校,,町田市南大谷985-1,,,,,042-723-5567,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
15,南第一小学校,,町田市南町田1-10-1,,,,,042-795-2274,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
16,鶴間小学校,,町田市鶴間4-17-1,,,,,042-796-1951,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
17,都立小川高等学校,,町田市小川2-1002-1,,,,,042-796-9301,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
18,小川小学校,,町田市小川3-10-1,,,,,042-795-0002,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
19,南第三小学校,,町田市金森東1-2-1,,,,,042-722-2663,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
20,南第四小学校,,町田市金森東3-21-1,,,,,042-796-1326,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
21,南中学校,,町田市金森3-27-1,,,,,042-796-2248,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
22,南つくし野小学校,,町田市南つくし野2-4-8,,,,,042-796-1950,,132098,東京都,町田市,,,,1,,1,,1,1,,,,
23,つくし野中学校,,町田市南つくし野2-14-2,,,,,042-795-0323,,132098,東京都,町田市,1,1,,1,,1,1,1,1,,,,
