"年月日","答申番号","答申内容"
"20200513","2港個運審第1号","「みなと母子手帳アプリ」運用・保守の外部委託の変更及び感染症健康観察システムの構築にかかる外部結合について、諮問どおり承認します。"
"20200513","2港個運審第2号","子育て世帯への臨時特別給付金支給管理業務の外部委託について、諮問どおり承認します。"
"20200513","2港個運審第3号","港区建築物低炭素化制度運営システム構築及び保守業務に関する外部委託について、諮問どおり承認します。"
"20200513","2港個運審第4号","特別定額給付金事業の実施に係る業務の外部委託について、諮問どおり承認します。"
"20200513","2港個運審第5号","港区オープンデータアイデアソン開催支援業務委託について、諮問どおり承認します。"
"20200729","2港個運審第6号","店舗等賃料減額助成金交付事業の実施に係る業務の外部委託について、諮問どおり承認します。"
"20200729","2港個運審第7号","地域活動情報共有システム導入及び運用・保守の外部委託について、諮問どおり承認します。"
"20200729","2港個運審第8号","預貯金等照会サービス利用にかかる区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20200729","2港個運審第9号","重複・頻回受診者等健康相談業務委託について、諮問どおり承認します。"
"20200729","2港個運審第10号","ひとり親世帯臨時特別給付金支給管理業務の外部委託について、諮問どおり承認します。"
"20200909","2港個運審第11号","新型コロナウイルス感染者等情報把握・管理支援システムに係る区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20200909","2港個運審第12号","大容量データ受け渡し業務に係る区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20201111","2港個運審第13号","区と区以外の電子計算機を通信回線により結合する場合の結合の内容及び条件に係る運営審議会の承認基準について、諮問どおり承認します。"
"20201111","2港個運審第14号","キャッシュレス化推進にかかる個人情報を取り扱う業務を委託する場合の委託の内容及び条件に係る運営審議会の承認基準の改正について、諮問どおり承認します。"
"20201111","2港個運審第15号","証明交付事務にかかるオンライン申請支援業務の外部委託について、諮問どおり承認します。"
"20201111","2港個運審第16号","窓口混雑状況連携システム呼出機能利用にかかる外部委託について、諮問どおり承認します。"
"20201111","2港個運審第17号","「AZABU飯」運営支援業務の外部委託について、諮問どおり承認します。"
"20201111","2港個運審第18号","国民健康保険に関する事務「重点項目評価書」について、問題は認められません。"
"20201111","2港個運審第19号","「みなと母子手帳アプリ」オンライン予約機能の改修及び運用・保守の外部委託について、諮問どおり承認します。"
"20210121","2港個運審第20号","「港区立母子生活支援施設メゾン・ド・あじさい」の指定管理者による管理及び「港区立母子生活支援施設メゾン・ド・あじさい」開設準備の外部委託について、諮問どおり承認します。"
"20210203","2港個運審第21号","税務資料の電子化業務の外部委託について、諮問どおり承認します。"
"20210203","2港個運審第22号","障害児入所給付審査支払及び請求業務に係る障害児施設給付費受給者管理システム導入及び保守業務の外部委託について、諮問どおり承認します。"
"20210203","2港個運審第23号","福利厚生事務等に係る業務の外部委託について、諮問どおり承認します。"
"20210203","2港個運審第24号","医療相談窓口の運営業務委託について、諮問どおり承認します。"
"20210203","2港個運審第25号","子どもの意見表明権保障に係る意見聴取業務に関する外部委託について、諮問どおり承認します。"
"20210203","2港個運審第26号","港区児童相談所フォスタリング業務に関する外部委託について、諮問どおり承認します。"
"20210203","2港個運審第27号","予防接種に関する事務「重点項目評価書」について、問題は認められません。"
"20210318","2港個運審第28号","窓口総合支援システム構築、保守・運用業務委託について、諮問どおり承認します。"
"20210318","2港個運審第29号","民間建築物における吹付けアスベスト等の使用実態調査業務の外部委託について、諮問どおり承認します。"
"20210318","2港個運審第30号","新型コロナウイルスワクチン接種体制運営事務支援等業務委託について、諮問どおり承認します。"
"20210318","2港個運審第31号","福祉総合窓口相談記録システム構築及び保守業務委託について、諮問どおり承認します。"

"令和3年度港区行政資料集　令和2年度港区個人情報保護運営審議会答申","Ver202103",
