"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（利用したことがある）[人]","知っているが利用したことはない[人]","知らない[人]","無回答[人]"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","全員",,"658","14","127","515","2"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性（計）","248","5","48","195","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","1","2","20","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","0","4","31","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","0","9","32","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","1","3","45","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","3","12","24","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","0","17","43","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性（計）","400","9","76","313","2"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","0","2","26","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","1","7","57","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","4","9","80","2"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","0","18","64","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","0","16","39","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","4","24","47","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","無回答","10","0","3","7","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","自営業主・家族従業","92","2","22","68","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","6","40","234","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","1","14","42","1"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","家事専業","94","0","19","74","1"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","学生","20","0","4","16","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","無職","83","3","20","60","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","その他","26","2","6","18","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","無回答","5","0","2","3","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","芝地区","107","2","26","79","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","麻布地区","140","2","22","114","2"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","赤坂地区","88","2","17","69","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","高輪地区","155","2","32","121","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","芝浦港南地区","164","6","28","130","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","無回答","4","0","2","2","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","持家（一戸建）","95","1","26","68","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","持家（マンション）","302","8","50","243","1"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","借家（一戸建）","7","1","0","6","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","1","28","141","1"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","1","11","16","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","1","4","13","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","社宅・公務員宿舎","20","1","2","17","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","0","2","4","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","その他","5","0","2","3","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","住居形態別","無回答","6","0","2","4","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","定住意向別","ずっと住み続けていたい","366","8","80","276","2"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","定住意向別","当分は住んでいたい","224","4","37","183","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","2","4","36","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","1","1","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","0","2","7","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","定住意向別","わからない","14","0","3","11","0"
"202003","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","定住意向別","無回答","1","0","0","1","0"

"第32回港区民世論調査クロス集計表・区政全般Q8","Ver202003",,,,,,,,
