区市町村通番,所管地域,名称,ヨミガナ,電話番号,ＦＡＸ番号,郵便番号,住所,緯度,経度,座標,対応時間帯,特記事項,施設種別／地域包括支援センター,施設種別／ブランチ・サブセンター,施設種別／在宅介護支援センター,施設種別／その他相談窓口,相談内容／高齢者の異変,相談内容／消費者被害のおそれ
1,駒場、青葉台、東山、大橋、上目黒1丁目（1番、6～22番）、上目黒2丁目（46～49番）、上目黒3丁目（1～3番、6～44番）、上目黒5丁目,北部包括支援センター,ﾎｸﾌﾞﾎｳｶﾂｼｴﾝｾﾝﾀｰ,03-5428-6891,03-3496-5215,153-0044,目黒区大橋1-51-1クロスエアタワー9階,35.652462,139.68924,JGD2011,月曜日～金曜日8時30分～19時／土曜日8時30分～17時／夜間、休日については留守番電話にて対応,高齢者だけでなく、障害者や子ども等要支援者の総合的な連絡窓口,〇,,,,〇,
2,上目黒1丁目（2～5番、23～26番）、上目黒2丁目（1～45番）、上目黒3丁目（4～5番）、三田、目黒1～3丁目、中目黒1～4丁目、中目黒5丁目（1～7番、 22～23番）下目黒、目黒本町1丁目,東部包括支援センター,ﾄｳﾌﾞﾎｳｶﾂｼｴﾝｾﾝﾀｰ,03-5724-8030,03-3715-1076,153-8573,目黒区上目黒2-19-15総合庁舎内,35.640465,139.6987,JGD2011,月曜日～金曜日8時30分～19時／土曜日8時30分～17時／夜間、休日については留守番電話にて対応,高齢者だけでなく、障害者や子ども等要支援者の総合的な連絡窓口,〇,,,,〇,
3,上目黒4丁目、中目黒5丁目（8～21番、24～28番）、目黒4丁目、中町、五本木、祐天寺、中央町、碑文谷5～6丁目、鷹番,中央包括支援センター,ﾁｭｳｵｳﾎｳｶﾂｼｴﾝｾﾝﾀｰ,03-5724-8066,03-5722-9803,152-0001,目黒区中央町2-9-13食販ビル2階,35.631126,139.692123,JGD2011,月曜日～金曜日8時30分～19時／土曜日8時30分～17時／夜間、休日については留守番電話にて対応,高齢者だけでなく、障害者や子ども等要支援者の総合的な連絡窓口,〇,,,,〇,
4,目黒本町2～6丁目、原町、洗足、南1～2丁目、碑文谷1～4丁目,南部包括支援センター,ﾅﾝﾌﾞﾎｳｶﾂｼｴﾝｾﾝﾀｰ,03-5724-8033,03-3719-2031,152-0003,目黒区碑文谷1-18-14碑小学校内南西側,35.618874,139.690491,JGD2011,月曜日～金曜日8時30分～19時／土曜日8時30分～17時／夜間、休日については留守番電話にて対応,高齢者だけでなく、障害者や子ども等要支援者の総合的な連絡窓口,〇,,,,〇,
5,南3丁目、平町、大岡山、緑が丘、自由が丘、中根、柿の木坂、八雲、東が丘,西部包括支援センター,ｾｲﾌﾞﾎｳｶﾂｼｴﾝｾﾝﾀｰ,03-5701-7244,03-3723-3432,152-0022,目黒区柿の木坂1-28-10,35.619823,139.675735,JGD2011,月曜日～金曜日8時30分～19時／土曜日8時30分～17時／夜間、休日については留守番電話にて対応,高齢者だけでなく、障害者や子ども等要支援者の総合的な連絡窓口,〇,,,,〇,
6,区内全域,青葉台さくら苑在宅介護支援センター,ｱｵﾊﾞﾀﾞｲｻｸﾗｴﾝｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,03-3791-3505,03-3791-3504,153-0042,目黒区青葉台3-21-6青葉台さくら苑内,35.649391,139.692413,JGD2011,月曜日～金曜日8時30分～17時30分／（土曜日・日曜日・年末年始 12月29日～1月3日を除く。),,,,〇,,〇,
7,区内全域,清徳会在宅介護支援センター,ｾｲﾄｸｶｲｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,03-3794-6780,03-3794-0868,152-0002,目黒区目黒本町4-2-1清徳苑内,35.623085,139.698441,JGD2011,月曜日～土曜日9時～18時／（日曜日・年末年始12月30日～1月3日を除く。),,,,〇,,〇,
8,区内全域,目黒区大橋在宅介護支援センター,ﾒｸﾞﾛｸｵｵﾊｼｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,03-5790-2516,03-5465-1822,153-0044,目黒区大橋2-16-1坂本ビル1階,35.653767,139.68718,JGD2011,月曜日～金曜日9時～18時／（土曜日・日曜日・祝日・年末年始12月29日～1月3日を除く。),,,,〇,,〇,
9,区内全域,目黒区下目黒在宅介護支援センター,ﾒｸﾞﾛｸｼﾓﾒｸﾞﾛｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,03-3492-0040,03-3492-0042,153-0064,目黒区下目黒2-21-16-101,35.634972,139.709427,JGD2011,H29.4.30より休止中,,,,〇,,〇,
10,区内全域,目黒区日扇会在宅介護支援センター,ﾒｸﾞﾛｸﾆｯｾﾝｶｲｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,03-3718-2071,03-3718-2106,152-0031,目黒区中根2-13-18文保堂ビル2階,35.635044,139.707016,JGD2011,月曜日～土曜日9時～17時／土曜12時30分まで（日曜日・祝日・年末年始 12月29日～1月3日を除く。),,,,〇,,〇,
11,区内全域,東京共済病院在宅介護支援センター,ﾄｳｷｮｳｷｮｳｻｲﾋﾞｮｳｲﾝｻﾞｲﾀｸｶｲｺﾞｼｴﾝｾﾝﾀｰ,03-5794-7336,03-5794-7335,153-0061,目黒区中目黒2-3-8東京共済病院内,35.641899,139.703857,JGD2011,月曜日～金曜日8時30分～17時（土曜日・日曜日・祝日・年末年始12月29日～1月3日を除く。),,,,〇,,〇,
