設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
他の法人,ふるさと下落合館,161-0033,新宿区下落合２－５－１７,139.70123,35.71674,JGD2011,03-6908-2030,23
他の法人,ドミトリー落合（日住）,161-0034,新宿区上落合２－２８－１２,139.68573,35.71146,JGD2011,03-5386-5866,20
他の法人,おおぞら荘,111-0021,台東区日本堤１－１７－７,139.79912,35.72612,JGD2011,03-5603-8019,37
他の法人,ふるさと旅館朝日館,111-0021,台東区日本堤１－２４－４,139.8,35.72727,JGD2011,03-5808-9501,15
他の法人,ふるさと清川荘,111-0022,台東区清川２－１８－５,139.80148,35.72767,JGD2011,03-6458-1274,15
他の法人,ふるさとホテル三晃,111-0022,台東区清川２－３８－５,139.80061,35.72885,JGD2011,03-3872-7082,69
他の法人,山友荘,111-0022,台東区清川２－３８－２,139.80061,35.72885,JGD2011,03-3875-3646,21
他の法人,ふるさとあさひ館,111-0031,台東区千束４－２８－１,139.79457,35.72276,JGD2011,03-5824-1050,16
他の法人,千束荘,111-0031,台東区千束３－２３－１３,139.79349,35.72248,JGD2011,03-3873-2633,33
他の法人,ＳＴＥＰ－ＵＰ－ＨＯＵＳＥ,-,台東区,-,-,-,-,12
他の法人,きぼうのいえ,-,台東区,-,-,-,-,21
他の法人,コスモスハウスおはな,-,台東区,-,-,-,-,13
他の法人,ふるさと日の出館,-,台東区,-,-,-,-,15
他の法人,やすらぎの家,-,台東区,-,-,-,-,15
他の法人,ふるさと寿々喜屋ハウス,130-0004,墨田区本所２－２０－５,139.80199,35.70481,JGD2011,03-6456-1442,20
他の法人,ふるさと福久井荘,131-0032,墨田区東向島２－４８－１３,139.81911,35.71969,JGD2011,03-6231-9930,16
他の法人,あさひ　第３八広寮,131-0041,墨田区八広３－１－３,139.82495,35.71876,JGD2011,03-6657-0545,9
他の法人,あさひ　宮田記念第３八広寮,131-0041,墨田区八広３－１－３,139.82495,35.71876,JGD2011,03-6657-0545,10
他の法人,ふるさと晃荘,131-0041,墨田区八広１－１４－１,139.82338,35.72044,JGD2011,03-6657-2440,16
他の法人,フラワーハイツ,-,墨田区,-,-,-,-,15
他の法人,大森南荘,143-0013,大田区大森南２－１－２６,139.74091,35.56315,JGD2011,03-5735-5805,12
他の法人,蒲田荘（日住）,144-0053,大田区蒲田本町２－１９－４,139.71729,35.55631,JGD2011,03-5711-5258,20
社福法人,春風寮,144-0055,大田区仲六郷４－２－１２,139.70972,35.54505,JGD2011,03-6424-8122,32
他の法人,大蔵荘,157-0074,世田谷区大蔵６－７－２６,139.61195,35.62563,JGD2011,03-5727-1250,15
他の法人,自立支援ホームわかば荘,164-0011,中野区中央２－５７－７,139.67661,35.70135,JGD2011,03-6279-2320,15
他の法人,下井草荘,167-0022,杉並区下井草１－７－１５,139.63242,35.71508,JGD2011,03-5303-5020,17
他の法人,本天沼荘,167-0031,杉並区本天沼２－３１－８,139.62544,35.71456,JGD2011,03-5303-7808,28
他の法人,ふるさと町屋荘,116-0001,荒川区町屋８－１４－１１,139.78679,35.74811,JGD2011,03-6807-8148,16
他の法人,町屋荘,116-0001,荒川区町屋１－３０－２,139.78526,35.74571,JGD2011,03-5901-4433,12
他の法人,向原荘,173-0036,板橋区向原１－２０－３,139.68579,35.74322,JGD2011,03-5917-6765,24
他の法人,高島平荘（日住）,175-0082,板橋区高島平１－５９－１０,139.67181,35.78559,JGD2011,03-5921-0018,20
他の法人,大泉荘,178-0061,練馬区大泉学園町３－３－２６,139.58669,35.7623,JGD2011,03-5905-6077,16
他の法人,あさひ　第一西水元寮,125-0031,葛飾区西水元３－３６－１,139.85216,35.78827,JGD2011,03-6231-3946,7
他の法人,青戸荘（日住）,125-0062,葛飾区青戸８－３－８,139.85005,35.75608,JGD2011,03-5650-3590,15
他の法人,瑞江荘,132-0015,江戸川区西瑞江３－１７－１７,139.89177,35.68668,JGD2011,03-5636-2822,28
他の法人,東葛西ハイツ（日住）,134-0084,江戸川区東葛西６－１５－２,139.87599,35.66217,JGD2011,03-6808-9939,15
他の法人,西葛西荘,134-0088,江戸川区西葛西２－２０－２,139.85443,35.66657,JGD2011,03-3804-7570,29
他の法人,八王子荘２,192-0012,八王子市左入町４１４－１,139.34378,35.68782,JGD2011,042-696-6822,20
他の法人,八王子ドゥーム２,-,八王子市,-,-,-,-,37
他の法人,ル・シェール八王子２,-,八王子市,-,-,-,-,37
他の法人,立川第２荘（２）,190-0013,立川市富士見町４－１５－１４,139.39961,35.69511,JGD2011,042-521-0855,20
他の法人,グランドール立川２,-,立川市,-,-,-,-,20
他の法人,新町ハイツ２,198-0024,青梅市新町８－１０－８,139.31577,35.78153,JGD2011,042-878-2105,37
他の法人,梶野町荘,184-0002,小金井市梶野町２－１６－７,139.52924,35.70932,JGD2011,042-259-0630,16
他の法人,梶野町第２荘,184-0002,小金井市梶野町２－１６－６,139.52924,35.70932,JGD2011,042-236-5572,16
他の法人,小金井荘,184-0002,小金井市梶野町４－１０－２３,139.52699,35.70747,JGD2011,042-250-0550,16
他の法人,東小金井荘,184-0002,小金井市梶野町４－１０－２４,139.52699,35.70747,JGD2011,042-255-5744,12
他の法人,サンハイツ貫井南２,184-0014,小金井市貫井南町４－１４－８,139.49466,35.69549,JGD2011,042-383-3993,37
他の法人,花小金井ハイツ２,187-0002,小平市花小金井６－２０－３,139.51057,35.73022,JGD2011,042-451-4015,20
他の法人,天神ハイツ２,187-0004,小平市天神町２－４－３３,139.49271,35.73304,JGD2011,042-312-3167,20
他の法人,ベル１０１（２）,-,日野市,-,-,-,-,20
他の法人,日野第二荘,-,日野市,-,-,-,-,19
他の法人,ドーミー久米川２,189-0014,東村山市本町１－９－１１,139.46751,35.75204,JGD2011,042-306-1899,20
他の法人,芝久保ハイツ２,188-0014,西東京市芝久保町４－２－９,139.52798,35.73027,JGD2011,042-468-1625,20
