"No","性別","年齢","保育士資格の取得方法","問22から　主に「働くために支援が必要だと感じていること」について抜粋"
"1","女性","20～24歳","大学の保育士養成課程","保育士として働くためには、たくさんの経験が必要だと感じる。そのためには、現場でのフォローや教育が最も大切だと思うので、このような部分に支援が必要だと思う。"
"2","女性","20～24歳","大学の保育士養成課程","保育士として働く人への子育て支援（勤務が不規則、休みをとりにくいなどの理由から）  精神的、肉体的に負担が大きいのでそのケア"
"3","女性","20～24歳","大学の保育士養成課程","今後、妊娠や出産をすることになり、一度仕事を辞めてしまったら、その後また現場復帰が容易にできるのかが不安。そういった人への支援があるととても助かります。"
"4","女性","25～29歳","通信教育等で学んだ後、保育士試験","通信教育で資格を取得した人達は、就活が学校に通っている人より困難な気がします。就職支援セミナーがある事をもっと早く知りたかったです。"
"5","女性","25～29歳","通信教育等で学んだ後、保育士試験","（支援が必要なこと）保育士の数の不足。子どもに対してぴったりの人数配置だと職員の休みもとれない。1才児においては6対1、は不可能。手がとてもかかる時期なのでせめて5対1にしてほしい。勤務条件が公立（正規）であっても良いとは言えない。雑務、書類が多すぎて残業せざるを負えない。"
"6","女性","30～34歳","短期大学の保育士養成課程","保育士は早番（7：30～）、遅番（～19：30）などがあり、子どもが小さいと家庭はこわれてしまいます。もっと子育て支援を充実して欲しい。子育ての間、5年くらい休業できる制度があると嬉しい。"
"7","女性","30～34歳","短期大学の保育士養成課程","子育て中の保育士が仕事をしていく上での制度や支援が必要だと感じます。自分は20：00まで延長保育をするのに我が子の預け先も20：00までだと迎えに行くことがむずかしく2重保育が必要になってしまうなど、矛盾を感じます。"
"8","女性","35～39歳","短期大学の保育士養成課程","保育士として働きたいが、自分の子どもも預けたい。保育時間や勤ム時間、保育士も働く親として、安心して自分の子どもを預けられるよう、職場環境を配慮したりして、離職せず働けるよう支援してほしいと思います。"
"9","女性","40～44歳","通信教育等で学んだ後、保育士試験","女性が多い職場なので、休みを取りやすく、また子どもがいても働きやすい環境が必要だと思う。保育の質を向上させていくためには経験を持つ人材を辞めさせない支援が必要だと思う。（現在の職場は産後復帰する人はいません。）"
"10","女性","45～49歳","短期大学の保育士養成課程","保育ママをしていますが、ベビーカーや必要な物が最初だけ支給してくれるがその後は援助がない為いつも大変です。子供用品はすぐに壊れるのでもう少し考えてほしい。長くすればするほど持ち出すお金が出てしまう。支援がないのでやる人が増えないと思う。"
"11","女性","50～54歳","通信教育等で学んだ後、保育士試験","保育士の資格を持っていながら、子育て中の為、働いていない方もいます。短い時間でも、シフトを組むことで対応できる場合もあるので、登録制にして多くの人が働けるような仕組みを考えていただけたらと思っています。地域の子育て支援で、友だちと子どもを預りたいと思っていますが、場所と資金がありません。何か協力できることがありましたら連絡ください。"
