区市町村通番,所管地域,名称,ヨミガナ,電話番号,ＦＡＸ番号,郵便番号,住所,緯度,経度,座標系,対応時間帯,特記事項,施設種別／地域包括支援センター,施設種別／ブランチ・サブセンター,施設種別／在宅介護支援センター,施設種別／その他相談窓口,相談内容／高齢者の異変,相談内容／消費者被害のおそれ
1,上井草1・2・3・4丁目、井草3・4・5丁目,ケア24上井草,ｹｱ24ｶﾐｲｸﾞｻ,03-3396-0024,03-5311-1291,167-0023,杉並区上井草3-33-10,35.724243,139.602463,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
2,井草1・2丁目、下井草2・3・4・5丁目,ケア24下井草,ｹｱ24ｼﾓｲｸﾞｻ,03-5303-5341,03-5303-5342,167-0022,杉並区下井草2-44-4,35.723587,139.625412,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
3,善福寺1・2・3・4丁目、西荻北3・4・5丁目,ケア24善福寺,ｹｱ24ｾﾞﾝﾌﾟｸｼﾞ,03-5311-1024,03-5311-1027,167-0042,杉並区西荻北4-31-11,35.709129,139.592743,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
4,今川3・4丁目、桃井3・4丁目、上荻2・3・4丁目、西荻北1・2丁目,ケア24上荻,ｹｱ24ｶﾐｵｷﾞ,03-5303-6851,03-5303-6853,167-0043,杉並区上荻3-16-6,35.708717,139.607788,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
5,松庵2・3丁目、西荻南1・2・3・4丁目、宮前3丁目,ケア24西荻,ｹｱ24ﾆｼｵｷﾞ,03-3333-4668,03-3333-3968,167-0053,杉並区西荻南4-2-7,35.699791,139.604813,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
6,清水1・2・3丁目、本天沼2・3丁目、桃井1・2丁目、今川1・2丁目,ケア24清水,ｹｱ24ｼﾐｽﾞ,03-5303-5823,03-5382-2633,167-0033,杉並区清水2-15-24,35.714237,139.618286,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
7,天沼1・2・3丁目、上荻1丁目、荻窪3・4・5丁目,ケア24荻窪,ｹｱ24ｵｷﾞｸﾎﾞ,03-3391-0888,03-3391-2304,167-0051,杉並区荻窪5-20-1,35.701988,139.620255,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
8,荻窪1・2丁目、南荻窪1・2・3・4丁目、宮前2丁目、高井戸東4丁目,ケア24南荻窪,ｹｱ24ﾐﾅﾐｵｷﾞｸﾎﾞ,03-5336-3724,03-5336-3727,167-0052,杉並区南荻窪2-28-13,35.699345,139.613159,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
9,阿佐谷北1・2・3・4・5・6丁目、阿佐谷南2丁目、下井草1丁目、本天沼1丁目,ケア24阿佐谷,ｹｱ24ｱｻｶﾞﾔ,03-3339-1588,03-3339-1600,166-0001,杉並区阿佐谷北1-3-12,35.705463,139.63858,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
10,成田東2・5丁目、成田西1・2・3・4丁目、阿佐谷南3丁目、浜田山4丁目,ケア24成田,ｹｱ24ﾅﾘﾀ,03-5307-3822,03-5307-3820,166-0016,杉並区成田西3-7-4,35.693752,139.631973,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
11,松ノ木1・2・3丁目、成田東1・3・4丁目、大宮2丁目、阿佐谷南1丁目,ケア24松ノ木,ｹｱ24ﾏﾂﾉｷ,03-3318-8530,03-3318-8533,166-0014,杉並区松ノ木3-3-4,35.692619,139.644409,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
12,高円寺北1・2・3・4丁目、高円寺南3・4丁目,ケア24高円寺,ｹｱ24ｺｳｴﾝｼﾞ,03-5305-6151,03-5305-6152,166-0003,杉並区高円寺南4-26-16,35.704582,139.649536,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
13,梅里1・2丁目、堀ノ内2・3丁目、高円寺南2丁目,ケア24梅里,ｹｱ24ｳﾒｻﾄ,03-5929-1924,03-5929-1925,166-0011,杉並区梅里1-7-17,35.697685,139.649414,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
14,和田1・2・3丁目、高円寺南1・5丁目,ケア24和田,ｹｱ24ﾜﾀﾞ,03-5305-6024,03-5305-6023,166-0012,杉並区和田3-52-4,35.696148,139.654663,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
15,久我山1・2・3・4・5丁目、松庵1丁目、宮前5丁目,ケア24久我山,ｹｱ24ｸｶﾞﾔﾏ,03-5346-3348,03-5336-3370,168-0082,杉並区久我山3-47-16,35.690121,139.593414,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
16,高井戸西1・2・3丁目、高井戸東2丁目、上高井戸1・2丁目、宮前1・4丁目,ケア24高井戸,ｹｱ24ﾀｶｲﾄﾞ,03-3334-2495,03-3334-2307,168-0071,杉並区高井戸西1-12-1,35.67963,139.609787,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
17,浜田山1・2・3丁目、下高井戸4・5丁目、高井戸東1・3丁目、上高井戸3丁目,ケア24浜田山,ｹｱ24ﾊﾏﾀﾞﾔﾏ,03-5357-4944,03-5357-4966,168-0065,杉並区浜田山1-36-3,35.680233,139.629898,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
18,堀ノ内1丁目、大宮1丁目、和泉3・4丁目、永福4丁目,ケア24堀ノ内,ｹｱ24ﾎﾘﾉｳﾁ,03-5305-7328,03-5305-7331,166-0013,杉並区堀ノ内1-6-6,35.683041,139.653595,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
19,永福1・2・3丁目、下高井戸1・2・3丁目,ケア24永福,ｹｱ24ｴｲﾌｸ,03-5355-5124,03-5355-5125,168-0064,杉並区永福3-35-11,35.678196,139.635666,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
20,方南1・2丁目、和泉1・2丁目,ケア24方南,ｹｱ24ﾎｳﾅﾝ,03-5929-2751,03-5929-2757,168-0062,杉並区方南2-6-28,35.680653,139.659454,JGD2011,〔月曜日～金曜日〕 9時~19時／〔土曜日〕 9時~13時,高齢者の見守り等に係る主管課杉並区役所高齢者在宅支援課高齢者見守り連携係／（代）03-3312-2111,〇,,,,〇,〇
21,区内全域,杉並区立消費者センター,ｽｷﾞﾅﾐｸﾘﾂｼｮｳﾋｼｬｾﾝﾀｰ,03-3398-3121（相談専用）,03-3398-3159,167-0032,杉並区天沼3-19-16 ｳｪﾙﾌｧｰﾑ杉並3階,35.710388,139.620667,JGD2011,平日9時～16時,,,,,〇,,〇
