区市町村通番,所管地域,名称,ヨミガナ,電話番号,ＦＡＸ番号,郵便番号,住所,緯度,経度,座標系,対応時間帯,特記事項,施設種別／地域包括支援センター,施設種別／ブランチ・サブセンター,施設種別／在宅介護支援センター,施設種別／その他相談窓口,相談内容／高齢者の異変,相談内容／消費者被害のおそれ
1,市全域,安心見守り電話,ｱﾝｼﾝﾐﾏﾓﾘﾃﾞﾝﾜ,0422-29-9270,,181-8555,三鷹市野崎1-1-1,35.683262,139.559418,JGD2011,平日8時30分～17時15分※,生命等に危ない兆候があり、安否等が心配な時の連絡・相談窓口,,,,〇,〇,
2,市全域,三鷹市高齢者支援課高齢者相談係,ﾐﾀｶｼｺｳﾚｲｼｬｼｴﾝｶｺｳﾚｲｼｬｿｳﾀﾞﾝｶｶﾘ,0422-45-1151／（内線2621～4）,,181-8555,三鷹市野崎1-1-1,35.683262,139.559418,JGD2011,平日8時30分～17時15分,高齢者の総合相談窓口,,,,〇,〇,
3,牟礼1～7丁目、新川2・3丁目、北野1～4丁目,三鷹市東部地域包括支援センター,ﾐﾀｶｼﾄｳﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ,0422-48-8855,0422-49-8896,181-0013,三鷹市下連雀5-2-5 特別養護老人ホーム弘済園1階,35.685867,139.571869,JGD2011,月曜日～土曜日9時～17時,地域における高齢者の総合相談窓口,〇,,,,〇,〇
4,井の頭1～5丁目,三鷹市井の頭地域包括支援センター,ﾐﾀｶｼｲﾉｶﾞｼﾗﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ,0422-44-7400,0422-44-9772,181-0002,三鷹市牟礼6-12-30 三鷹市牟礼老人保健施設はなかいどう内,35.687645,139.574585,JGD2011,月曜日～土曜日9時～17時,地域における高齢者の総合相談窓口,〇,,,,〇,〇
5,井の頭1～5丁目,井の頭地域福祉支援センター,ｲﾉｶﾞｼﾗﾁｲｷﾌｸｼｼｴﾝｾﾝﾀｰ,0422-24-7335,0422-24-7335,181-0002,三鷹市井の頭2-32-30 井の頭コミュニティ・センター新館内,35.693962,139.583344,JGD2011,火曜日～金曜日10時～16時30分,地域における高齢者の総合相談窓口,,,,〇,,〇
6,下連雀5～9丁目、上連雀6～9丁目、野崎1丁目,三鷹市連雀地域包括支援センター,ﾐﾀｶｼﾚﾝｼﾞｬｸﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ,0422-40-2635,0422-47-5406,181-0013,三鷹市下連雀8-3-6 野村病院内,35.684921,139.568466,JGD2011,月曜日～土曜日9時～17時,地域における高齢者の総合相談窓口,〇,,,,〇,〇
7,上連雀1～5丁目、下連雀1～4丁目,三鷹市三鷹駅周辺地域包括支援センター,ﾐﾀｶｼｴｷｼｭｳﾍﾝﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ,0422-76-4500,0422-76-4505,181-0013,三鷹市下連雀4-2-8 介護老人保健施設太郎内,35.693394,139.56485,JGD2011,月曜日～土曜日9時～17時,地域における高齢者の総合相談窓口,〇,,,,〇,〇
8,井口1～5丁目、深大寺1～3丁目、野崎2～4丁目,三鷹市西部地域包括支援センター,ﾐﾀｶｼｾｲﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ,0422-34-6536,0422-34-6538,181-0016,三鷹市深大寺2-29-13 高齢者センターけやき苑内,35.684795,139.541,JGD2011,月曜日～土曜日9時～17時,地域における高齢者の総合相談窓口,〇,,,,〇,〇
9,大沢1～6丁目,三鷹市大沢地域包括支援センター,ﾐﾀｶｼｵｵｻﾜﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ,0422-33-2287,0422-33-2220,181-0015,三鷹市大沢4-8-8 旧どんぐり山施設内,35.670273,139.540161,JGD2011,月曜日～土曜日9時～17時,地域における高齢者の総合相談窓口,〇,,,,〇,〇
10,中原1～4丁目、新川1・4～6丁目,三鷹市新川中原地域包括支援センター,ﾐﾀｶｼｼﾝｶﾜﾅｶﾊﾗﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ,0422-40-7204,0422-40-7209,181-0004,三鷹市新川5-6-31 特別養護老人ホームみたか紫水園内,35.676071,139.571152,JGD2011,月曜日～土曜日9時～17時,地域における高齢者の総合相談窓口,〇,,,,〇,〇
11,市内全域,三鷹市消費者活動センター,ﾐﾀｶｼｼｮｳﾋｼｬｶﾂﾄﾞｳｾﾝﾀｰ,0422-47-9042,0422-45-3300,181-0013,三鷹市下連雀3丁目22-7,35.700787,139.563644,JGD2011,月曜日～金曜日（祝日・年末年始を除く。）10時～16時（12時～13時を除く。）,三鷹市に在住・在勤・在学の方の消費生活に関する専門相談,,,,〇,,〇
