"","問７－２　就業施設運営主体【現在保育士就業中】","問７－２　就業施設運営主体【現在保育士就業中】／n","4／給与・賞与等の改善(%)","6／職員数の増員(%)","1／事務・雑務の軽減(%)","3／未消化（有給等）休暇の改善(%)","2／勤務シフトの改善(%)","7／職員間のコミュニケーション(%)","13／研修機会の充実(%)","12／相談体制の充実(%)","11／園（など）の理念や運営方針(%)","5／雇用の安定化（正規職員登用）(%)","9／責任範囲の縮小(%)","10／評価制度の見直し(%)","8／権限範囲の拡大(%)","14／その他(%)","15／特にない(%)","16／無回答(%)"
"1","認可保育所","5267","58.5","39.2","37.6","35.5","27.6","21.6","12.1","13.6","11.6","11.1","12.5","7.4","3.4","8.1","7.7","1.7"
"2","認証保育所（Ａ型）","753","72.2","53.8","39.2","29.5","32.9","19.3","16.3","15.8","16.7","9.3","14.1","11.8","4.1","7.8","5.3","1.7"
"3","認証保育所（Ｂ型）","147","68.0","50.3","33.3","32.0","30.6","15.6","10.2","10.9","15.0","10.2","12.9","7.5","1.4","6.1","5.4","2.7"
"4","認定こども園","230","53.9","42.2","34.3","36.5","27.4","27.0","17.4","14.8","15.2","10.9","13.0","7.0","3.9","6.1","9.1","4.8"
"5","事業所内保育所","169","60.9","34.9","22.5","20.7","30.8","16.0","14.2","10.1","16.6","17.2","9.5","5.9","1.2","6.5","7.1","3.0"
"6","院内保育所","148","65.5","35.8","20.9","14.9","32.4","12.8","12.8","9.5","16.2","14.2","12.2","6.1","2.7","8.1","10.8","2.0"
"7","子育て広場","103","39.8","20.4","12.6","10.7","17.5","7.8","17.5","2.9","6.8","22.3","12.6","1.9","3.9","3.9","19.4","2.9"
"8","学童クラブ","260","60.4","39.6","24.6","21.5","17.7","22.7","20.0","15.8","16.9","35.8","9.6","6.5","5.4","5.8","10.0","1.5"
"9","家庭的保育者（保育ママ）","101","37.6","15.8","20.8","14.9","15.8","4.0","9.9","14.9","9.9","11.9","4.0","3.0","3.0","6.9","25.7","5.0"
"10","児童福祉施設（保育所を除く）","236","54.2","56.4","35.2","32.6","30.1","24.2","24.2","17.8","10.2","16.9","9.3","11.4","4.7","6.4","7.6","0.4"
"11","ベビーホテル","29","51.7","41.4","24.1","10.3","37.9","17.2","20.7","10.3","13.8","20.7","3.4","6.9","0.0","6.9","6.9","10.3"
"12","その他","643","55.4","36.5","25.0","17.6","21.9","15.1","17.7","11.4","13.8","16.2","10.4","5.3","4.0","7.2","10.7","2.5"
