回答／妻の年齢,25歳未満(%),25～29歳(%),30～34歳(%),35～39歳(%),40～44歳(%),45～49歳(%),総数(%)
子育てや教育にお金がかかりすぎるから,81,81.7,75.5,59.2,57.8,53.1,62.9
高年齢で産むのはいやだから,4.8,7.5,16.5,42.1,40.7,41.4,33.2
これ以上、育児の心理的・肉体的負担に耐えられないから,14.3,16.7,25.7,25.5,20.3,18.3,21.8
子どもがのびのび育つ社会環境ではないから,19,28,27.1,20.2,17.1,15.6,20.4
健康上の理由から,23.8,11.8,15.1,19,23.6,23,19.7
自分の仕事（勤めや家業）差し支えるから,33.3,15.1,21.8,18.1,15.1,14.1,17.1
欲しいけれどもできないから,,5.4,12.9,16.2,20.5,17.3,15.7
家が狭いから,14.3,20.4,18,16.2,13,9.2,14.6
夫の家事育児への協力が得られないから,19,13.4,9.4,13.5,12.2,11.9,12.1
自分や夫婦の生活を大切にしたいから,14.3,18.3,17.3,13,8.9,4.9,11.5
一番末の子が夫の定年までに成人して欲しいから,4.8,6.5,6.2,12.4,11.6,8.7,9.6
夫が望まないから,14.3,8.6,8.2,7,6.2,6.8,7.2
その他,,7,6.5,6.7,4.7,4.5,5.6
