施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
立川市健康会館,190-0011,立川市高松町３－２２－９,139.41904,35.70296,JGD2011,042-527-3632
武蔵野市立保健センター,180-0001,武蔵野市吉祥寺北町４－８－１０,139.56651,35.71277,JGD2011,0422-51-7004
三鷹市総合保健センター,181-0004,三鷹市新川６－３７－１　元気創造プラザ２階,139.56218,35.68187,JGD2011,0422-45-1151
青梅市健康センター,198-0042,青梅市東青梅１－１７４－１,139.27274,35.78766,JGD2011,0428-23-2191
府中市保健センター,183-0055,府中市府中町２－２５,139.4827,35.67585,JGD2011,042-368-5311
昭島市保健福祉センター「あいぽっく」,196-0015,昭島市昭和町４－７－１,139.36354,35.71101,JGD2011,042-544-5126
調布市保健センター,182-0026,調布市小島町２－３３－１,139.54144,35.65147,JGD2011,042-441-6100
小金井市保健センター,184-0015,小金井市貫井北町５－１８－１８,139.49036,35.70167,JGD2011,042-321-1240
小平市健康センター,187-0043,小平市学園東町１－１９－１２,139.47797,35.72678,JGD2011,042-346-3700
日野市生活・保健センター,191-0011,日野市日野本町１－６－２,139.40025,35.67592,JGD2011,042-581-4111
東村山市保健福祉総合センター「いきいきプラザ」,189-8501,東村山市本町１－２－３,139.46841,35.75449,JGD2011,042-393-5111
国分寺市いずみ保健センター,185-0024,国分寺市泉町２－３－８,139.46869,35.69611,JGD2011,042-321-1801
国立市保健センター,186-0003,国立市富士見台３－１６－５,139.43675,35.6862,JGD2011,042-572-6111
福生市保健センター,197-0011,福生市大字福生２１２５－３,139.3327,35.74394,JGD2011,042-552-0061
狛江市保健センター（あいとぴあセンター）,201-0013,狛江市元和泉２－３５－１,139.56741,35.6334,JGD2011,03-3488-1181
東大和市立保健センター,207-0015,東大和市中央３－９１８－１,139.42751,35.74592,JGD2011,042-565-5211
清瀬市しあわせ未来センター,204-8511,清瀬市中里５－８４２,139.52655,35.78557,JGD2011,042-492-5111
東久留米市わくわく健康プラザ,203-0033,東久留米市滝山４－３－１４,139.50406,35.74133,JGD2011,042-477-0030
武蔵村山市立保健相談センター,208-0004,武蔵村山市本町１－２３,139.38742,35.75282,JGD2011,042-565-9315
多摩市立健康センター,206-0011,多摩市関戸４－１９－５,139.44958,35.64898,JGD2011,042-376-9111
稲城市保健センター,206-0804,稲城市百村１１２－１,139.49731,35.63797,JGD2011,042-378-3421
羽村市保健センター,205-0003,羽村市緑ケ丘５－５－２,139.31209,35.76891,JGD2011,042-555-1111
あきる野市あきる野保健相談所,197-0804,あきる野市秋川６－１－２,139.29012,35.72893,JGD2011,042-558-5091
あきる野市五日市保健センター,190-0164,あきる野市五日市４１４－５,139.21956,35.72925,JGD2011,042-558-1111
西東京市田無総合福祉センター,188-0011,西東京市田無町５－５－１２,139.53619,35.73098,JGD2011,042-466-1670
西東京市保谷保健福祉総合センター,202-8555,西東京市中町１－５－１,139.55884,35.74174,JGD2011,042-464-1311
瑞穂町保健センター,190-1211,西多摩郡瑞穂町大字石畑１９７０,139.35938,35.77695,JGD2011,042-557-5072
日の出町保健センター,190-0192,西多摩郡日の出町大字平井２７８０,139.25661,35.74244,JGD2011,042-588-5426
檜原村やすらぎの里,190-0211,西多摩郡檜原村２７１７,139.14885,35.72684,JGD2011,042-598-3121
奥多摩町保健福祉センター,198-0212,西多摩郡奥多摩町氷川１１１１,139.09344,35.8236,JGD2011,0428-83-2777
大島けんこうセンター,100-0102,大島町岡田字沢立１１１－１,139.38251,34.78303,JGD2011,04992-2-1482（福祉けんこう課けんこう係）
新島村さわやか健康センター,100-0402,新島村本村３－１２－８,139.25946,34.37287,JGD2011,04992-5-1856
神津島村保健センター,100-0601,神津島村１００９－１,139.13504,34.20461,JGD2011,04992-8-0010
八丈町保健福祉センター,100-1511,八丈町三根２－１,139.79211,33.11377,JGD2011,04996-2-5570（福祉健康課保健係）
青ヶ島村保健福祉センター,100-1701,青ヶ島村無番地,139.76334,32.46654,JGD2011,04996-9-0111
