,問７－４　就業施設雇用形態【現在保育士就業中】,問７－４　就業施設雇用形態【現在保育士就業中】／n,1／保育実技(%),8／特別な支援を必要とする子供への接し方(%),11／保護者との対応の仕方(%),5／発達心理学(%),2／救命救急(%),3／安全管理(%),7／食に関する指導(%),13／パソコン操作(%),4／衛生管理(%),10／地域の子育て支援(%),12／同僚とのコミュニケーション(%),6／保育所保育指針(%),9／幼稚園教諭免許取得のための学習(%),14／その他(%),15／特に欲しいと思うことはない(%),16／無回答(%)
0,TOTAL,8214,61.4,60.9,51.1,48.7,44.8,35.7,31.2,27.2,24.9,17,12.8,11.4,6.2,1.6,1.5,1.6
1,正規職員,4702,70.8,60.5,61.5,49.9,43.8,37.9,33.3,28.5,25.3,17.9,14.9,13.9,6.1,1.9,1,1.1
2,有期契約職員フルタイム,886,55.9,66.8,46.4,51.2,42.8,36.8,32.1,31.3,24.6,18.2,12.2,10.4,9.3,1.6,1.5,1.5
3,有期契約職員パートタイム,2536,46.3,60.3,33.9,45.5,47.5,31.2,26.9,23.7,24.1,15.2,9.3,7.3,5.3,1.1,2.5,2.3
1,女性計,7526,61.6,61.5,51.3,48.9,45.2,35.4,31.5,27.3,24.9,16.6,12.3,11,6.2,1.5,1.4,1.5
2,女性２０代,3297,76.7,61.8,68.1,51.2,46,39.3,35.2,25.7,26,17.6,16.4,12.2,4.7,1.4,0.8,0.6
3,女性３０代,1612,59,65.8,50.2,49.8,46.9,35,34.6,31.4,27.3,18.5,11.4,12.8,9.6,1.6,0.5,1.6
4,女性４０代,1560,48.1,60,33.7,49.2,46.2,32.2,27,27.2,23.9,14.7,8.3,9.4,7.8,1.7,2.2,1.7
5,女性５０代以上,1005,37.3,55.8,25.6,39.7,38.4,28.5,21.4,26.2,19.4,13.8,7,7,3.6,1.8,3.5,4
6,男性計,380,68.2,55,58.2,48.4,41.8,43.2,29.5,27.1,27.9,28.2,22.6,20.5,7.6,3.4,0.8,1.8
7,男性２０代,281,71.5,54.8,61.2,50.2,43.8,46.6,31.7,28.8,30.6,27.4,21.7,21.4,6,3.2,0.7,2.1
8,男性３０代以上,99,58.6,55.6,49.5,43.4,36.4,33.3,23.2,22.2,20.2,30.3,25.3,18.2,12.1,4,1,1
1,指定保育士養成施設卒（専門 ・短大・大学等）,6514,61.8,59.8,52.6,48.9,43.5,35.1,30.7,28.8,23.5,16.4,13,11.7,3.3,1.5,1.5,1.7
2,保育士試験,1640,60.2,65.4,45.4,47.6,50,38,33.2,21,30.5,19.5,12.3,10.1,18,1.8,1.3,1.2
