上段：度数／下段：%,n=,結婚,妊娠・出産,子育て・家事,健康上の理由（体力含む）,転居,給料が安い,仕事量が多い,労働時間が長い,職場の人間関係,保護者対応等の心労,職業適性に対する不安,他業種への興味,家族の事情（介護等）,配偶者の意向,その他,無回答
ＴＯＴＡＬ,2871,586,738,347,451,311,733,584,503,590,143,217,411,183,58,508,39
ＴＯＴＡＬ,100,20.4,25.7,12.1,15.7,10.8,25.5,20.3,17.5,20.6,5,7.6,14.3,6.4,2,17.7,1.4
性別・年代／女性計,2641,558,709,322,415,303,641,538,456,531,130,198,366,163,54,465,32
性別・年代／女性計,100,21.1,26.8,12.2,15.7,11.5,24.3,20.4,17.3,20.1,4.9,7.5,13.9,6.2,2,17.6,1.2
性別・年代／女性２０代,634,140,187,55,107,66,194,182,170,211,36,82,111,13,8,97,9
性別・年代／女性２０代,100,22.1,29.5,8.7,16.9,10.4,30.6,28.7,26.8,33.3,5.7,12.9,17.5,2.1,1.3,15.3,1.4
性別・年代／女性３０代,961,234,364,146,115,139,252,208,180,162,60,51,112,36,19,145,6
性別・年代／女性３０代,100,24.3,37.9,15.2,12,14.5,26.2,21.6,18.7,16.9,6.2,5.3,11.7,3.7,2,15.1,0.6
性別・年代／女性４０代,590,109,95,80,102,57,121,90,67,104,20,43,89,44,12,133,6
性別・年代／女性４０代,100,18.5,16.1,13.6,17.3,9.7,20.5,15.3,11.4,17.6,3.4,7.3,15.1,7.5,2,22.5,1
性別・年代／女性５０代以上,425,67,53,40,86,40,65,52,36,47,14,20,52,68,15,84,10
性別・年代／女性５０代以上,100,15.8,12.5,9.4,20.2,9.4,15.3,12.2,8.5,11.1,3.3,4.7,12.2,16,3.5,19.8,2.4
性別・年代／男性計,86,6,0,2,12,2,49,23,25,34,7,10,23,2,1,14,3
性別・年代／男性計,100,7,0,2.3,14,2.3,57,26.7,29.1,39.5,8.1,11.6,26.7,2.3,1.2,16.3,3.5
性別・年代／男性２０代,51,2,0,0,2,0,35,15,14,19,4,5,14,0,0,8,2
性別・年代／男性２０代,100,3.9,0,0,3.9,0,68.6,29.4,27.5,37.3,7.8,9.8,27.5,0,0,15.7,3.9
性別・年代／男性３０代以上,35,4,0,2,10,2,14,8,11,15,3,5,9,2,1,6,1
性別・年代／男性３０代以上,100,11.4,0,5.7,28.6,5.7,40,22.9,31.4,42.9,8.6,14.3,25.7,5.7,2.9,17.1,2.9
性別・年代／無回答,144,22,29,23,24,6,43,23,22,25,6,9,22,18,3,29,4
性別・年代／無回答,100,15.3,20.1,16,16.7,4.2,29.9,16,15.3,17.4,4.2,6.3,15.3,12.5,2.1,20.1,2.8
