設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
営利法人,ほっぺるランド外神田,101-0021,千代田区外神田４－８－６,139.7726,35.70233,JGD2011,03-3526-2065,87
社福法人,外神田かなりや保育園,101-0021,千代田区外神田三丁目６番１３号,139.76976,35.70255,JGD2011,03-3254-6500,50
区市町村,いずみこども園,101-0024,千代田区神田和泉町１,139.77597,35.69919,JGD2011,03-3866-9938,36
営利法人,あい保育園東神田,101-0031,千代田区東神田２－６－５　東神田ビル２・３階,139.78027,35.69564,JGD2011,03-5809-2578,63
社福法人,岩本町ちとせ保育園,101-0032,千代田区岩本町二丁目１０番１２号,139.77722,35.69344,JGD2011,03-5820-2500,70
社福法人,千代田せいが保育園,101-0033,千代田区神田岩本町１５－７,139.77502,35.69666,JGD2011,03-6811-6686,51
社福法人,保育園神田ベアーズ,101-0038,千代田区神田美倉町１０－２,139.77431,35.69081,JGD2011,03-6206-4037,72
営利法人,ベネッセ内神田保育園,101-0047,千代田区内神田２－１－１３,139.76772,35.68909,JGD2011,03-5289-7670,60
区市町村,神田保育園,101-0063,千代田区神田淡路町２－１０９,139.76709,35.69673,JGD2011,03-3253-6258,120
社福法人,神田淡路町保育園大きなおうち,101-0063,千代田区神田淡路町２－１２,139.7688,35.69763,JGD2011,03-6260-9555,99
区市町村,西神田保育園,101-0065,千代田区西神田２－６－２　西神田コスモス館,139.75476,35.69904,JGD2011,03-5215-9060,99
営利法人,ほっぺるランド西神田,101-0065,千代田区西神田３－５－２　千代田ファーストビル西館１階,139.75301,35.69835,JGD2011,03-5212-6016,70
区市町村,ふじみこども園,102-0071,千代田区富士見１－１０－３,139.74649,35.69703,JGD2011,03-3263-1009,55
営利法人,グローバルキッズ飯田橋園,102-0071,千代田区富士見２－１４－３６　富士見ウエスト２・３階,139.74379,35.6969,JGD2011,03-3239-8002,138
営利法人,クレアナーサリー市ヶ谷,102-0073,千代田区九段北４－２－２９　セブンアネックス１～３階,139.73798,35.69206,JGD2011,03-6265-6187,78
営利法人,ＡＩＡＩ　ＮＵＲＳＥＲＹ　三番町,102-0075,千代田区三番町１４－６,139.74158,35.6905,JGD2011,03-6910-0952,50
区市町村,四番町保育園,102-0081,千代田区四番町５－８,139.73807,35.68855,JGD2011,03-3234-2269,97
営利法人,ポピンズナーサリースクール一番町,102-0082,千代田区一番町１０－８　一番町ウエストビル３・４階,139.7394,35.68676,JGD2011,03-3230-2105,80
区市町村,麹町保育園,102-0082,千代田区一番町４,139.74217,35.68758,JGD2011,03-3261-7960,100
営利法人,アスク二番町保育園,102-0084,千代田区二番町２－１　二番町ＴＳビル１～３階,139.73729,35.68705,JGD2011,03-3288-8151,100
社福法人,二番町ちとせ保育園,102-0084,千代田区二番町７－５,139.73497,35.68513,JGD2011,03-3222-3255,100
営利法人,グローバルキッズ六番町園,102-0085,千代田区六番町５－１６,139.73384,35.68703,JGD2011,03-3230-7161,60
社福法人,平河町ちとせ保育園,102-0093,千代田区平河町２－１０－３,139.74098,35.68117,JGD2011,03-3230-3120,75
営利法人,にじいろ保育園小伝馬町,103-0001,中央区日本橋小伝馬町１３－７　銀泉日本橋小伝馬町ビル１～４Ｆ,139.77946,35.691,JGD2011,03-3527-2484,72
区市町村,十思保育園,103-0001,中央区日本橋小伝馬町５－１,139.7774,35.69107,JGD2011,03-5651-3915,94
営利法人,テンダーラビング保育園東日本橋,103-0004,中央区東日本橋１－４－６　東日本橋一丁目ビル１・２Ｆ,139.78618,35.69097,JGD2011,03-5825-4324,70
営利法人,ミアヘルサ保育園ひびき東日本橋,103-0004,中央区東日本橋１－５－１３　セイワ東日本橋ビル１～４階,139.78581,35.69153,JGD2011,03-5829-8581,90
営利法人,ほっぺるランド東日本橋,103-0004,中央区東日本橋３－３－３　Ａｎｅｌａビル１～３階,139.78264,35.69145,JGD2011,03-5962-3841,72
営利法人,さくらさくみらい　東日本橋,103-0004,中央区東日本橋３－６－１５,139.78357,35.69051,JGD2011,03-6661-9939,58
営利法人,ナーサリールーム　ベリーベアー日本橋,103-0005,中央区日本橋久松町９－４,139.78546,35.68885,JGD2011,03-5847-4067,70
