No,性別,年齢,保育士資格の取得方法,問20　希望する研修の主な意見（記入者計905人）
1,女性,20～24歳,短期大学の保育士養成課程,事例に基づく子どもへの援助、接し方（特別な支援を必要とする子ども）。また、障がい児保育について、どこで障がいかも?と思った方がいいか、障がいの特徴
2,女性,20～24歳,短期大学の保育士養成課程,保育士の資格を取得してから実際に働いたことがない人や、保育の仕事を久しぶりに行う人には、保育全体の研修を何日間かにかけて行ってほしい。
3,女性,20～24歳,大学の保育士養成課程,実際に保育士として働いている人の保育実技や、保育実態を伺える機会があれば、保育の現場から離れていても、いつでも戻れるような気持ちになるので、あった方がいいと思います。
4,男性,20～24歳,大学の保育士養成課程,地域にある園が集まり、それぞれの保育について意見交換できる場があると、新人も色々な実践保育を知ることができ、自らの保育へ活かしていけると思います。
5,女性,20～24歳,大学の保育士養成課程,定期的な保育技術の見直しと技術向上。モチベーションの維持、向上研修。ダンス、手遊び、ゲーム等日々の保育で有効的なものを情報交換する場所。ストレス発散できる場。
6,女性,20～24歳,通信教育等で学んだ後、保育士試験,試験で資格を取った場合、現場での実習がないため、すぐ働くのには不安があると思います。試験の場合でも実習ができるような制度や研修があるといいと思います。
7,女性,20～24歳,通信教育等で学んだ後、保育士試験,食物アレルギー、食事介助、オムツ交換等、最新の情報と実技を直接教えてもらえる研修。保育現場で働いたことのない人間にとっては一番不安なところだから。
8,女性,25～29歳,専門（専修）学校の保育士養成課程,ベテラン保育士又は元保育士の方から実体験をもとに研修を行ってもらえるととても良い学びになると思います。実際、現場でよく起こる事や必要なスキルは長年経験を積んだ保育士が一番理解し、そなえていると思います。
9,女性,25～29歳,大学の保育士養成課程,実務経験のない人への、現保育士の方からのアドバイス等が受けられる機会。アレルギーのある子どもへの対応や、応急処置方法、緊急時（災害等）の対応について。
10,女性,25～29歳,大学の保育士養成課程,特別支援の必要な子どもに対する支援方法。具体的な方法から基礎的な知識をST、OT、PTなどの視点から教える（療育センターで10年以上経験のある者などが行うと良い）。心理関係職員はあまり、必要ではない（具体的な指導はできない為、やっても意味がない）。
11,女性,25～29歳,通信教育等で学んだ後、保育士試験,アレルギーやケガへの対処、加えて保護者に対する対応のあり方。発達障害等の知識と、専門機関との連携のとり方、実践的な保育、関わりの事例などを知りたい。
12,女性,25～29歳,通信教育等で学んだ後、保育士試験,土日祝日等を活用した集中研修、参加費は無料～安価な価格（参加費2000円程度）。研修後の資料はHPで一般公開あるいは保育士資格取得者のみアクセス可能なHPへの掲載。
13,女性,30～34歳,専門（専修）学校の保育士養成課程,都の広報などで魅力的な研修を目にすることは度々ありますが、子の預け先がないのであきらめてます。休日の開さいや、子連れ有り、又は託児ありだと嬉しいです。
14,女性,30～34歳,大学の保育士養成課程,資格はもっているが、実際、保育施設では働いたことないので、現場での実習等、現場をみる機会があればいいなと思います。また今の保育事情など知ることができる研修があると良いのでは。
15,女性,30～34歳,通信教育等で学んだ後、保育士試験,アレルギーの子どもに対する対応や発作が起きた場合の対処法。地震が起きた場合の対応、子どもを守る方法やAEDの使い方など緊急時の対応。発達障害の子どもへの接し方、他の子どもと保育を行う上で気を付ける点等。
