区市町村通番,所管地域,名称,ヨミガナ,電話番号,ＦＡＸ番号,郵便番号,住所,緯度,経度,座標系,対応時間帯,特記事項,施設種別／地域包括支援センター,施設種別／ブランチ・サブセンター,施設種別／在宅介護支援センター,施設種別／その他相談窓口,相談内容／高齢者の異変,相談内容／消費者被害のおそれ
1,市内全域,八王子市福祉部高齢者福祉課,ﾊﾁｵｳｼﾞｼﾌｸｼﾌﾞｺｳﾚｲｼｬﾌｸｼｶ,042-620-7420,042-624-7720,192-8501,八王子市元本郷町3-24-1,35.666496,139.316162,JGD2011,平日8時30分～17時15分,,,,,〇,〇,
2,横山町、八日町、本町、元横山町一丁目～三丁目、田町、新町、明神町一丁目～四丁目、東町、旭町、三崎町、中町、南町、大和田町一丁目～七丁目、富士見町、大谷町（14～34番地、36～53番地、55～58番地、60～91番地、816番地、833番地、869～870番地）,八王子市高齢者あんしん相談センター旭町,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰｱｻﾋﾁｮｳ,042-648-8331,042-648-5260,192-0083,八王子市旭町8-10 比留間ビル3階,35.657585,139.338303,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
3,東浅川町、初沢町、高尾町、南浅川町、西浅川町、裏高尾町、廿里町、狭間町,八王子市高齢者あんしん相談センター高尾,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾀｶｵ,042-668-2288,042-668-2298,193-0834,八王子市東浅川町551-1 東浅川保健福祉センター2階,35.645088,139.293137,JGD2011,平日、土曜日、第2月曜日の前日の日曜日9時～17時30分,休日、第２月曜日、日曜、祝日,〇,,,,〇,〇
4,尾崎町、左入町、滝山町一丁目～二丁目、梅坪町、谷野町、みつい台一丁目～二丁目、丹木町一丁目～三丁目、加住町一丁目～二丁目、宮下町、高月町、戸吹町、中野山王二丁目（8番地）,八王子市高齢者あんしん相談センター左入,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰｻﾆｭｳ,042-692-3211,042-692-3467,192-0012,八王子市左入町372-4,35.685505,139.34639,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
5,日吉町、千人町一丁目～四丁目、元本郷町一丁目～四丁目、追分町、中野町、暁町一丁目～三丁目、中野山王一丁目～三丁目(二丁目8番地を除く）、中野上町一丁目～五丁目、清川町,八王子市高齢者あんしん相談センター中野,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾅｶﾉ,042-620-0860,042-620-0861,192-0041,八王子市中野上町4-27-4 ボナールHONDA1階,35.670242,139.316483,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
6,鑓水、鑓水二丁目、南大沢一丁目～五丁目、松木、別所一丁目～二丁目,八王子市高齢者あんしん相談センター南大沢,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾐﾅﾐｵｵｻﾜ,042-678-1880,042-678-1889,192-0364,八王子市南大沢2-17-5,35.611408,139.382706,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
7,散田町一丁目～五丁目、山田町、めじろ台一丁目～四丁目,八王子市高齢者あんしん相談センターめじろ,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾒｼﾞﾛ,042-669-3070,042-667-1186,193-0833,八王子市めじろ台2-55-5,35.641174,139.313736,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
8,北野町、打越町（片倉台地区を除く）、長沼町、絹ヶ丘一丁目～三丁目、北野台一丁目～五丁目,八王子市高齢者あんしん相談センター長沼,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾅｶﾞﾇﾏ,042-648-4340,042-648-4323,192-0907,八王子市長沼町1302-1 都営長沼第二アパート16号棟1階,35.884872,139.611465,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
9,川口町、上川町、犬目町、楢原町,八王子市高齢者あんしん相談センター川口,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰｶﾜｸﾞﾁ,042-654-5475,042-654-5476,193-0801,八王子市川口町908-1 川口事務所内,35.693378,139.279099,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
10,"上壱分方町、諏訪町、大楽寺町（【以下を除く】517－2番地、536－1,2,5番地、 537－1番地、538－1番地、539番地、550番地、550－2番地）、四谷町（【以下の泉町住宅ほかを除く】662－1番地、701－1,5番地、702番地、702－ 5番地）、弐分方町（【松子舞地区】650番地を除く）、川町（【松子舞地区】789番地を除く）",八王子市高齢者あんしん相談センター元八王子,ﾊﾁｵｳｼﾞｼｺｳﾚｲｼｬｱﾝｼﾝｿｳﾀﾞﾝｾﾝﾀｰﾓﾄﾊﾁｵｳｼﾞ,042-652-1134,042-651-0711,193-0811,八王子市上壱分方町71-4,35.684185,139.281006,JGD2011,平日、土曜日９時～17時30分,,〇,,,,〇,〇
