施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
千代田保健所,102-0073,千代田区九段北１－２－１４,139.75204,35.69598,JGD2011,03-5211-8161
中央区保健所,104-0044,中央区明石町１２－１,139.77684,35.66659,JGD2011,03-3541-5936
日本橋保健センター,103-0012,中央区日本橋堀留町１－１－１,139.77928,35.68706,JGD2011,03-3661-3515
月島保健センター,104-0052,中央区月島２－１０－３,139.78418,35.66351,JGD2011,03-5560-0765
みなと保健所,108-8315,港区三田１－４－１０,139.74274,35.65316,JGD2011,03-6400-0050
新宿区保健所,160-0022,新宿区新宿５－１８－２１,139.70663,35.69441,JGD2011,03-3209-1111
牛込保健センター,162-0805,新宿区矢来町６,139.73083,35.70112,JGD2011,03-3260-6231
四谷保健センター,160-0008,新宿区四谷三栄町１０－１６,139.72412,35.68874,JGD2011,03-3351-5161
東新宿保健センター,160-0022,新宿区新宿７－２６－４,139.7092,35.69917,JGD2011,03-3200-1026
落合保健センター,161-0033,新宿区下落合４－６－７,139.69492,35.71946,JGD2011,03-3952-7161
文京保健所,112-8555,文京区春日１－１６－２１,139.75278,35.70794,JGD2011,03-5803-1223
保健サービスセンター,112-8555,文京区春日１－１６－２１,139.75278,35.70794,JGD2011,03-5803-1805
保健サービスセンター本郷支所,113-0022,文京区千駄木５－２０－１８,139.76012,35.72718,JGD2011,03-3821-5106
台東保健所,110-0015,台東区東上野４－２２－８,139.78156,35.71452,JGD2011,03-3847-9401
浅草保健相談センター,111-0033,台東区花川戸２－１１－１０,139.80031,35.7147,JGD2011,03-3844-8171
墨田区保健所,130-8640,墨田区吾妻橋１－２３－２０,139.8011,35.71006,JGD2011,03-5608-1111
向島保健センター,131-0032,墨田区東向島５－１６－２,139.82111,35.72611,JGD2011,03-3611-6135
本所保健センター,130-0005,墨田区東駒形１－６－４,139.79796,35.70532,JGD2011,03-3622-9137
江東区保健所(健康推進課),135-0016,江東区東陽２－１－１,139.81459,35.66642,JGD2011,03-3647-9539
