施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
千代田区,102-8688,千代田区九段南１－２－１,139.75354,35.69395,JGD2011,03-3264-2111
中央区,104-8404,中央区築地１－１－１,139.77202,35.6706,JGD2011,03-3543-0211
港区芝地区総合支所,105-8511,港区芝公園１－５－２５,139.75154,35.65853,JGD2011,03-3578-3111
港区麻布地区総合支所,106-8515,港区六本木５－１６－４５,139.73579,35.66081,JGD2011,03-3583-4151
港区赤坂地区総合支所,107-8516,港区赤坂４－１８－１３,139.73186,35.6749,JGD2011,03-5413-7011
港区高輪地区総合支所,108-8581,港区高輪１－１６－２５,139.73421,35.64091,JGD2011,03-5421-7611
港区芝浦港南地区総合支所,105-8516,港区芝浦１－１６－１,139.75166,35.6462,JGD2011,03-3456-4151
新宿区,160-8484,新宿区歌舞伎町１－４－１,139.70345,35.69392,JGD2011,03-3209-1111
文京区,112-8555,文京区春日１－１６－２１,139.75278,35.70794,JGD2011,03-3812-7111
台東区,110-8615,台東区東上野４－５－６,139.77994,35.7126,JGD2011,03-5246-1111
墨田区,130-8640,墨田区吾妻橋１－２３－２０,139.8011,35.71006,JGD2011,03-5608-1111
江東区（保護第一課）,135-8383,江東区東陽４－１１－２８,139.81746,35.67309,JGD2011,03-3645-3101
江東区（保護第二課）,136-0072,江東区大島４－５－１,139.82713,35.68911,JGD2011,03-3637-2701
品川区,140-8715,品川区広町２－１－３６,139.73096,35.6083,JGD2011,03-3777-1111
目黒区,153-8573,目黒区上目黒２－１９－１５,139.69838,35.64108,JGD2011,03-3715-1111
大田区（大森生活福祉課）,143-0015,大田区大森西１－１２－１,139.72266,35.57768,JGD2011,03-5764-0665
大田区（蒲田生活福祉課）,144-0053,大田区蒲田本町２－１－１,139.71837,35.55798,JGD2011,03-5713-1706
大田区（調布生活福祉課）,145-0067,大田区雪谷大塚町４－６,139.68016,35.59329,JGD2011,03-3726-0791
大田区（糀谷・羽田生活福祉課）,144-0033,大田区東糀谷１－２１－１５,139.73979,35.55752,JGD2011,03-3741-6521
世田谷区世田谷総合支所,154-8504,世田谷区世田谷４－２２－３３,139.65193,35.64657,JGD2011,03-5432-1111
世田谷区北沢総合支所,155-8666,世田谷区北沢２－８－１８北沢タウンホール内,139.66968,35.66237,JGD2011,03-6804-7770
世田谷区玉川総合支所,158-8503,世田谷区等々力３－４－１,139.64839,35.60863,JGD2011,03-3702-1730
世田谷区砧総合支所,157-8501,世田谷区成城６－２－１,139.60078,35.64123,JGD2011,03-3482-1343
世田谷区烏山総合支所,157-8555,世田谷区南烏山６－２２－１４,139.59814,35.66956,JGD2011,03-3326-6111
渋谷区,150-0041,渋谷区神南１－８－６北谷分庁舎２階,139.70059,35.66437,JGD2011,03-3463-1211
中野区,164-8501,中野区中野４－８－１,139.66382,35.70755,JGD2011,03-3389-1111
杉並区（高円寺事務所）,166-0003,杉並区高円寺南２－２４－１８,139.64905,35.70019,JGD2011,03-5306-2611
杉並区（荻窪事務所）,167-0032,杉並区天沼３－１９－１６ウェルファーム杉並複合施設棟２階,139.62056,35.71005,JGD2011,03-3398-9104
杉並区（高井戸事務所）,168-0072,杉並区高井戸東３－２６－１０,139.61641,35.68577,JGD2011,03-3332-7221
豊島区,170-0013,豊島区東池袋１－３９－２,139.71432,35.73244,JGD2011,03-3981-1842
豊島区（西部生活福祉課）,171-0031,豊島区目白５－２４－１２,139.69717,35.72531,JGD2011,03-5917-5760
北区,114-8508,北区王子本町１－１５－２２,139.73357,35.75286,JGD2011,03-3908-1111
荒川区,116-8501,荒川区荒川２－２－３,139.78339,35.73626,JGD2011,03-3802-3111
板橋区板橋,173-0015,板橋区栄町３６－１,139.70491,35.75082,JGD2011,03-3579-2322
板橋区赤塚,175-0092,板橋区赤塚６－３８－１,139.6449,35.77878,JGD2011,03-3938-5126
板橋区志村,174-0046,板橋区蓮根２－２８－１,139.67459,35.78426,JGD2011,03-3968-2331
練馬区練馬総合,176-8501,練馬区豊玉北６－１２－１,139.65167,35.73571,JGD2011,03-3993-1111
練馬区石神井総合,177-8509,練馬区石神井町３－３０－２６,139.60283,35.74331,JGD2011,03-5393-2801
練馬区光が丘総合,179-0072,練馬区光が丘２－９－６,139.63036,35.75914,JGD2011,03-5997-7713
練馬区大泉総合,178-8601,練馬区東大泉１－２９－１,139.58577,35.75018,JGD2011,03-5905-5262
足立区（中部第一福祉課）,121-8512,足立区中央本町４－５－２,139.80579,35.77675,JGD2011,03-3880-5875
足立区（中部第二福祉課）,121-8512,足立区中央本町４－５－２,139.80579,35.77675,JGD2011,03-3880-5419
足立区（千住福祉課）,120-0036,足立区千住仲町１９－３,139.80156,35.74637,JGD2011,03-3888-3141
足立区（東部福祉課）,120-0004,足立区東綾瀬１－２６－２,139.83145,35.76601,JGD2011,03-3605-7105
足立区（西部福祉課）,123-0864,足立区鹿浜８－２７－１５,139.76459,35.78996,JGD2011,03-3897-5011
足立区（北部福祉課）,121-8555,足立区竹の塚２－２５－１７,139.79488,35.79232,JGD2011,03-3883-6800
葛飾区（西生活課）,124-8555,葛飾区立石５－１３－１,139.84729,35.74316,JGD2011,03-3695-1111
葛飾区（東生活課）,125-0042,葛飾区金町１－６－２４,139.86522,35.76221,JGD2011,03-3607-2152
江戸川区（生活援護第一課）,132-0021,江戸川区中央１－３－１７,139.86835,35.70597,JGD2011,03-3652-1151
江戸川区（生活援護第二課）,133-0052,江戸川区東小岩６－９－１４,139.88773,35.73381,JGD2011,03-3657-7855
江戸川区（生活援護第三課）,134-0084,江戸川区東葛西７－１２－６,139.87589,35.65866,JGD2011,03-5659-6610
八王子市,192-8501,八王子市元本郷町３－２４－１,139.31616,35.6665,JGD2011,042-626-3111
立川市,190-8666,立川市泉町１１５６－９,139.40628,35.71529,JGD2011,042-523-2111
武蔵野市,180-8777,武蔵野市緑町２－２－２８,139.56586,35.71776,JGD2011,0422-51-5131
三鷹市,181-8555,三鷹市野崎１－１－１,139.55942,35.68326,JGD2011,0422-45-1151
青梅市,198-8701,青梅市東青梅１－１１－１,139.27527,35.78809,JGD2011,0428-22-1111
西多摩,198-0036,青梅市河辺町６－４－１,139.28981,35.7802,JGD2011,0428-22-1165
府中市,183-8703,府中市宮西町２－２４,139.47777,35.66886,JGD2011,042-364-4111
昭島市,196-8511,昭島市田中町１－１７－１,139.35355,35.70588,JGD2011,042-544-5111
調布市,182-8511,調布市小島町２－３５－１,139.54089,35.65059,JGD2011,042-481-7111
町田市,194-8520,町田市森野２－２－２２,139.4389,35.54658,JGD2011,042-722-3111
小金井市,184-8504,小金井市本町６－６－３,139.50313,35.69934,JGD2011,042-383-1111
小平市,187-8701,小平市小川町２－１３３３,139.47693,35.72932,JGD2011,042-341-1211
日野市,191-8686,日野市神明１－１２－１,139.39528,35.67099,JGD2011,042-585-1111
