No,性別,年齢,保育士資格の取得方法,問22から　主に「保育士として働くことへの不安」について抜粋
1,女性,20～24歳,短期大学の保育士養成課程,憧れてついた仕事だったが、日々の仕事の多さや職員の不足で、ゆったりとした気持ちで子どもに関わることのできる時間が少なく、子どもの小さな成長に一つ一つ気付いたり喜ぶ余裕も正直ない。子どもを叱る場面も多くなってしまい、学生の時に描いていた理想とのギャップに不安を抱え、自分の適性にも不安を抱えている。職員を増やし勤務外に働く時間を短縮したり、仕事内容に見合った給料を保証してほしい。
2,女性,20～24歳,大学の保育士養成課程,研修や先輩保育士が少ないことで保育に関して不安になることが多い。休暇をきちんととることで体調を整えたりして保育に臨みたいと思う。家庭と連携をとり子どもの家庭での状況も把握した上で保育をしていきたい。
3,女性,25～29歳,専門（専修）学校の保育士養成課程,保育士として働くことへの不安として、とっさの判断力や優先順位の選択がうまくできず、周りに迷惑をかけてしまうことです。
4,女性,25～29歳,通信教育等で学んだ後、保育士試験,どんなに気をつけても、ケガをする子どもたちを見守る仕事なのに、人員が足りなくても、運営していかなくてはいけない不安。土日も運営しているため、連休が取りにくく、三連休以上の休みをとるのに、引け目を感じる。保護者から質問を受けても、知識がなく、答えられるか不安。給与が低く、モチベーションが保てない時に、職につなぎとめる要素が乏しい。
5,女性,30～34歳,大学の保育士養成課程,現在、妊娠中ですが、産休、育休を取って、仕事を続けたいと思いつつも、自分の子どもが育休明けまでに預けられる所があるかどうかという不安や、出産してからの自分の希望する時間帯の労働だと、働ける所がない。
6,女性,30～34歳,通信教育等で学んだ後、保育士試験,子どもの成長を支援する、ということに対する責任の重さや正解のなさ、その子どもがどのような人となるのかという結果が分かるまでの時間の長さが不安につながっています。
7,女性,35～39歳,通信教育等で学んだ後、保育士試験,保育技術が足りないことへの不安。風通しのいい職場で働きたい。短時間勤務への支援がほしい（職場の理解）
8,女性,40～44歳,専門（専修）学校の保育士養成課程,子育てをしながら働くことへの不安。子どもが病気になったときの対応。休み等に困難も感じる。
9,女性,40～44歳,短期大学の保育士養成課程,保育士資格を持っていない人と一緒に働く場合、責任が保育士である人に全てかかってくるので、重圧や緊張や不安を感じる。本当に保育が必要なのか、見極めが必要だと思う。
10,女性,45～49歳,専門（専修）学校の保育士養成課程,仕事量が多く、家に持ち帰ってまでこなさなければ次の保育が出来なかったり又サービス残業が毎日続いているので、家庭内の仕事が出来ず不満だらけで不安である（書類が多すぎ）。
