No,性別,年齢,保育士資格の取得方法,問22から 主に「保育士として働くことへの不安」について抜粋
1,女性,20～24歳,短期大学の保育士養成課程,保護者への対応が上手くいかないことが多いので不安を感じています。園全体で共通理解ができるような保育をしていきたいです。
2,女性,20～24歳,短期大学の保育士養成課程,プライベートの時間を使ってする仕事がとても多いので、結婚、出産した際の不安は大きい。そして、人間関係を上手くやっていけるかどうかも不安で、保育や子ども達のことに集中が出来なかった。
3,女性,25～29歳,専門（専修）学校の保育士養成課程,また保育士として働きたいのだが、子どもを預ける保育所が少ない事に不安がある。区役所へ聞きに行ったところ、預けられる見込みはないと言われた。
4,女性,25～29歳,専門（専修）学校の保育士養成課程,妊娠をきっかけに現場から離れ、現在、子育てをしながら、保育士として働くのは、少し無理があるかなと、なかなか現場復帰できずにいます。そこには、ブランクがあることや家庭、子育ての両立に不安を感じるし、就業時間など職場に理解してもらわなくていけないこともある。
5,女性,25～29歳,短期大学の保育士養成課程,保育士として働きたいが、子どもをあずけられる保育園が見つかるか不安。まだ子どもが小さいので、両立できるか不安。
6,女性,25～29歳,大学の保育士養成課程,現在妊娠中のため出産後は再び常勤で働きたいと思う反面、保育士の現状として指導計画等の書類は家に持って帰ってやることが多く、育児と両立する自信がない。よってフルタイム職員として再就職したいと考えている。私自信子どもを保育園に入れられるのか不安に思っている。
7,女性,25～29歳,大学の保育士養成課程,認証、認可は公設、公営にくらべて人数や給料が少ない事や、結婚して子どもが産まれた時につづけられるのか不安です。また、結婚できなかった時に一人で生きていく場合にも給料が上がらない場合やその他の事を考えると不安です。
8,女性,25～29歳,大学の保育士養成課程,特別対応が必要な子どもが多いのに、保育士の人数が足りていなかった経験があり、体より心的に疲れてしまうことが不安。
9,女性,30～34歳,専門（専修）学校の保育士養成課程,現役で資格取得をしていない為、若い保育士の中で働いていくことが出来るのかが不安です。労働環境が整っていない保育所も多く、調査等して頂きたい。公立保育士の受験の年齢制限を上げてほしい。
10,女性,30～34歳,通信教育等で学んだ後、保育士試験,自分の子育てをしながら正社員の保育士として働くことは、時間外労働、休日出勤が多く、体力的に不安がある。そのため、時短制度があったり、職場の人員増加を行ってほしい。また、雑務も多い（壁面作り、子どもの写真管理や行事の準備、力仕事）ので、そういったことを行ってくれる人材も必要。出産、子育てを経験して、子育ての知識や母としての気持ちもわかり、保護者対応もより配慮していけると思うので、復帰できる環境、制度改善を強く望んでいます。
11,女性,35～39歳,専門（専修）学校の保育士養成課程,自分も仕事をしながら、子供を育てていく環境に不安があり、保育所としての役割を考えると、いたしかたないのだが、家族の協力なくては、勤務するのがむずかしいと思う。あとは、体力的に不安がある。
12,女性,40～44歳,専門（専修）学校の保育士養成課程,保育の現場から長く離れてしまっている為、きちんと働けるか不安。また、保育士の雇用形態や条件も厳しくなっている為、生活出来るか不安。その他、保育環境も都基準を満たす保育所がたくさんあれば、安心して子どもたちを保育出来ると思ってます。
13,女性,40～44歳,短期大学の保育士養成課程,区設、区営の保育所の現状もサービス向上の為、保育士に要求される事が多く過酷な勤務を強いられています。そんな現状を知ると、家庭との両立に不安を感じてしまい、保育士として働きたくても考えてしまいます。家庭を犠牲にする事のない体制に改善する為、ぜひ現場を見て欲しいです。
14,女性,40～44歳,通信教育等で学んだ後、保育士試験,全ての働くスタッフが子供の最全の利益のために、働こうという姿勢があることが一番の理想です。ひいては、働く母親をサポートしているんだという意識も大切だと思います。今の保育士は子どもがすきだとかあこがれの仕事とかわけのわからない人が多い。ひとりの人格を形成していく重要な仕事だということがわかっていない人たちと一緒に働くのがたまらなく不安です。
15,女性,45～49歳,専門（専修）学校の保育士養成課程,時代とともに保育所、園の目的がかわり、時代のニーズにあった教育、親とのかかわり方を柔軟にとらえていくことが必要となり、何が親にとって、子どもにとってよい保育なのかがみえなくなっているように感じます。コミュニケーションが足りない親子関係を感じ将来の不安を感じます。
16,女性,45～49歳,専門（専修）学校の保育士養成課程,不安は、命を預かる事の不安が大変大きい。又、親からのクレームや子供にとっては不益?!ためにならないような要望をきかなくてはならない事など。あとは人間関係（職場内の）技術の事に関する（ギャップ）不安。人手不足での仕事量の増加。
