上段：度数／下段：%,n=,公設・公営,公設・民営,民設・民営（社会福祉法人）,民設・民営（株式会社）,民設・民営（ＮＰＯ法人）,民設・民営（個人）,無回答
ＴＯＴＡＬ,2871,755,203,1037,425,53,195,203
ＴＯＴＡＬ,100,26.3,7.1,36.1,14.8,1.8,6.8,7.1
性別・年代／女性計,2641,694,182,957,397,49,180,182
性別・年代／女性計,100,26.3,6.9,36.2,15,1.9,6.8,6.9
性別・年代／女性２０代,634,92,53,263,130,9,40,47
性別・年代／女性２０代,100,14.5,8.4,41.5,20.5,1.4,6.3,7.4
性別・年代／女性３０代,961,223,77,370,161,16,54,60
性別・年代／女性３０代,100,23.2,8,38.5,16.8,1.7,5.6,6.2
性別・年代／女性４０代,590,191,34,200,61,13,52,39
性別・年代／女性４０代,100,32.4,5.8,33.9,10.3,2.2,8.8,6.6
性別・年代／女性５０代以上,425,178,16,116,39,11,33,32
性別・年代／女性５０代以上,100,41.9,3.8,27.3,9.2,2.6,7.8,7.5
性別・年代／男性計,86,15,10,37,13,2,3,6
性別・年代／男性計,100,17.4,11.6,43,15.1,2.3,3.5,7
性別・年代／男性２０代,51,5,4,26,9,1,2,4
性別・年代／男性２０代,100,9.8,7.8,51,17.6,2,3.9,7.8
性別・年代／男性３０代以上,35,10,6,11,4,1,1,2
性別・年代／男性３０代以上,100,28.6,17.1,31.4,11.4,2.9,2.9,5.7
性別・年代／無回答,144,46,11,43,15,2,12,15
性別・年代／無回答,100,31.9,7.6,29.9,10.4,1.4,8.3,10.4
