上段：度数／下段：%,n=,勤務日数,勤務時間,通勤時間,給与等,雇用形態 正規職員採用,雇用形態　パート・非常勤採用,施設の運営方針への納得感,自身のキャリアアップが可能／やりがいを感じられる事,自身の健康状況の改善,働くことが可能な家庭の状況,求人情報の提供,研修等の再教育プログラム参加,その他,どのような条件でも保育士として働くつもりはない,無回答
ＴＯＴＡＬ,2871,1917,1782,1917,1112,702,1422,919,803,309,1059,495,384,344,108,61
ＴＯＴＡＬ,100,66.8,62.1,66.8,38.7,24.5,49.5,32,28,10.8,36.9,17.2,13.4,12,3.8,2.1
性別・年代／女性計,2641,1778,1649,1785,997,616,1348,845,715,284,1016,465,353,315,96,50
性別・年代／女性計,100,67.3,62.4,67.6,37.8,23.3,51,32,27.1,10.8,38.5,17.6,13.4,11.9,3.6,1.9
性別・年代／女性２０代,634,410,386,406,315,193,275,199,190,69,217,99,65,84,13,16
性別・年代／女性２０代,100,64.7,60.9,64,49.7,30.4,43.4,31.4,30,10.9,34.2,15.6,10.3,13.2,2.1,2.5
性別・年代／女性３０代,961,664,596,670,356,225,520,310,247,84,482,170,102,121,14,8
性別・年代／女性３０代,100,69.1,62,69.7,37,23.4,54.1,32.3,25.7,8.7,50.2,17.7,10.6,12.6,1.5,0.8
性別・年代／女性４０代,590,417,393,425,189,125,321,206,170,63,210,108,102,73,28,11
性別・年代／女性４０代,100,70.7,66.6,72,32,21.2,54.4,34.9,28.8,10.7,35.6,18.3,17.3,12.4,4.7,1.9
性別・年代／女性５０代以上,425,266,254,260,126,62,216,117,99,63,97,86,81,35,41,15
性別・年代／女性５０代以上,100,62.6,59.8,61.2,29.6,14.6,50.8,27.5,23.3,14.8,22.8,20.2,19.1,8.2,9.6,3.5
性別・年代／男性計,86,44,40,41,60,52,6,29,37,7,4,6,10,13,2,3
性別・年代／男性計,100,51.2,46.5,47.7,69.8,60.5,7,33.7,43,8.1,4.7,7,11.6,15.1,2.3,3.5
性別・年代／男性２０代,51,27,26,25,38,32,1,18,23,2,2,3,3,10,1,2
性別・年代／男性２０代,100,52.9,51,49,74.5,62.7,2,35.3,45.1,3.9,3.9,5.9,5.9,19.6,2,3.9
性別・年代／男性３０代以上,35,17,14,16,22,20,5,11,14,5,2,3,7,3,1,1
性別・年代／男性３０代以上,100,48.6,40,45.7,62.9,57.1,14.3,31.4,40,14.3,5.7,8.6,20,8.6,2.9,2.9
性別・年代／無回答,144,95,93,91,55,34,68,45,51,18,39,24,21,16,10,8
性別・年代／無回答,100,66,64.6,63.2,38.2,23.6,47.2,31.3,35.4,12.5,27.1,16.7,14.6,11.1,6.9,5.6
