上段：度数／下段：%,n=,区部,市部,町村部,島しょ部,東京都以外,無回答
ＴＯＴＡＬ,2871,1332,902,23,7,416,191
ＴＯＴＡＬ,100,46.4,31.4,0.8,0.2,14.5,6.7
性別・年代／女性計,2641,1227,831,20,7,393,163
性別・年代／女性計,100,46.5,31.5,0.8,0.3,14.9,6.2
性別・年代／女性２０代,634,302,215,2,1,78,36
性別・年代／女性２０代,100,47.6,33.9,0.3,0.2,12.3,5.7
性別・年代／女性３０代,961,446,319,5,1,142,48
性別・年代／女性３０代,100,46.4,33.2,0.5,0.1,14.8,5
性別・年代／女性４０代,590,261,178,10,3,102,36
性別・年代／女性４０代,100,44.2,30.2,1.7,0.5,17.3,6.1
性別・年代／女性５０代以上,425,207,111,3,2,63,39
性別・年代／女性５０代以上,100,48.7,26.1,0.7,0.5,14.8,9.2
性別・年代／男性計,86,46,26,0,0,7,7
性別・年代／男性計,100,53.5,30.2,0,0,8.1,8.1
性別・年代／男性２０代,51,26,17,0,0,4,4
性別・年代／男性２０代,100,51,33.3,0,0,7.8,7.8
性別・年代／男性３０代以上,35,20,9,0,0,3,3
性別・年代／男性３０代以上,100,57.1,25.7,0,0,8.6,8.6
性別・年代／無回答,144,59,45,3,0,16,21
性別・年代／無回答,100,41,31.3,2.1,0,11.1,14.6
