No,性別,年齢,保育士資格の取得方法,問12　希望する研修の主な意見（記入者計3901人）
1,女性,20～24歳,専門（専修）学校の保育士養成課程,保育実技  ベテラン保育士や大学教授の保育の様子を見学したい（公開保育で自分の保育を評価されることも悪いとはいわないが、通常の環境でない中で行う保育を評価されても、本当の保育を見てもらえないと思った為）
2,女性,20～24歳,専門（専修）学校の保育士養成課程,アレルギーに関する研修→エピペンの使い方。違いやすいアレルギーのもの、乳製品は×なのに乳酸菌は○など。保育実技→身近な物で、出来る工作、集団で出来る遊び  どんな子育て支援があるのか?
3,女性,20～24歳,短期大学の保育士養成課程,保護者への対応について。子どもの成長についてなど言いにくい事をどのように保護者につたえたら良いか話す際の言葉の表現の仕方などを知りたい。
4,女性,20～24歳,短期大学の保育士養成課程,発達障がいの子ども、またその保護者への支援を具体例をあげながら（「○才○ヵ月男児自閉症の場合」など）行事や普段の保育に活かせるような内容の研修。できれば無料で、都心ではなく、各区役所そばなどで行ってほしい。
5,女性,20～24歳,大学の保育士養成課程,他施設との事例見討会、救命救急研修、子どもの心理面についての研修、医療面（精神科）の研修など
6,女性,25～29歳,専門（専修）学校の保育士養成課程,障がい児（障がいへの理解、対応、支援、遊びの提供など）。性教育、食育、保育実技（手あそび、ふれあいあそび、パネル、ペープサートなど）
7,女性,25～29歳,専門（専修）学校の保育士養成課程,地域の子育て支援の実践事例、事務のための講習（おたより、連絡帳の書き方）
8,女性,25～29歳,短期大学の保育士養成課程,保育実技に関しては、演じ方だけでなく、教材の作り方（パネルシアターや製作etc…）をして欲しいです。ピアノを簡単な音で弾ける弾き方、環境から（年齢に合った玩具の設定や取り入れ方など…）、たくさんあります向上していける研修内容お願いします。
9,女性,25～29歳,大学の保育士養成課程,未婚であり、子どもがいない若い職員にとって、保護者へのアドバイスが大変難しい。それを克服できるような研修があると良い。
10,女性,25～29歳,通信教育等で学んだ後、保育士試験,発達障がいを持つ子どもに対する療育面での関わり方や、実際に行われているペアレントトレーニングについて。また、メンタルケアの必要な保護者の方に対してのサポート方法。自発的なあそびが難しい子どもに対しての良いあそびの提供方法。あそびの内容、幅の広げ方。
11,女性,30～34歳,専門（専修）学校の保育士養成課程,発達障害児等に関わる機会も多くなる為発達障害の知識をより身に付けられる研修を受けたい。子育て支援についての研修（どのような支援が必要か等）
12,女性,30～34歳,専門（専修）学校の保育士養成課程,特別な支援を必要とする子への接し方や環境設定などケースワーカーさんとお話をうかがいたい。支援と必要とする事たちのすごしやすいクラスずくり部屋作りなど知りたい。個人的技術の指導、絵の具やピアニー体操の指導向上にむけて。
13,女性,30～34歳,短期大学の保育士養成課程,保育実技、リズム体操、絵本について、手あそび、集団あそび、ゲーム、最近のよくあるクレームについての対応方法、子どもの困った行動の伝え方。
14,女性,30～34歳,短期大学の保育士養成課程,実際の現場ですぐに役立つもの（体操や遊びの講習、自然分野に関する知識深めるもの  パソコン講習。）
15,女性,30～34歳,短期大学の保育士養成課程,パソコンを使った保育資料づくり（おたよりなど）あるといいと思います。教わる機会がないので…。
16,女性,30～34歳,大学の保育士養成課程,リトミック、リズム遊び（年齢ごとに）、運動会、発表会のアイデア（年齢ごとに）、季節の製作物（年齢ごとに）、グレーゾーン（障害かどうか）の子どもの見分け方、対応の仕方（子どもに対して、保護者に対して）。
17,女性,30～34歳,通信教育等で学んだ後、保育士試験,保護者や職員間での連携のとり方。理論だけでなく、ケースから実践  乳児（0、1、2歳）向けの保育実践。（3歳以後を対象のものはたくさんある）
18,女性,30～34歳,通信教育等で学んだ後、保育士試験,通信教育→試験で資格を取得したので、手遊びや歌、パネルシアターエプロンシアター等、実抜の引き出しが少ないと感じています。そういった研修をしていただけると嬉しいです。
19,女性,35～39歳,短期大学の保育士養成課程,保育者間のコミュニケーションの図り方や、経験を積むと、新任の指導にも関わるので、指導の仕方やコミュニケーションに関する研修を希望する。
20,女性,35～39歳,短期大学の保育士養成課程,実際に保育に役立つような手づくりおもちゃやエプロン、パネルシアター、手あそびなどの研修
21,女性,35～39歳,通信教育等で学んだ後、保育士試験,発達心理学や特別な支援を必要とする子どもとの関わり方。日本語がわからない子どもへの保育の仕方、病時、病後保育の研修。
22,女性,35～39歳,通信教育等で学んだ後、保育士試験,アレルギー対策（エピペン使用法方などの具体的対策方法について。障害児との関わり方、など。
23,女性,40～44歳,専門（専修）学校の保育士養成課程,パソコン（簡単なお便りの作り方など）。体操、手遊び、わらべうた。
24,女性,40～44歳,短期大学の保育士養成課程,集団保育と発達心理が併わさったものや、身体づくりでどんなことを具体的にすると、こんな力（たとえば、そしゃく力がつく、とか足腰がきたえられるとか）がつく、遊び方など。
25,女性,40～44歳,短期大学の保育士養成課程,アレルギー食をあつかう時の注意や万が一食べさせてしまった時の具体的な対応の仕方。
26,女性,40～44歳,短期大学の保育士養成課程,パソコン操作が苦手なのでパソコン操作の研修を希望します。保育の中で活用できる新しい手遊びや、ゲーム、遊戯の研修。
27,女性,40～44歳,通信教育等で学んだ後、保育士試験,発達障害児に対する接し方（ケース別で）。ADHD、自閉症、アスペスガーやダウン症、実技（手あそび、ゲーム、言葉の掛け方）。就学支援について。
28,女性,45～49歳,専門（専修）学校の保育士養成課程,発達障害をもつ人への、こちら側の関わり方を、具体的な方法や事例を通じて教えてほしい。（特に2次障害を抱える子供の対応）
29,女性,45～49歳,専門（専修）学校の保育士養成課程,保護者対応が、とても大変になってきているように感じます。保護者間のトラブルまで、持ち込まれます。ぜひ、保護者との対応についての研修をしていただきたいです。
30,女性,45～49歳,短期大学の保育士養成課程,障害があるのか、発達段階の途中なのか不明な子どもたちが増えているように感じられるため特別な支援を必要とする子どもへの接し方の知識と発達心理学を合わせた内容での研修を希望します
31,女性,45～49歳,短期大学の保育士養成課程,アレルギー児が増え、食の安全について、どう子どもを守るかということ。書類作製のノウハウ、カットの入れ方など。
32,女性,50～54歳,専門（専修）学校の保育士養成課程,発達障害の子供の接し方、どのような言葉がけによって障害の部分を少しでも小さくする事が出来るか、又、発達障害がある（疑い）子供を持つ親に訓練を受けたり相談出来る施設を訪ねる様説得するにはどうしたらいいか
33,女性,50～54歳,短期大学の保育士養成課程,保護者向け文書等徐々にパソコン操作技術なしでは対応できない状況になっているものの技術の修得がなかなかできないので研修という場でやっていただきたい。
34,女性,50～54歳,短期大学の保育士養成課程,保育に実際に使える手あそび、絵本の読み方  パネルシアーなど表現の仕方の研修があったら良いと思う。
35,女性,50～54歳,短期大学の保育士養成課程,特別な支援を受けなくてはいけない子供が通っている施設の先生との話し合いの場や話を聞ける会の研修会があったらと思う。（施設訪問など）
36,女性,50～54歳,短期大学の保育士養成課程,時代の変化と共に特別な支援を必要とする児が増加していると思われます。保育士も心理臨床士や、医療従事者並の知識が必要と思います。
37,女性,50～54歳,通信教育等で学んだ後、保育士試験,手遊び講習（以前からあるものではなく、新しいもの）今後、保育所はどうあるべきか、又、幼稚園との連携について
38,女性,50～54歳,通信教育等で学んだ後、保育士試験,パソコンを使って、保護者に、対して、子供を育てる、際のポイントなどを伝えていきたいので、自在に使えるスキルを学びたい。
39,女性,50～54歳,通信教育等で学んだ後、保育士試験,コミュニケーションを取りずらい子が増えているので、LD、ADHD等が疑われる子ども達との接し方を具体的に学びたいと思う。
40,女性,55～59歳,専門（専修）学校の保育士養成課程,食物アレルギーや他のアレルギーについての学習。一部の保護者の言動に対しての話し方、レグネクトへの対応。
41,女性,55～59歳,短期大学の保育士養成課程,保護者向けの食育  パソコンで掲示物を作りたいのでそのやり方教えていただきたい。←若い先生向きではなく、50才以上対象
42,女性,55～59歳,通信教育等で学んだ後、保育士試験,発達障害に対する接し方。年齢の高い人に対するパソコンの初心者向け講座
