上段：度数／下段：%,n=,２日以下,３日,４日,５日,６日以上,無回答,平均値
ＴＯＴＡＬ,2871,39,343,499,995,40,955,4.3
ＴＯＴＡＬ,100,1.4,11.9,17.4,34.7,1.4,33.3,
性別・年代／女性計,2641,36,320,470,918,33,864,4.3
性別・年代／女性計,100,1.4,12.1,17.8,34.8,1.2,32.7,
性別・年代／女性２０代,634,2,40,69,285,16,222,4.7
性別・年代／女性２０代,100,0.3,6.3,10.9,45,2.5,35,
性別・年代／女性３０代,961,4,112,197,343,6,299,4.4
性別・年代／女性３０代,100,0.4,11.7,20.5,35.7,0.6,31.1,
性別・年代／女性４０代,590,13,89,126,178,9,175,4.2
性別・年代／女性４０代,100,2.2,15.1,21.4,30.2,1.5,29.7,
性別・年代／女性５０代以上,425,16,76,74,99,2,158,4
性別・年代／女性５０代以上,100,3.8,17.9,17.4,23.3,0.5,37.2,
性別・年代／男性計,86,0,1,2,37,4,42,5
性別・年代／男性計,100,0,1.2,2.3,43,4.7,48.8,
性別・年代／男性２０代,51,0,0,0,24,3,24,5.1
性別・年代／男性２０代,100,0,0,0,47.1,5.9,47.1,
性別・年代／男性３０代以上,35,0,1,2,13,1,18,4.8
性別・年代／男性３０代以上,100,0,2.9,5.7,37.1,2.9,51.4,
性別・年代／無回答,144,3,22,27,40,3,49,4.2
性別・年代／無回答,100,2.1,15.3,18.8,27.8,2.1,34,
