01会計,02款,03項,04目,05事項,06節,07細々節,08予算額
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,01報酬,01議員報酬　２８人,186244
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,03職員手当等,01議員期末手当,83808
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,04共済費,01議員共済会負担金,62457
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,08旅費,01議員普通旅費,339
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,08旅費,01議員管外旅費,351
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,12委託料,01健康診断委託料,264
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,02給料,01一般職給料　１３人,53513
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,03職員手当等,01一般職手当,44198
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,03職員手当等,01児童手当,1085
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,04共済費,01共済組合市負担金,19542
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,04共済費,01地方公務員災害補償基金負担金,103
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,08旅費,01職員普通旅費,112
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,08旅費,01職員管外旅費,201
01一般会計,01議会費,01議会費,01議会費,03議会だより関係費,10需用費,01諸印刷費,4096
01一般会計,01議会費,01議会費,01議会費,03議会だより関係費,11役務費,01郵便料,17
01一般会計,01議会費,01議会費,01議会費,03議会だより関係費,12委託料,01配布委託料,4787
01一般会計,01議会費,01議会費,01議会費,03議会だより関係費,12委託料,02声の議会だより作成委託料,176
01一般会計,01議会費,01議会費,01議会費,03議会だより関係費,12委託料,03ＰＤＦファイル作成委託料,53
01一般会計,01議会費,01議会費,01議会費,03議会だより関係費,12委託料,04読み上げ用テキスト作成委託料,66
01一般会計,01議会費,01議会費,01議会費,04交際費,09交際費,01議長交際費,500
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,01報酬,01時間額職員報酬,607
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,07報償費,01記念品購入費,8
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,07報償費,02手話通訳者謝礼,55
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,10需用費,01新聞雑誌購読料,631
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,10需用費,02事務機器用消耗品費,310
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,10需用費,03諸消耗品費,560
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,10需用費,04法規追録代,911
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,10需用費,05貸与被服購入費,82
01一般会計,01議会費,01議会費,01議会費,05議会及び事務局運営管理費,10需用費,01会議録等原本製本代,41
