"年度[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"2022","港区の自殺対策について","問1. 家庭の家計の余裕はどの程度あるか教えてください。（○は1つ）","まったく余裕がない","28","5.2"
"2022","港区の自殺対策について","問1. 家庭の家計の余裕はどの程度あるか教えてください。（○は1つ）","あまり余裕がない","102","18.9"
"2022","港区の自殺対策について","問1. 家庭の家計の余裕はどの程度あるか教えてください。（○は1つ）","どちらともいえない","104","19.2"
"2022","港区の自殺対策について","問1. 家庭の家計の余裕はどの程度あるか教えてください。（○は1つ）","ある程度余裕がある","241","44.5"
"2022","港区の自殺対策について","問1. 家庭の家計の余裕はどの程度あるか教えてください。（○は1つ）","かなり余裕がある","62","11.5"
"2022","港区の自殺対策について","問1. 家庭の家計の余裕はどの程度あるか教えてください。（○は1つ）","無回答","4","0.7"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","0","5","0.9"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","1","3","0.6"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","2","7","1.3"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","3","9","1.7"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","4","17","3.1"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","5","76","14.0"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","6","54","10.0"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","7","101","18.7"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","8","132","24.4"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","9","62","11.5"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","10","65","12.0"
"2022","港区の自殺対策について","問2. あなたはどの程度幸せですか。0～10の番号で教えてください。（〇は１つ）（0：とても不幸せ、10：とても幸せ）","無回答","10","1.8"
"2022","港区の自殺対策について","問3. あなたの不満や悩みやつらい気持ちを受け止め、耳を傾けてくれる人はいますか？（○はいくつでも）","実際に会って個人的に相談できる人がいる","442","81.7"
"2022","港区の自殺対策について","問3. あなたの不満や悩みやつらい気持ちを受け止め、耳を傾けてくれる人はいますか？（○はいくつでも）","電話で個人的に相談できる人がいる","217","40.1"
"2022","港区の自殺対策について","問3. あなたの不満や悩みやつらい気持ちを受け止め、耳を傾けてくれる人はいますか？（○はいくつでも）","メールやSNS等で個人的に相談できる人がいる","171","31.6"
"2022","港区の自殺対策について","問3. あなたの不満や悩みやつらい気持ちを受け止め、耳を傾けてくれる人はいますか？（○はいくつでも）","対面や電話による相談機関に相談できる","64","11.8"
"2022","港区の自殺対策について","問3. あなたの不満や悩みやつらい気持ちを受け止め、耳を傾けてくれる人はいますか？（○はいくつでも）","メールやSNS等による相談機関に相談できる","21","3.9"
"2022","港区の自殺対策について","問3. あなたの不満や悩みやつらい気持ちを受け止め、耳を傾けてくれる人はいますか？（○はいくつでも）","相談できる人はいない","37","6.8"
"2022","港区の自殺対策について","問3. あなたの不満や悩みやつらい気持ちを受け止め、耳を傾けてくれる人はいますか？（○はいくつでも）","無回答","7","1.3"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","同居の親族","262","48.4"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","同居以外の親族","218","40.3"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","友人・知人","312","57.7"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","近所の知り合い","40","7.4"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","職場関係者","52","9.6"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","保健所等の公的機関","15","2.8"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","医療機関","46","8.5"
"2022","港区の自殺対策について","問4. （問3で1～5のいずれかを答えた方）相談相手はどのような人ですか。（○はいくつでも）","相談機関（電話相談・カウンセラー）","29","5.4"
