"年月[西暦]","調査項目","設問","項目","調査回答者の属性種別","調査回答者の属性","調査数[人]","１８～１９歳[人]","２０～２４歳[人]","２５～２９歳[人]","３０～３４歳[人]","３５～３９歳[人]","４０～４４歳[人]","４５～４９歳[人]","５０～５４歳[人]","５５～５９歳[人]","６０～６４歳[人]","６５～６９歳[人]","７０～７４歳[人]","７５～７９歳[人]","８０歳以上[人]","無回答[人]"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","全体",,"658","11","12","28","42","58","78","58","72","60","49","45","63","47","31","4"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性（計）","248","4","5","14","16","19","22","19","24","25","24","15","24","19","17","1"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性 18～29歳","23","4","5","14","0","0","0","0","0","0","0","0","0","0","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性 30～39歳","35","0","0","0","16","19","0","0","0","0","0","0","0","0","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性 40～49歳","41","0","0","0","0","0","22","19","0","0","0","0","0","0","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性 50～59歳","49","0","0","0","0","0","0","0","24","25","0","0","0","0","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性 60～69歳","39","0","0","0","0","0","0","0","0","0","24","15","0","0","0","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性 70歳以上","60","0","0","0","0","0","0","0","0","0","0","0","24","19","17","0"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","男性 無回答","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"202003","あなたご自身について","Q31. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(2)あなたの年齢（満年齢）は。（１つ選択）","性・年代別","女性（計）","400","7","7","14","26","39","56","39","47","35","25","30","37","27","11","0"
