地域,Area,平成23年(2011)構成比(%),平成28年(2016)構成比(%)
千代田区,Chiyoda-ku,85.3,86.2
中央区,Chuo-ku,79.3,80.9
港区,Minato-ku,64.2,65.6
新宿区,Shinjuku-ku,48.9,50
文京区,Bunkyo-ku,41.7,42.2
台東区,Taito-ku,48.6,50.3
墨田区,Sumida-ku,36.3,38.9
江東区,Koto-ku,45.1,48.2
品川区,Shinagawa-ku,34.6,36.4
目黒区,Meguro-ku,23.5,25
大田区,Ota-ku,25.7,26.7
世田谷区,Setagaya-ku,17.8,18.6
渋谷区,Shibuya-ku,47.3,49
中野区,Nakano-ku,18.9,20.2
杉並区,Suginami-ku,13.4,14.2
豊島区,Toshima-ku,33.2,34.7
北区,Kita-ku,28.1,29.4
荒川区,Arakawa-ku,27.2,28.2
板橋区,Itabashi-ku,27.4,28.3
練馬区,Nerima-ku,14.7,15.3
足立区,Adachi-ku,17.9,18.6
葛飾区,Katsushika-ku,16.3,17.1
江戸川区,Edogawa-ku,20.1,21
,,,
,,,
,,,
,,,
,,,
