地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
千代田区,Chiyoda-ku,42.8,45.7,9.1,2.4,-
中央区,Chuo-ku,14.3,56,24.4,5.3,-
港区,Minato-ku,25.3,36.9,32.8,4.9,-
新宿区,Shinjuku-ku,20,23.6,53.9,2.4,-
文京区,Bunkyo-ku,26.6,17,53.6,2.8,-
台東区,Taito-ku,21.1,34.4,36.6,7.9,-
墨田区,Sumida-ku,12.5,22.4,48.9,16.2,-
江東区,Koto-ku,18.5,20.1,34.2,27.3,-
品川区,Shinagawa-ku,14.3,19.2,53.7,12.8,-
目黒区,Meguro-ku,16.5,12.5,69.1,1.9,0
大田区,Ota-ku,12.8,10.5,54.7,22,0
世田谷区,Setagaya-ku,14.1,9.6,74.7,1.6,0
渋谷区,Shibuya-ku,21.4,29.5,47.6,1.4,0
中野区,Nakano-ku,11.8,10.6,75.8,1.7,0
杉並区,Suginami-ku,11.4,8,79,1.5,0
豊島区,Toshima-ku,15.2,18.6,63.6,2.6,-
北区,Kita-ku,15.2,12.2,64,8.6,-
荒川区,Arakawa-ku,16.6,16.1,55,12.2,-
板橋区,Itabashi-ku,14.6,11.1,63,11.3,0
練馬区,Nerima-ku,11.7,9.4,76.1,2.7,0.1
足立区,Adachi-ku,12.5,13,62.3,12.1,0
葛飾区,Katsushika-ku,15.2,11.7,64.3,8.9,0
江戸川区,Edogawa-ku,12.7,11.7,64.1,11.3,0.1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
