地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
千代田区,Chiyoda-ku,9.1,8.5,1,0.1,58.8,3.2,2.7,4.2,0.5,0.4,10.5,0,0.1,0.9,0
中央区,Chuo-ku,2,1.6,1,1,48.9,4.1,6.5,2.8,0,1,28.8,0.1,0.2,2,0
港区,Minato-ku,2.2,4.3,1.4,0.7,42,2.5,3.2,6.5,0.2,2.7,31.6,0.2,0.2,2.3,0
新宿区,Shinjuku-ku,3.1,7.1,3,0.4,25,3.9,5.2,5.7,0.7,9,35.5,0.5,0.4,0.6,0
文京区,Bunkyo-ku,1.8,13.6,4.5,0.4,14.2,0.5,7.2,2.7,2,14.8,36.4,0.5,0.9,0.6,0
台東区,Taito-ku,1.3,7.1,1.5,0.7,20.1,4.4,11.8,4.1,0.2,10.4,33.2,0.4,2.6,2.2,0
墨田区,Sumida-ku,1,4.6,2.3,0.8,8.4,7.2,10.4,1.9,0.7,12.6,39.6,3.4,5.2,1.9,0
江東区,Koto-ku,1.3,4.1,1.5,3.6,13.2,4.5,4,1,0.6,6.2,43.9,1.7,1.2,13.2,0
品川区,Shinagawa-ku,1,4,1.6,1.1,17.3,2.9,5.5,1.9,0.6,13.4,42.6,2,1.2,5,0
目黒区,Meguro-ku,0.9,6.9,2.3,0.3,7.5,2.2,8.4,2.1,0.5,26.2,41,0.5,0.7,0.5,0
大田区,Ota-ku,0.8,4.2,1.5,1.9,5,1.7,6.6,0.7,0.5,22.6,34.3,4.4,2.5,13.1,0
世田谷区,Setagaya-ku,0.6,6.8,2.5,0.5,3.2,2.2,7.1,0.1,0.5,34.9,40.3,0.2,0.4,0.5,0
渋谷区,Shibuya-ku,2,7.3,2,0.2,23.8,6.3,12.8,2.5,1.4,10.4,30.4,0.2,0.1,0.6,0
中野区,Nakano-ku,1,5.9,2,0.1,6.2,1.3,7.1,0.8,0.2,26.1,48.2,0.1,0.4,0.7,0
杉並区,Suginami-ku,0.7,6.3,2.2,0.1,2.9,1.8,6.3,0.3,0.3,38.4,39.3,0.4,0.4,0.6,0
豊島区,Toshima-ku,1.9,7.3,1.4,3,11.8,8.3,6.3,3.2,1.3,16.6,40.1,0.3,0.4,0.8,0
北区,Kita-ku,0.7,5.6,2.2,0.8,4.7,2.5,6.3,0.5,0.8,22.4,46.7,3.8,1,2,0
荒川区,Arakawa-ku,0.7,5.3,2,1.4,5.1,1.5,10.7,1,0.3,19.5,43.8,1.9,4.5,2.5,0
板橋区,Itabashi-ku,0.6,4.6,3.6,0.9,3,2.7,6.1,0.5,0.2,21.8,47.4,3.9,1.6,3.1,0
練馬区,Nerima-ku,0.7,5,2,0.3,1.9,2.5,6.4,0.4,0.3,38.7,39.8,0.6,0.5,0.8,0
足立区,Adachi-ku,0.7,4.8,2.6,0.9,2.5,3.4,6.6,0.6,0.3,28.6,39.6,3.3,2.1,4.1,0
葛飾区,Katsushika-ku,1.2,5.1,2.3,1.7,2.3,3,7.2,0.5,0.4,32,37.4,2.7,2.7,1.6,0
江戸川区,Edogawa-ku,0.5,4.7,1.6,1.1,2.7,2.9,5,0.6,0.4,27.9,44.2,3.5,1.8,3.1,0
