地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
千代田区,Chiyoda-ku,9.1,11.9,1.1,0.2,50.1,4.6,4.8,3.3,0.8,1.8,8.8,0.1,0.2,3.2,0
中央区,Chuo-ku,2.4,3.1,1.3,4.5,44.7,5.3,9.1,2.7,0.1,3.9,17.3,0.5,0.6,4.4,0
港区,Minato-ku,3.3,9.3,1.7,1.5,28.9,4.3,5.5,4.5,0.8,8.5,26.2,0.5,0.6,4.5,0
新宿区,Shinjuku-ku,2,9.3,2.8,0.7,13.3,3.2,7.2,3,1,21.4,33.2,0.8,0.8,1.2,0
文京区,Bunkyo-ku,1,14.9,2.5,0.2,8.9,0.6,7.8,1.1,2.1,30.6,27,0.8,1.6,1.1,0
台東区,Taito-ku,1.1,10.9,1.4,0.5,15.7,4.2,16.3,3.2,0.3,19.5,18.3,0.7,4.5,3.4,0
墨田区,Sumida-ku,0.7,5.7,2.2,0.8,6.3,3.6,13.6,1,0.8,23.8,24.2,5.3,9.1,3,0
江東区,Koto-ku,1.4,5.5,1.5,4.6,9.8,6.5,5.9,0.8,1,12.8,22.9,4.2,2.1,20.8,0
品川区,Shinagawa-ku,1.1,5.7,1.3,1.4,8.5,2.6,7.2,0.8,1,27.2,31.3,2.9,2.2,6.8,0
目黒区,Meguro-ku,0.8,7,1.8,0.2,3.8,2.3,7.5,0.7,0.6,39.8,33.2,0.5,1,0.7,0
大田区,Ota-ku,0.6,4.5,1.3,2.7,3.3,1.7,6.9,0.4,0.5,33.3,24.8,5.4,3.3,11.1,0
世田谷区,Setagaya-ku,0.5,6.4,2,0.5,2.2,2.2,6,0.1,0.5,46.4,31.6,0.3,0.5,0.6,0
渋谷区,Shibuya-ku,1.7,8.7,1.7,0.2,14.6,4.9,12.7,1.1,1.7,22,29.2,0.2,0.2,1.2,0
中野区,Nakano-ku,0.5,5.5,1.7,0.2,2.9,1.3,7.6,0.4,0.2,37.9,40.1,0.2,0.5,1,0
杉並区,Suginami-ku,0.5,5.5,1.8,0.2,1.9,5.5,1.7,0.2,0.3,49.2,31.7,0.4,0.4,0.8,0
豊島区,Toshima-ku,1,7.8,1.6,0.5,7.6,3.8,8.4,1.5,0.8,30.7,33.8,0.5,0.7,1.4,0
北区,Kita-ku,0.7,6.2,2.1,0.5,3.8,2.4,7.2,0.4,0.7,36.3,30.8,4.8,1.4,2.7,0
荒川区,Arakawa-ku,0.7,5.8,2,2.1,4.4,2.3,11,0.7,0.3,31.3,25.5,3.1,7,3.9,0
板橋区,Itabashi-ku,0.4,5.4,2.8,1.2,2.7,3.2,6.7,0.4,0.3,32.7,31.9,5.7,2.2,4.3,0
練馬区,Nerima-ku,0.4,4.8,1.9,0.2,1.7,2.5,5.6,0.2,0.4,51.9,27.7,0.8,0.6,1.3,0.1
足立区,Adachi-ku,0.5,4.8,2.2,1.3,2.3,4.1,7.4,0.5,0.3,39.3,23.7,4.6,2.6,6.3,1.1
葛飾区,Katsushika-ku,0.7,5.3,2,2.2,2.1,3.3,7.8,0.4,0.4,42.2,23.5,3.9,3.4,2.7,0
江戸川区,Edogawa-ku,0.5,5.1,1.1,1.5,2.4,3.5,6.1,0.5,0.4,39,28.2,5.2,2.5,4.1,0
