地域,Area,合計（ha）,L-1／宅地（ha）,L-2／その他（ha）,L-2／（屋外利用地）／内数（ha）,L-3／公園等（ha）,L-4／未利用地等（ha）,L-5／道路等（ha）,L-5／（道路）／内数（ha）,L-6／農用地（ha）,L-7／水面・河川・水路（ha）,L-8／森林（ha）,L-9／原野（ha）
都心,Corecenter,544.3,298.7,5.9,5.8,21.5,11.1,205.1,190.5,0,2,0,0
新宿,Shinjuku,271.7,160.7,5.4,5.4,10.8,5,89.5,80.5,0,0.3,0,0
渋谷,Shibuya,154.5,95,2.8,2.8,1.7,6.7,47.6,44.2,0,0.6,0,0
池袋,Ikebukuro,131.5,72.6,3.6,3.6,3.8,1.3,50.2,41,0,0,0,0
大崎,Osaki,124.6,74.5,2.4,2.4,1.4,1.8,40.4,34.6,0,4.1,0,0
上野・浅草,Ueno/Asakusa,270.7,158.8,8,8,6.5,3,94.4,90.4,0,0,0,0
錦糸町・亀戸,Kinshicho/Kameido,205,112.5,7.6,7.6,11,1.3,69.9,56.3,0,2.8,0,0
臨海地区,Waterfront,440.2,140.3,30.5,30.5,98.4,62.8,107.9,101.1,0,0.2,0,0
山手線内側,InsideJRYamanoteLine,6187.1,4083.1,112.6,112.3,476.2,106.2,1317.2,1282,0.2,90.7,0.8,0
環状６号線内側,InsideRingRoadNo.6,18388.6,10869.1,575.5,574.9,1326.7,443.1,4325.2,3870.9,2.4,845.2,0.8,0.6
環状７号線内側,InsideRingRoadNo.7,32040.8,19101.7,1258.6,1243.6,2130.7,643.6,7121.1,6446.7,35,1727.4,1.6,21.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
