"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日","緯度","経度"
"202304","2023/3/7","薬局","新規","マイカ‐イ漢方薬局","東京都港区赤坂五丁目1番36号",,"03-6824-4044","4港み生薬第73号","2023/4/1","35.673974","139.736153"
"202304","2023/2/28","薬局","新規","おだいじに薬局芝大門店","東京都港区芝大門二丁目5番1号","アルテビルディングB2階","03-5408-6623","4港み生薬第69号","2023/4/1","35.653881","139.753611"
"202304","2023/3/2","薬局","新規","白金台南薬局","東京都港区白金六丁目6番1号","マンション芝白金1階106号","03-5421-0880","4港み生薬第70号","2023/4/1","35.644302","139.725567"
"202305","2023/4/20","薬局","新規","麻布薬局","東京都港区東麻布一丁目25番3号","第2富田ビル7階","03-6277-8340","5港み生薬第2号","2023/5/2","35.655793","139.744731"
"202306","2023/5/23","薬局","新規","南山堂薬局　東麻布三丁目店","東京都港区東麻布三丁目7番12号","ルアナ麻布十番1階","03-5797-7831","5港み生薬第8号","2023/6/7","35.656315","139.738227"
"202308","2023/6/20","薬局","新規","薬局ユニファー　慶大前店","東京都港区芝五丁目1番12号","MAビル芝1階","03-6722-6488","5港み生薬第12号","2023/8/1","35.649937","139.745137"
"202308","2023/7/14","薬局","新規","薬局トモズ虎ノ門ヒルズステーションタワー店","東京都港区虎ノ門二丁目6番3号","虎ノ門ヒルズステーションタワー地下1F",,"5港み生薬第18号","2023/8/1","35.666953","139.749203"
"202308","2023/7/7","薬局","新規","薬局トモズ浜松町店","東京都港区浜松町一丁目29番10号","東京ラインビル1階","03-5402-8684","5港み生薬第16号","2023/8/7","35.656864","139.755532"
"202309","2023/8/16","薬局","新規","バンビー薬局　ニュー新橋ビル店","東京都港区新橋二丁目16番1号","ニュー新橋ビル内344号","03-3580-3159","5港み生薬第25号","2023/9/1","35.666423","139.757358"
"202309","2023/8/16","薬局","新規","バンビー薬局　本店","東京都港区新橋三丁目19番2号",,"03-3432-0288","5港み生薬第26号","2023/9/1","35.665014","139.757551"
"202309","2023/8/16","薬局","新規","ぱぱす薬局　神谷町店","東京都港区虎ノ門三丁目17番1号","TOKYU REIT虎ノ門ビル1階","03-6687-3088","5港み生薬第23号","2023/9/8","35.664043","139.746454"
"202309","2023/8/10","薬局","新規","三田薬局","東京都港区南青山一丁目1番1号","新青山ビルヂング西館1階","03-3796-5371","5港み生薬第22号","2023/9/1","35.672567","139.724714"
"202309","2023/7/13","薬局","新規","青山あすか薬局","東京都港区南青山二丁目26番35号","青山KKビル1階","03-6804-5810","5港み生薬第17号","2023/9/1","35.669932","139.717088"
"202310","2023/9/14","薬局","新規","そうごう薬局　麻布台ヒルズ店","東京都港区麻布台一丁目3番1号","麻布台ヒルズタワープラザ4階","03-5544-9351","5港み生薬第33号","2023/10/2","35.660882","139.740657"
"202310","2023/8/31","薬局","新規","株式会社湘南薬品　港南薬局","東京都港区港南四丁目6番7号","ワールドシティータワーズキャピタルタワー1階","03-3471-8375","5港み生薬第29号","2023/10/1","35.627474","139.75059"
"202310","2023/9/7","薬局","新規","ドラッグセイムス芝浦海岸通薬局","東京都港区芝浦四丁目13番23号","MS芝浦ビル1階","03-6435-3181","5港み生薬第31号","2023/10/2","35.640240","139.748062"
"202310","2023/9/13","薬局","新規","マープル薬局","東京都港区西麻布四丁目10番1号","ラポート西麻布地下1階","03-6427-9330","5港み生薬第32号","2023/10/1","35.657898","139.723008"
"202312","2023/12/20","薬局","新規","幸城薬局　虎ノ門新橋支店","東京都港区西新橋二丁目6番3号","1階",,"5港み生薬第52号","2023/12/27","35.667054","139.753559"
"202401","2023/11/30","薬局","新規","ハピネス薬局　麻布十番店","東京都港区麻布十番二丁目13番1号","COLLET麻布1階",,"5港み生薬第48号","2024/1/1","35.655030","139.735006"
"202402","2024/1/16","薬局","新規","エースタイル薬局","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザ地下1階","03-6441-0990","5港み生薬第56号","2024/2/1","35.671237","139.741652"
"202402","2023/11/28","薬局","新規","幸城薬局　台場店","東京都港区台場二丁目6番1号","グランドニッコー東京台場2階","03-5324-2413","5港み生薬第47号","2024/2/22","35.625144","139.771569"
"202402","2024/1/17","薬局","新規","虎ノ門薬局","東京都港区西新橋三丁目15番12号","GGHOUSE 7階","03-6435-7872","5港み生薬第57号","2024/2/5","35.664841","139.749895"
"202403","2024/2/14","薬局","新規","ミテミィ薬局　新橋店","東京都港区新橋五丁目7番12号","丸石新橋ビル2階","03-6435-9753","5港み生薬第62号","2024/3/6","35.663688","139.754447"
"202403","2024/2/22","薬局","新規","あさひ薬局　虎ノ門ヒルズ店","東京都港区虎ノ門二丁目9番1号","江戸見坂テラス1F","03-6268-8780","5港み生薬第64号","2024/3/6","35.667780","139.745848"

"薬局新規許可一覧(令和6年3月31日現在)","Ver202403",,,,,,,,,,
