和暦（年度）,西暦（年度）,幼稚園／5歳(kg),小学校／(1学年)・6歳(kg),小学校／(2学年)・7歳(kg),小学校／(3学年)・8歳(kg),小学校／(4学年)・9歳(kg),小学校／(5学年)・10歳(kg),小学校／(6学年)・11歳(kg),中学校／(1学年)・12歳(kg),中学校／(2学年)・13歳(kg),中学校／(3学年)・14歳(kg),高等学校／(1学年)・15歳(kg),高等学校／(2学年)・16歳(kg),高等学校／(3学年)・17歳(kg)
昭和23,1948,16.2,17.2,19.6,21.3,23.4,25.6,28.3,32.1,35.5,39.8,43.8,47,47.9
昭和24,1949,16.2,18,19.8,21.7,23.8,26.1,28.8,32.8,36.8,41,44.8,47.3,48.9
昭和25,1950,17,18.2,20,22,24,26.4,29.4,33.5,37.6,41.8,45.1,47.6,48.8
昭和26,1951,17,18.2,20.1,22.1,24.3,26.7,29.7,34.3,38.1,42.5,46.5,48.1,48.8
昭和27,1952,･･･ ,18.3,20.4,22.2,24.6,27.1,30.3,34.5,38.9,42.7,46.3,47.9,49.3
昭和28,1953,･･･ ,18.2,20.3,22.5,24.6,27.3,30.9,35.1,39.5,43.3,46.5,48,48.9
昭和29,1954,17.1,18.3,20.1,22.4,24.7,27.3,31,35.5,39.9,43.3,46.3,47.9,48.7
昭和30,1955,17.2,18.5,20.5,22.6,25.2,27.8,31.7,36.4,40.8,44,47.1,48.5,49.2
昭和31,1956,17.2,18.6,20.6,22.8,25.2,28.5,32.2,37.1,41.7,45.2,47.6,49,49.7
昭和32,1957,17.2,18.6,20.5,22.7,25.3,28.2,32.4,37.5,42,45.7,47.6,49,49.7
昭和33,1958,17.5,18.7,20.7,22.9,25.5,28.5,32.5,38.2,42.5,45.4,47.7,49.1,49.8
昭和34,1959,17.5,18.9,20.7,22.8,25.8,29.2,33.1,37.8,42.5,45.8,47.9,49.3,49.9
昭和35,1960,17.5,19,21,23.3,25.8,29.2,33.3,38.6,42.8,46.1,48.1,49.3,50
昭和36,1961,17.6,19.3,21.3,23.7,26.5,29.7,33.8,38.9,43.3,46.2,48.3,49.8,50.2
昭和37,1962,17.6,19.3,21.3,23.7,26.7,29.6,34.1,38.9,43.2,45.6,48.1,49.8,50.5
昭和38,1963,17.8,19.3,21.5,24,26.7,29.9,34.2,38.8,43.2,46.1,48.4,49.7,50.4
