男女別階層,性別,地域,和暦（年度）,西暦（年度）,幼稚園／5歳(%),小学校／6歳(%),小学校／7歳(%),小学校／8歳(%),小学校／9歳(%),小学校／10歳(%),小学校／11歳(%),中学校／12歳(%),中学校／13歳(%),中学校／14歳(%),高等学校／15歳(%),高等学校／16歳(%),高等学校／17歳(%)
0,計,東京都,平成24,2012,0.36,0.45,0.28,0.64,1.37,3.13,4.12,2.75,3.13,3.28,1.9,2.08,2.4
0,計,東京都,平成25,2013,0.21,0.38,0.7,1.23,2.22,3.84,3.16,3.45,2.42,2.33,3.05,2.76,2.14
0,計,東京都,平成26,2014,0.39,0.42,0.95,1.46,2.32,3.68,3.57,3.47,2.98,2.04,3.1,1.75,3.4
0,計,東京都,平成27,2015,0.75,0.2,0.76,0.91,1.66,3.34,3.6,3.94,3.35,2.41,2.96,2.6,2.62
0,計,東京都,平成28,2016,0.19,0.33,0.5,1.28,1.41,2.67,2.86,4.25,2.59,2.92,2.89,1.93,1.85
0,計,東京都,平成29,2017,0.38,1.12,0.71,1.05,1.72,2.41,3.23,4.3,3.91,3.09,3,2.37,2.37
0,計,東京都,平成30,2018,0.3,0.39,0.25,1.38,1.86,4.32,3.14,4.48,3,2.97,3.9,2.8,2.29
0,計,東京都,令和元,2019,0.24,0.31,0.24,0.8,1.8,2.05,3.03,3.92,3.75,2.56,4.03,2.35,2.53
0,計,東京都,令和2,2020,0.67,0.44,0.84,1.09,2.64,2.54,3.68,4.97,3.93,3.31,4.38,5.7,4.8
0,計,東京都,令和3,2021,0.27,0.26,0.33,0.48,1.88,3.3,2.27,4.13,3.55,2.96,5.08,3.51,3.2
0,計,東京都,令和4,2022,0.26,0.32,0.8,1.18,1.96,2.69,2.76,4.08,3.18,3.24,4.1,3.93,3.24
0,計,全国,令和4,2022,0.19,0.36,0.44,0.79,1.64,2.44,2.66,3.53,2.93,2.97,3.79,3.33,2.85
1,男,東京都,平成24,2012,0.32,0.18,0.37,0.91,1.25,2.19,3.89,1.28,1.84,2.1,1.57,2.15,1.9
1,男,東京都,平成25,2013,0.14,0.16,0.54,0.96,2.47,3.66,3.22,2.13,1.09,1.67,2.94,2.47,1.95
1,男,東京都,平成26,2014,0.2,0.1,0.99,1.23,2.31,4.08,3.85,3.45,1.41,1.95,3.24,1.78,2.95
1,男,東京都,平成27,2015,0.61,0.13,0.99,0.33,0.93,2.76,4.06,3.58,2.22,1.32,3.68,2.39,3.15
1,男,東京都,平成28,2016,0.06,0.23,0.15,1.42,1.37,2.19,2.23,2.78,1.71,1.79,2.74,1.82,2.24
1,男,東京都,平成29,2017,0.36,0.92,0.62,0.78,1.05,2.44,3.95,4.04,2.9,2.67,4.03,2.91,2.41
1,男,東京都,平成30,2018,0.11,0.16,-,0.54,2.27,4.48,3.79,3.27,3.11,2.34,4.94,2.88,2.95
1,男,東京都,令和元,2019,0.4,0.19,0.48,0.71,1.91,2.01,2.34,3.37,2.42,1.92,5.23,2.47,2.95
1,男,東京都,令和2,2020,0.7,0.14,0.57,0.74,2.41,2.86,3.93,4.53,3.54,4.04,3.69,5.26,4.89
1,男,東京都,令和3,2021,0.23,-,0.19,0.49,1.07,3.02,2.84,3.51,4.45,2.74,5.65,4.62,3.6
1,男,東京都,令和4,2022,0.17,0.33,0.91,0.35,1.22,2.35,3.33,3.68,2.26,3.71,4.92,3.76,3.4
1,男,全国,令和4,2022,0.15,0.28,0.41,0.58,1.41,2.36,2.91,3.21,2.59,2.87,4.43,3.71,3.32
1,女,東京都,平成24,2012,0.4,0.73,0.18,0.35,1.5,4.11,4.36,4.26,4.46,4.47,2.22,2.02,2.89
1,女,東京都,平成25,2013,0.29,0.61,0.87,1.5,1.97,4.02,3.1,4.79,3.77,3,3.15,3.03,2.33
1,女,東京都,平成26,2014,0.58,0.75,0.91,1.7,2.32,3.26,3.28,3.5,4.58,2.12,2.97,1.71,3.84
1,女,東京都,平成27,2015,0.9,0.27,0.52,1.52,2.43,3.94,3.11,4.31,4.51,3.52,2.26,2.79,2.11
1,女,東京都,平成28,2016,0.33,0.43,0.85,1.12,1.47,3.17,3.51,5.77,3.49,4.07,3.03,2.04,1.47
1,女,東京都,平成29,2017,0.4,1.33,0.81,1.33,2.43,2.37,2.48,4.57,4.95,3.53,2.01,1.84,2.33
1,女,東京都,平成30,2018,0.49,0.64,0.52,2.25,1.43,4.15,2.46,5.72,2.88,3.62,2.9,2.72,1.66
1,女,東京都,令和元,2019,0.08,0.43,-,0.89,1.7,2.09,3.76,4.49,5.11,3.22,2.85,2.24,2.12
1,女,東京都,令和2,2020,0.64,0.76,1.13,1.45,2.87,2.21,3.42,5.44,4.34,2.55,5.05,6.14,4.72
1,女,東京都,令和3,2021,0.32,0.53,0.49,0.46,2.74,3.59,1.68,4.78,2.62,3.18,4.52,2.45,2.82
1,女,東京都,令和4,2022,0.36,0.31,0.7,2.05,2.74,3.04,2.15,4.5,4.13,2.76,3.3,4.09,3.09
