地域区分,学校種別,年齢(歳),男／身長／平均値(cm),男／身長／標準偏差,男／体重／平均値(kg),男／体重／標準偏差,女／身長／平均値(cm),女／身長／標準偏差,女／体重／平均値(kg),女／体重／標準偏差
東京都,幼稚園,5,111.6,4.75,19.4,2.78,110.5,4.89,19,2.6
東京都,小学校,6,117.3,5,21.7,3.16,116.3,4.95,21.3,3.32
東京都,小学校,7,123.4,5.55,24.6,4.08,122.6,5.13,24.1,3.95
東京都,小学校,8,128.7,5.22,28,5.21,129,5.64,27.3,4.78
東京都,小学校,9,134.7,5.67,32,6.89,135.1,6.42,30.8,5.66
東京都,小学校,10,140.6,6.55,36.4,8.35,142.1,6.75,35.4,6.94
東京都,小学校,11,146.7,7.24,40.2,8.88,148.7,6.41,40.7,7.84
東京都,中学校,12,154.6,7.29,45.8,10.36,152.8,5.9,44.6,8.13
東京都,中学校,13,161.6,7.21,51.2,11.18,155.6,5.51,47.8,8.02
東京都,中学校,14,166.1,6.73,55.1,11.04,156.9,5.38,49.7,7.71
東京都,高等学校,15,168.8,5.89,58.2,10.92,157.9,5.62,50.6,6.95
東京都,高等学校,16,170.3,5.75,60,10.1,158.8,5.57,51.2,6.88
東京都,高等学校,17,170.9,5.92,61.7,10.57,158.8,5.39,52.1,7.36
全国,幼稚園,5,111.1,4.88,19.3,2.85,110.2,4.84,19,2.75
全国,小学校,6,117,4.94,21.8,3.57,116,4.96,21.3,3.45
全国,小学校,7,122.9,5.27,24.6,4.39,122,5.24,24,4.19
全国,小学校,8,128.5,5.42,28,5.6,128.1,5.68,27.3,5.18
全国,小学校,9,133.9,5.77,31.5,6.85,134.5,6.44,31.1,6.32
全国,小学校,10,139.7,6.37,35.7,8.12,141.4,6.86,35.5,7.41
全国,小学校,11,146.1,7.37,40,9.22,147.9,6.41,40.5,8.06
全国,中学校,12,154,7.93,45.7,10.31,152.2,5.73,44.5,8.04
全国,中学校,13,160.9,7.32,50.6,10.6,154.9,5.43,47.7,7.84
全国,中学校,14,165.8,6.43,55,10.57,156.5,5.32,49.9,7.69
全国,高等学校,15,168.6,5.96,59.1,11.35,157.2,5.37,51.2,7.92
全国,高等学校,16,169.9,5.82,60.7,10.98,157.7,5.45,52.1,7.82
全国,高等学校,17,170.7,5.8,62.5,10.88,158,5.42,52.5,7.93
,,,,,,,,,,
令和４年度　学校保健統計（学校保健統計調査報告書）,,,,,,,,,,
第１表　年齢別身長、体重の平均値及び標準偏差(東京都及び全国),,,,,,,,,,
 注）　標準偏差とは、データの散らばりの度合を表す数値。標準偏差が小さいことは、平均値のまわりの散らばりの度合が小さいことを示す。,,,,,,,,,,
