区分,和暦（年度）,西暦（年度）,裸眼視力／計(%),裸眼視力／視力非矯正者の裸眼視力／1.0以上(%),裸眼視力／視力非矯正者の裸眼視力／1.0未満・0.7以上(%),裸眼視力／視力非矯正者の裸眼視力／0.7未満・0.3以上(%),裸眼視力／視力非矯正者の裸眼視力／0.3未満(%),裸眼視力／視力矯正者の裸眼視力／1.0以上(%),裸眼視力／視力矯正者の裸眼視力／1.0未満・0.7以上(%),裸眼視力／視力矯正者の裸眼視力／0.7未満・0.3以上(%),裸眼視力／視力矯正者の裸眼視力／0.3未満(%),裸眼視力／計(%),裸眼視力／1.0未満・0.7以上(%),裸眼視力／0.7未満・0.3以上(%),裸眼視力／0.3未満(%),眼の疾病・異常(%),難聴(%),耳鼻咽頭／耳疾患(%),耳鼻咽頭／鼻・副鼻腔疾患(%),耳鼻咽頭／口腔咽喉頭疾患・異常(%),歯・口腔／むし歯（う歯）／計(%),歯・口腔／むし歯（う歯）／処置完了者(%),歯・口腔／むし歯（う歯）／未処置歯のある者(%),歯・口腔／歯列・咬合(%),歯・口腔／顎関節(%),歯・口腔／歯垢の状態(%),歯・口腔／歯肉の状態(%),歯・口腔／その他の疾病・異常(%),永久歯の1人当り平均むし歯(う歯)等数／計(本),永久歯の1人当り平均むし歯(う歯)等数／喪失歯数(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／計(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／処置歯数(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／未処置歯数(本),栄養状態(%),せき柱・胸郭・四肢の状態(%),皮膚疾患／アトピー性皮膚炎(%),皮膚疾患／その他の皮膚疾患(%),結核に関する検診／結核の精密検査の対象者(%),結核(%),心臓の疾病・異常(%),心電図異常(%),蛋白検出の者(%),尿糖検出の者(%),その他の疾病・異常／ぜん息(%),その他の疾病・異常／腎臓疾患(%),その他の疾病・異常／言語障害(%),その他の疾病・異常／その他の疾病・異常(%)
幼稚園,平成24,2012,100,X,X,X,X,X,X,X,X,X,X,X,X,0.6,…,2.3,2.3,2.6,37.7,16.3,21.4,3.6,0.1,1,0.1,2.2,…,…,…,…,…,0.3,0.1,3.2,1.5,…,…,0.5,…,0.8,…,3.2,-,0.2,0.6
幼稚園,平成25,2013,100,X,X,X,X,X,X,X,X,X,X,X,X,3.1,…,2.5,3.8,2.2,28.9,13,15.9,1.6,0.4,0.7,0.2,0.5,…,…,…,…,…,0,0.2,2.6,3.6,…,…,0.7,…,2.9,…,1.8,0,0.3,0.8
幼稚園,平成26,2014,100,X,X,X,X,X,X,X,X,X,X,X,X,2.4,…,1,1.9,0.7,31.6,13.9,17.7,2.8,-,0.6,0.1,2.3,…,…,…,…,…,0.1,0.2,2.1,1.7,…,…,0.2,…,1.3,…,2.2,-,0.2,1.8
幼稚園,平成27,2015,100,X,X,X,X,X,X,X,X,X,X,X,X,1.3,…,1.7,2.6,1.2,28.5,12.4,16.1,5.2,0,2,0.3,1.4,…,…,…,…,…,-,0.1,2.1,1.5,…,…,0.6,…,0.6,…,2.6,0.1,0.3,1.2
幼稚園,平成28,2016,100,X,X,X,X,X,X,X,X,X,X,X,X,1.8,…,3.1,3.1,1.1,26.1,12,14.1,1.8,-,0.5,0.2,1.5,…,…,…,…,…,0.1,0.3,2.7,1.6,…,…,0.6,…,0.4,…,3,-,0.3,1.4
幼稚園,平成29,2017,100,X,X,X,X,X,X,X,X,X,X,X,X,1.2,…,0.8,1.4,2.8,30.1,12.9,17.2,3.9,0.1,0.7,0.7,2.5,…,…,…,…,…,0.4,0.2,1.7,2.5,…,…,0.5,…,2,…,1.9,0,1,1.8
幼稚園,平成30,2018,100,X,X,X,X,X,X,X,X,X,X,X,X,2.1,…,2.4,2.4,1.7,27.4,10.3,17.1,2.5,-,0.4,0.3,1.8,…,…,…,…,…,0.1,0.2,1.6,3.4,…,…,0.1,…,3.6,…,1.6,0,0.2,1.6
幼稚園,令和元,2019,100,X,X,X,X,X,X,X,X,X,X,X,X,0.6,…,0.6,0.5,1.1,26.2,10.2,16,3.8,0,0.6,0.2,1.7,…,…,…,…,…,-,0,2.2,1.4,…,…,0.3,…,1.2,…,1.1,0,0.3,2.2
幼稚園,令和2,2020,100,X,X,X,X,X,X,X,X,X,X,X,X,1,…,1.1,2.9,0.4,18.1,9.5,8.6,2.8,-,0.6,0.1,1.6,…,…,…,…,…,0.3,0.4,1.4,0.7,…,…,0.4,…,0.8,…,1.8,-,0.2,1.3
幼稚園,令和3,2021,100,X,X,X,X,X,X,X,X,X,X,X,X,1.8,…,3.8,1.6,0.7,15.8,7.6,8.2,5.4,0,1.2,0.3,3.8,…,…,…,…,…,0.1,0,1.1,1,…,…,0,…,0.1,…,0.9,-,0.1,0.1
幼稚園,令和4,2022,100,X,X,X,X,X,X,X,X,X,X,X,X,2,…,2.9,3,2.2,16.1,6.4,9.8,3.9,0.1,1.3,0.3,3,…,…,…,…,…,0,0.2,0.9,1.1,…,…,0.2,…,1,…,1,0.1,0.2,0.5
