男女別階層,区分,地域,和暦（年度）,西暦（年度）,幼稚園／5歳(%),小学校／6歳(%),小学校／7歳(%),小学校／8歳(%),小学校／9歳(%),小学校／10歳(%),小学校／11歳(%),中学校／12歳(%),中学校／13歳(%),中学校／14歳(%),高等学校／15歳(%),高等学校／16歳(%),高等学校／17歳(%)
0,計,東京都,平成24,2012,2.07,2.94,4.4,5.88,6.52,9.23,8.75,7.81,9.85,7.39,9,9.47,8.37
0,計,東京都,平成25,2013,2.21,3.48,4.67,6.25,7.1,8.43,9.12,8.87,8.16,8.01,8.29,8.07,7.56
0,計,東京都,平成26,2014,2.03,4.3,4.78,6.07,8.05,7.9,9.74,7.87,7.41,8.2,8.01,8.33,7.68
0,計,東京都,平成27,2015,1.46,2.88,3.5,4.85,6.14,6.65,8.19,7.39,7.28,7.75,9.88,9.35,8.36
0,計,東京都,平成28,2016,2.03,3.38,4.84,4.97,6.19,7.46,8.64,7.71,7.87,6.74,8.37,7.48,8.71
0,計,東京都,平成29,2017,2.35,3.74,4.72,6.99,8.26,8.24,8.76,7.73,7.48,6.75,9.74,9.68,9.83
0,計,東京都,平成30,2018,1.95,3.45,6.05,6.04,6.99,8.7,8.05,8.59,6.26,6.6,8.27,7.43,8.92
0,計,東京都,令和元,2019,2.46,3.11,4.76,5.98,7.42,8.25,9.25,7.52,7.87,8.11,6.95,8.03,8.34
0,計,東京都,令和2,2020,3.07,6.45,7.48,9.58,9.62,12.05,8.39,10.95,10.53,9.11,8.96,8.79,9.86
0,計,東京都,令和3,2021,3.11,5.09,6.42,7.16,7.69,8.79,9.2,9.3,8.51,8.87,8.95,7.8,7.15
0,計,東京都,令和4,2022,3.14,4.27,7.06,9.16,9.66,11.6,11.27,10.26,10.34,9.59,6.92,6.57,7.59
0,計,全国,令和4,2022,3.64,5.62,7.63,10.13,11.41,12.48,12.25,11.43,10.68,9.55,10.13,9.09,9.46
1,男,東京都,平成24,2012,2.26,2.15,4.63,6.06,7.27,10.06,9.69,9.45,12.04,8.3,10.65,12.21,10.79
1,男,東京都,平成25,2013,2.2,2.92,4.36,7.67,8.07,10.98,10.26,10.28,8.86,8.26,9.46,10.76,8.75
1,男,東京都,平成26,2014,2.18,3.93,5.35,6.86,8.01,8.2,10.63,10.09,8.21,8.62,10.95,9.51,9.87
1,男,東京都,平成27,2015,2.11,1.86,4.45,4.66,6.1,8.17,10.09,7.97,8.1,8.67,12.99,11.83,9.98
1,男,東京都,平成28,2016,2.13,3.73,5.06,3.8,6.26,9.14,10.79,8.32,8.49,6.58,9.8,8.91,11.04
1,男,東京都,平成29,2017,2.19,3.27,6.88,7.72,8.35,9.08,8.35,8.44,8.31,7.07,13.21,11.08,11.58
1,男,東京都,平成30,2018,1.94,3.26,7.34,7.91,6.37,9.51,8.42,9.67,6.26,8.16,9.61,10.12,10.89
