男女別階層,年齢階層,性別,学校種別,年齢(歳),裸眼視力／計(%),裸眼視力／視力非矯正者の裸眼視力／1.0以上(%),裸眼視力／視力非矯正者の裸眼視力／1.0未満0.7以上(%),裸眼視力／視力非矯正者の裸眼視力／0.7未満0.3以上(%),裸眼視力／視力非矯正者の裸眼視力／0.3未満(%),裸眼視力／視力矯正者の裸眼視力／1.0以上(%),裸眼視力／視力矯正者の裸眼視力／1.0未満0.7以上(%),裸眼視力／視力矯正者の裸眼視力／0.7未満0.3以上(%),裸眼視力／視力矯正者の裸眼視力／0.3未満(%),裸眼視力／計(%),裸眼視力／1.0未満0.7以上(%),裸眼視力／0.7未満0.3以上(%),裸眼視力／0.3未満(%),眼の疾病・異常(%),難聴(%),耳鼻咽頭／耳疾患(%),耳鼻咽頭／鼻・副鼻腔疾患(%),耳鼻咽頭／口腔咽喉頭疾患・異常(%),歯・口腔／むし歯（う歯）／計(%),歯・口腔／むし歯（う歯）／処置完了者(%),歯・口腔／むし歯（う歯）／未処置歯のある者(%),歯・口腔／歯列・咬合(%),歯・口腔／顎関節(%),歯・口腔／歯垢の状態(%),歯・口腔／歯肉の状態(%),歯・口腔／その他の疾病・異常(%),永久歯の1人当り平均むし歯(う歯)等数／計(本),永久歯の1人当り平均むし歯(う歯)等数／喪失歯数(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／計(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／処置歯数(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／未処置歯数(本),栄養状態(%),せき柱・胸郭・四肢の状態(%),皮膚疾患／アトピー性皮膚炎(%),皮膚疾患／その他の皮膚疾患(%),結核の精密検査の対象者(%),結核(%),心臓の疾病・異常(%),心電図異常(%),蛋白検出の者(%),尿糖検出の者(%),その他の疾病・異常／ぜん息(%),その他の疾病・異常／腎臓疾患(%),その他の疾病・異常／言語障害(%),その他の疾病・異常／その他の疾病・異常(%)
0,0,計,幼稚園,5,100,74.61,17.4,5.02,0.56,0.44,0.73,0.83,0.41,24.95,18.13,5.85,0.97,1.27,…,2.36,3.03,0.65,24.93,10.05,14.88,4.3,0.09,1.06,0.28,2.21,…,…,…,…,…,0.38,0.24,1.62,0.78,…,…,0.28,…,0.87,…,1.11,0.03,0.29,1.22
0,0,計,小学校,計,100,61.22,10.92,10.8,5.03,0.9,1.06,3.1,6.96,37.88,11.98,13.9,11.99,5.28,0.49,6.6,11.44,0.71,37.02,19.32,17.7,4.63,0.1,3.15,1.8,6.52,…,…,…,…,…,2.07,0.84,3.14,0.39,0.1,0,0.8,2.55,0.98,0.08,2.85,0.21,0.45,4.76
0,1,計,小学校,6,100,76.22,13.61,6.58,1.24,0.58,0.58,0.75,0.44,23.2,14.19,7.33,1.68,5.33,0.6,10.09,11.66,1.1,29.98,12.3,17.68,3.09,0.05,1.29,0.67,5.91,…,…,…,…,…,1.03,0.63,2.94,0.5,0.27,0.01,0.94,2.55,0.56,0.05,2.94,0.18,0.66,4.36
0,1,計,小学校,7,100,72.01,12.32,9,3.01,0.71,0.71,1.11,1.12,27.28,13.03,10.12,4.14,4.78,0.51,6.97,11.15,0.83,37.34,18.05,19.29,4.48,0.08,2.49,1.3,5.25,…,…,…,…,…,1.47,0.61,3.16,0.46,0.08,0,0.84,…,0.58,0.05,2.86,0.22,0.65,4.46
0,1,計,小学校,8,100,65.49,11.26,11.39,4.7,0.9,0.91,2.06,3.3,33.62,12.17,13.45,8,5.14,0.49,6.51,11.2,0.71,42.77,22.5,20.27,5.32,0.09,3.42,1.87,5.33,…,…,…,…,…,2,0.75,3.24,0.38,0.06,0,0.78,…,0.66,0.06,3,0.21,0.51,4.72
0,1,計,小学校,9,100,57.59,10.59,12.02,6.55,0.99,1.33,3.5,7.44,41.42,11.92,15.52,13.99,5.75,…,5.97,11.99,0.69,44.28,24.4,19.88,4.94,0.1,3.64,1.98,7.14,…,…,…,…,…,2.46,0.8,3.21,0.38,0.06,0,0.82,…,0.83,0.06,2.83,0.22,0.36,4.88
0,1,計,小学校,10,100,51.62,9.15,12.82,6.32,1.16,1.28,5.12,12.54,47.22,10.43,17.93,18.85,5.32,0.37,5.81,11.95,0.6,37.99,21.39,16.61,4.88,0.12,3.89,2.32,8.14,…,…,…,…,…,2.7,1.07,3.21,0.34,0.07,0,0.73,…,1.24,0.1,2.76,0.19,0.28,4.96
0,1,計,小学校,11,100,45.76,8.82,12.75,8.07,1.05,1.5,5.84,16.21,53.19,10.32,18.59,24.28,5.32,…,4.43,10.71,0.38,29.87,17.15,12.71,5,0.18,4.05,2.6,7.24,…,…,…,…,…,2.72,1.16,3.11,0.29,0.06,0,0.68,…,1.98,0.13,2.71,0.27,0.24,5.16
0,0,計,中学校,計,100,37.64,10.86,14.31,7.05,1.11,1.53,6.27,21.23,61.23,12.39,20.58,28.26,4.95,0.33,4.76,10.7,0.35,28.24,16.8,11.43,5.3,0.35,3.97,3.45,3.53,0.56,0.01,0.55,0.35,0.2,1.42,1.54,2.96,0.24,0.04,0,0.85,3.15,2.9,0.17,2.23,0.24,0.09,4.83
0,1,計,中学校,12,100,43.29,11.24,13.24,6.34,1.07,1.62,5.8,17.41,55.64,12.86,19.04,23.75,5.23,0.35,6.14,11.15,0.42,25.76,15.19,10.56,5.35,0.31,3.75,3.1,4.9,0.56,0.01,0.55,0.35,0.2,1.52,1.57,3.03,0.28,0.05,0,0.9,3.15,2.74,0.13,2.15,0.24,0.1,4.7
