男女別階層,年齢階層,性別,学校種別,年齢(歳),裸眼視力／計(%),裸眼視力／視力非矯正者の裸眼視力／1.0以上(%),裸眼視力／視力非矯正者の裸眼視力／1.0未満・0.7以上(%),裸眼視力／視力非矯正者の裸眼視力／0.7未満・0.3以上(%),裸眼視力／視力非矯正者の裸眼視力／0.3未満(%),裸眼視力／視力矯正者の裸眼視力／1.0以上(%),裸眼視力／視力矯正者の裸眼視力／1.0未満・0.7以上(%),裸眼視力／視力矯正者の裸眼視力／0.7未満・0.3以上(%),裸眼視力／視力矯正者の裸眼視力／0.3未満(%),裸眼視力／計(%),裸眼視力／1.0未満・0.7以上(%),裸眼視力／0.7未満・0.3以上(%),裸眼視力／0.3未満(%),眼の疾病・異常(%),難聴(%),耳鼻咽頭／耳疾患(%),耳鼻咽頭／鼻・副鼻腔疾患(%),耳鼻咽頭／口腔咽喉頭疾患・異常(%),歯・口腔／むし歯（う歯）／計(%),歯・口腔／むし歯（う歯）／処置完了者(%),歯・口腔／むし歯（う歯）／未処置歯のある者(%),歯・口腔／歯列・咬合(%),歯・口腔／顎関節(%),歯・口腔／歯垢の状態(%),歯・口腔／歯肉の状態(%),歯・口腔／その他の疾病・異常(%),永久歯の1人当り平均むし歯(う歯)等数／計(本),永久歯の1人当り平均むし歯(う歯)等数／喪失歯数(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／計(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／処置歯数(本),永久歯の1人当り平均むし歯(う歯)等数／むし歯（う歯）／未処置歯数(本),栄養状態(%),せき柱・胸郭・四肢の状態(%),皮膚疾患／アトピー性皮膚炎(%),皮膚疾患／その他の皮膚疾患(%),結核の精密検査の対象者(%),結核(%),心臓の疾病・異常(%),心電図異常(%),蛋白検出の者(%),尿糖検出の者(%),その他の疾病・異常／ぜん息(%),その他の疾病・異常／腎臓疾患(%),その他の疾病・異常／言語障害(%),その他の疾病・異常／その他の疾病・異常(%)
0,0,計,幼稚園,5,100,X,X,X,X,X,X,X,X,X,X,X,X,2,…,2.9,3,2.2,16.1,6.4,9.8,3.9,0.1,1.3,0.3,3,…,…,…,…,…,0,0.2,0.9,1.1,…,…,0.2,…,1,…,1,0.1,0.2,0.5
0,0,計,小学校,計,100,56.2,13.1,11.3,5.7,0.9,1,3.2,8.6,42.9,14.1,14.5,14.2,4,0.4,9.7,11.7,0.1,27.2,15.6,11.6,3,0,2.2,1.4,3.8,…,…,…,…,…,1.6,0.5,2.9,0.5,0.2,-,0.7,1.6,1,0.1,2.7,0.3,0.5,4.4
0,1,計,小学校,6,100,73.3,16.4,6.7,1.6,0.5,0.5,0.6,0.4,26.1,16.9,7.2,2,3.4,0.5,13,11,0.2,19.1,9.3,9.8,1.4,0,1.1,0.7,3.8,…,…,…,…,…,0.7,0.4,2.7,0.6,0.6,-,0.9,1.6,0.4,0,2.5,0.3,0.5,4.3
0,1,計,小学校,7,100,67.8,15.1,9,4,0.6,0.5,1.3,1.5,31.5,15.6,10.4,5.5,3.8,0.4,11.1,10.6,0.1,25.3,13.8,11.5,2.9,0,2.2,0.9,2.8,…,…,…,…,…,0.7,0.4,3.1,0.7,0.1,-,1,…,0.6,0.1,2.8,0.2,0.5,4.1
0,1,計,小学校,8,100,58.7,14.3,12.6,5.8,0.9,0.9,2.2,4.6,40.4,15.2,14.8,10.4,4.3,0.4,9.9,12.6,0.1,32.8,19.3,13.5,3.3,-,1.8,1.4,3,…,…,…,…,…,1.9,0.3,2.6,0.4,0.1,-,0.6,…,0.6,0,2.9,0.3,0.6,4.2
0,1,計,小学校,9,100,50.8,12,12.6,7.2,1.3,1.7,4.4,9.9,47.9,13.7,17.1,17.1,4.3,…,8.5,12,0.2,33.5,19.5,14,3.4,0,3,1.8,4.3,…,…,…,…,…,2.1,0.4,3.2,0.6,0.1,-,0.8,…,1,0.1,2.8,0.2,0.5,4.9
0,1,計,小学校,10,100,45.4,11.2,12.5,8.5,1.4,1.1,4.8,15.1,53.2,12.2,17.3,23.6,4.1,0.2,8.2,12.5,0.2,30.1,18,12.1,3.5,0.1,2.3,1.7,4.4,…,…,…,…,…,2.2,0.7,3,0.6,0.1,-,0.4,…,1.5,0.1,2.7,0.3,0.3,4.5
0,1,計,小学校,11,100,40.2,9.6,14.5,7.1,0.9,1.1,6.2,20.3,58.9,10.8,20.7,27.4,3.8,…,7.7,11.7,0.1,22.4,13.8,8.7,3.8,0.1,2.9,1.8,4.8,…,…,…,…,…,1.9,1,2.8,0.4,0.1,-,0.6,…,2,0.1,2.7,0.4,0.3,4.6
0,0,計,中学校,計,100,29.8,13.7,16.2,8.5,1.7,3.2,10,16.9,68.5,16.9,26.2,25.4,6,0.5,6.4,12.1,0.1,25.1,15.8,9.3,4.5,0.6,3.2,2.4,1.8,0.5,0,0.4,0.3,0.1,1.8,1.3,2.7,0.2,0.1,-,0.6,2.3,3,0.2,1.7,0.2,0.1,3.8
0,1,計,中学校,12,100,36.7,11.9,13.8,8.6,1.2,2.6,7.3,17.8,62,14.5,21.1,26.4,5.8,0.5,6.9,12.5,0.1,22,13.9,8.1,4,0.6,3,2,2.5,0.5,0,0.4,0.3,0.1,2,0.9,3,0.2,0.1,-,0.7,2.3,2.6,0.2,1.9,0.3,0,3.4
