"年月[西暦]","調査項目","設問","事業所の従業者数","社会的責任の一つ[件]","重要なビジネス戦略の一つ[件]","法規制等を遵守するもの[件]","ビジネスリスク低減につながる経営手法の一つ","環境に配慮した取組と事業活動に関連ない[件]","その他[件]","社会的責任の一つ[%]","重要なビジネス戦略の一つ[%]","法規制等を遵守するもの[%]","ビジネスリスク低減につながる経営手法の一つ","環境に配慮した取組と事業活動に関連ない[%]","その他[%]"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","1～4人","19","1","6","0","3","2","61.3","3.2","19.4","0.0","9.7","6.5"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","5～9人","20","0","3","0","1","1","80.0","0.0","12.0","0.0","4.0","4.0"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","10～19人","6","0","3","0","2","0","54.5","0.0","27.3","0.0","18.2","0.0"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","20～49人","4","1","3","0","2","0","40.0","10.0","30.0","0.0","20.0","0.0"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","50～99人","4","1","3","0","2","0","40.0","10.0","30.0","0.0","20.0","0.0"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","100～299人","11","0","0","0","1","0","91.7","0.0","0.0","0.0","8.3","0.0"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","300人以上","19","5","3","0","0","1","67.9","17.9","10.7","0.0","0.0","3.6"
"202003","環境に関する取組","Q1. 貴組織の事業活動において、環境に配慮した取組は、現在どのように位置づけられていますか。貴組織の考えにもっとも近いものを１つ選んでください。（○は１つ）","無回答","1","0","0","0","1","0","50.0","0.0","0.0","0.0","50.0","0.0"

"港区の環境に関する事業者アンケート調査結果・クロス集計表・環境に関する取組Q1","Ver202003",,,,,,,,,,,,,,
