区市町村名,２９年１月高齢者人口,特養か所,特養定員,整備率（％）,老健か所,老健定員,整備率（％）,認知症ＧＨか所,認知症ＧＨ定員,整備率（％）
千代田区,10786,3,165,1.53,0,0,0.00,3,36,0.33
中央区,23715,6,329,1.39,1,100,0.42,4,63,0.27
港区,43155,8,729,1.69,3,250,0.57,4,81,0.19
文京区,42433,6,475,1.12,2,189,0.44,7,122,0.29
台東区,45750,9,674,1.47,2,250,0.54,8,144,0.31
区中央部,165839,32,2372,1.43,8,789,0.48,26,446,0.27
品川区,80836,10,782,0.97,1,100,0.12,13,222,0.27
大田区,163127,17,1689,1.04,7,686,0.42,38,687,0.42
区南部,243963,27,2471,1.01,8,786,0.32,51,909,0.37
目黒区,54622,6,516,0.94,2,220,0.40,11,207,0.38
世田谷区,180009,19,1452,0.81,9,772,0.42,42,801,0.44
渋谷区,42463,8,631,1.49,2,200,0.47,5,83,0.20
区西南部,277094,33,2599,0.94,13,1192,0.43,58,1091,0.39
新宿区,67020,8,615,0.92,3,350,0.52,10,161,0.24
中野区,67578,10,748,1.11,1,100,0.14,18,294,0.44
杉並区,117740,15,1430,1.21,4,418,0.35,27,474,0.40
区西部,252338,33,2793,1.11,8,868,0.34,55,929,0.37
豊島区,57464,10,752,1.31,2,206,0.35,13,156,0.27
北区,87761,12,1128,1.29,5,508,0.57,14,258,0.29
板橋区,127738,16,1655,1.30,9,1171,0.91,24,431,0.34
練馬区,157004,27,1864,1.19,14,1316,0.83,33,563,0.36
区西北部,429967,65,5399,1.26,30,3201,0.74,84,1408,0.33
荒川区,49882,8,588,1.18,3,405,0.81,12,232,0.47
足立区,168323,24,2583,1.53,14,1717,1.02,34,614,0.36
葛飾区,111748,20,1946,1.74,8,993,0.88,31,540,0.48
区東北部,329953,52,5117,1.55,25,3115,0.94,77,1386,0.42
墨田区,60298,9,772,1.28,4,507,0.84,15,288,0.48
江東区,108870,15,1392,1.28,7,808,0.74,18,324,0.30
江戸川区,143949,19,1503,1.04,11,1013,0.70,36,636,0.44
区東部,313117,43,3667,1.17,22,2328,0.74,69,1248,0.40
区部計,2012271,285,24418,1.21,114,12279,0.61,420,7417,0.37
大島町,2916,1,100,3.43,0,0,0.00,1,9,0.31
利島村,78,0,0,0.00,0,0,0.00,0,0,0.00
新島村,1071,2,38,3.55,0,0,0.00,0,0,0.00
神津島村,548,1,34,6.20,0,0,0.00,0,0,0.00
三宅村,1001,1,50,5.00,0,0,0.00,0,0,0.00
御蔵島村,55,0,0,0.00,0,0,0.00,0,0,0.00
八丈町,2907,1,100,3.44,0,0,0.00,0,0,0.00
青ヶ島村,24,0,0,0.00,0,0,0.00,0,0,0.00
小笠原村,396,0,0,0.00,0,0,0.00,0,0,0.00
島嶼部計,8996,6,322,3.58,0,0,0.00,1,9,0.10
青梅市,38171,24,2554,6.69,3,355,0.93,6,81,0.21
福生市,14507,4,449,3.10,1,100,0.68,1,9,0.06
羽村市,13811,4,420,3.04,2,200,1.44,2,27,0.20
あきる野市,23127,14,1329,5.75,2,151,0.65,3,45,0.19
瑞穂町,8973,4,440,4.90,3,259,2.88,0,0,0.00
日の出町,5826,9,983,16.87,3,350,6.00,1,9,0.15
檜原村,1111,2,218,19.62,0,0,0.00,1,9,0.81
奥多摩町,2572,4,475,18.47,0,0,0.00,1,9,0.35
西多摩,108098,65,6868,6.35,14,1415,1.31,15,189,0.17
八王子市,144210,27,2541,1.76,8,927,0.64,22,386,0.27
町田市,110979,22,2059,1.86,6,720,0.64,21,342,0.31
日野市,44605,6,567,1.27,5,549,1.23,8,99,0.22
多摩市,40101,5,577,1.44,2,250,0.62,6,108,0.27
稲城市,18307,3,334,1.82,1,195,1.06,3,42,0.23
南多摩,358202,63,6078,1.70,22,2641,0.74,60,977,0.27
立川市,43222,9,796,1.84,3,381,0.88,9,117,0.27
昭島市,28322,5,510,1.80,3,396,1.39,5,42,0.15
国分寺市,26399,7,436,1.65,2,132,0.50,6,84,0.32
国立市,16887,2,145,0.86,2,332,1.96,6,69,0.41
東大和市,22222,5,380,1.71,2,235,1.05,3,54,0.24
武蔵村山市,18288,4,348,1.90,1,148,0.80,3,45,0.25
北多摩西部,155340,32,2615,1.68,13,1624,1.05,32,411,0.26
武蔵野市,31691,7,392,1.24,3,168,0.53,2,36,0.11
三鷹市,39777,4,337,0.85,4,371,0.93,6,134,0.34
府中市,54835,10,643,1.17,4,486,0.88,11,186,0.34
調布市,49112,8,588,1.20,4,375,0.76,9,153,0.31
小金井市,24869,2,199,0.80,2,197,0.79,5,65,0.26
狛江市,19449,3,234,1.20,0,0,0.00,3,63,0.32
北多摩南部,219733,34,2393,1.09,17,1597,0.73,36,637,0.29
小平市,43215,8,612,1.42,2,250,0.57,8,135,0.31
東村山市,39241,7,855,2.18,5,474,1.20,7,126,0.32
清瀬市,20601,5,514,2.50,3,265,1.28,5,81,0.39
東久留米市,31999,6,613,1.92,1,150,0.46,6,90,0.28
西東京市,47185,9,628,1.33,4,430,0.91,12,188,0.40
北多摩北部,182241,35,3222,1.77,15,1569,0.86,38,620,0.34
多摩部計,1023614,229,21176,2.07,81,8846,0.86,181,2834,0.28
東京都合計,3044881,520,45916,1.51,195,21125,0.69,602,10260,0.34
東京都介護保険事業支援計画,,-,47057,-,-,24110,-,-,10996,-
