在宅医療・介護連携推進事業の項目,内容１,内容２,内容３,集計状況（ｎ＝５３）28年度実施数区市町村数,集計状況（ｎ＝５３）28年度実施数全体の％,集計状況（ｎ＝５３）27年度実施数区市町村数,集計状況（ｎ＝５３）27年度実施数全体の％,集計状況（ｎ＝５３）28年度-27年度増（-）減％
（ア）地域の医療・介護資源の把握,地域の医療機関、介護事業者等の住所、連絡先、機能等の把握に向けた取組,,,53,100.0,53,100.0,0.0
（ア）地域の医療・介護資源の把握,地域の医療機関、介護事業者等の住所、連絡先、機能等の把握に向けた取組,地域の医療・介護の資源のリスト又はマップの作成等,,45,84.9,43,81.1,3.8
（イ）在宅医療・介護連携の課題の抽出と対応策の検討,地域の医療・介護関係者等が参画する会議等を開催,,,47,88.7,47,88.7,0.0
（ウ）切れ目のない在宅医療と介護の提供体制の構築推進,体制の構築に向けた取組,,,41,77.4,33,62.3,15.1
（エ）医療・介護関係者の情報共有の支援,情報共有ツールについて検討または作成,,,35,66.0,32,60.4,5.7
（オ）在宅医療・介護連携に関する相談支援,地域の在宅医療と介護の連携を支援する相談窓口の設置,,,35,66.0,32,60.4,5.7
（カ）医療・介護関係者の研修,医療・介護関係者の研修について、下記のいずれかを実施,,,47,88.7,42,79.2,9.4
（カ）医療・介護関係者の研修,医療・介護関係者の研修について、下記のいずれかを実施,医療関係者、介護関係者の多職種でのグループワーク等の研修,,43,81.1,38,71.7,9.4
（カ）医療・介護関係者の研修,医療・介護関係者の研修について、下記のいずれかを実施,医療関係者に対する研修,,27,50.9,30,56.6,-5.7
（カ）医療・介護関係者の研修,医療・介護関係者の研修について、下記のいずれかを実施,介護関係者に対する研修,,41,77.4,－,－,－
（キ）地域住民への普及啓発,地域住民への普及啓発について、下記のいずれかを実施,,,41,77.4,34,64.2,13.2
（キ）地域住民への普及啓発,地域住民への普及啓発について、下記のいずれかを実施,地域住民向け在宅医療・介護サービスに関する講演会や出前講座等,,32,60.4,33,62.3,-1.9
（キ）地域住民への普及啓発,地域住民への普及啓発について、下記のいずれかを実施,地域住民向けの普及啓発,パンフレット等,32,60.4,21,39.6,20.8
（キ）地域住民への普及啓発,地域住民への普及啓発について、下記のいずれかを実施,地域住民向けの普及啓発,ホームページ等,29,54.7,19,35.8,18.9
（ク）在宅医療・介護連携に関する関係市区町村の連携,隣接区市町村等との情報交換等の実施,,,53,100.0,31,58.5,41.5
