区分１,区分２,単位,介護度不明 (※1）,要介護１（※2）,要介護２（※2）,要介護３,要介護４,要介護５,合計,（参考）平成25年度
全体,,人,57,2095,3750,9093,8881,6841,30717,43384
全体,,％,0.2,6.8,12.2,29.6,28.9,22.3,100.0,100.0
全体,うち優先度高,人,10,232,541,2447,3525,3575,10330,15608
全体,うち優先度高,％,0.0,0.8,1.8,8.0,11.5,11.6,33.6,36.0
うち在宅の方,,人,31,1247,2118,4847,3773,2604,14620,21839
うち在宅の方,,％,0.1,4.1,6.9,15.8,12.3,8.5,47.6,50.3
うち在宅の方,うち優先度高,人,0,114,273,1220,1423,1313,4343,7127
うち在宅の方,うち優先度高,％,0.0,0.4,0.9,4.0,4.6,4.3,14.1,16.4
うち在宅でない方（※3）,,人,26,848,1632,4246,5108,4237,16097,21545
うち在宅でない方（※3）,,％,0.1,2.8,5.3,13.8,16.6,13.8,52.4,49.7
うち在宅でない方（※3）,うち優先度高,人,10,118,268,1227,2102,2262,5987,8481
うち在宅でない方（※3）,うち優先度高,％,0.0,0.4,0.9,4.0,6.8,7.4,19.5,19.5
