区分１,区分２,区分３,東京都黒字施設n=25,東京都赤字施設n=11,東京都差黒字-赤字,全国黒字施設n=980,全国赤字施設n=225,全国差黒字-赤字
機能性,入所定員数（人）,,100.1,131.9,-31.8,100.6,92.7,7.9
機能性,入所利用率（％）,,94,91.5,2.5,94.4,90.9,3.5
機能性,平均要介護度,,3.31,3.19,0.12,3.23,3.18,0.05
機能性,利用者1人1日当たり事業収益（円）,,14875,13097,1778,13069,13075,-6
従事者の状況,入所者100人当たり従事者数（人）,,59.5,59.4,0.1,59.5,64.4,-4.9
従事者の状況,入所者100人当たり従事者数（人）,うち医師（人）,1.2,1,0.2,1,1.1,-0.1
従事者の状況,入所者100人当たり従事者数（人）,うち看護師・准看護師・介護職員（人）,41.2,42.5,-1.3,42.5,46.8,-4.3
従事者の状況,入所者100人当たり従事者数（人）,うち支援相談員・PT・OT・ST（人）,6.8,6.3,0.5,7,7.4,-0.4
従事者の状況,従事者1人当たり人件費（千円）,,5333,5166,167,4384,4566,-182
収支の状況,事業収益対事業利益率（％）,,7.5,-3.3,10.8,9.1,-3.3,-12.4
収支の状況,人件費率（％）,,63,62,1,56.8,64.2,-7.4
収支の状況,経費率（％）,,23.7,25.7,-2,18.6,21.4,-2.8
収支の状況,減価償却費率（％）,,2.9,3.6,-0.7,4.7,6.1,-1.4
